"Schema: HCRIS TABLE: STRONG_DATA_2013","----------"," Entity 565497"," Report D00A185 ","-------------","-------------","-----------",""
"applicable","","\"   [ ] Title XVIII"," Part B  \"","","    [ ] IPF","          [ ] SNF","","  [ ] Swing Bed NF","",""
"boxes:","","   [ ] Title XIX - O/P     ","","    [ ] IRF","          [ ] NF","","  [ ] ICF/MR","",""
"PART V - APPORTIONMENT OF MEDICAL AND OTHER HEALTH SERVICES COSTS","","","","","","","","",""
"","","","","Program Charges","","","Program Cost","",""
"","","","Cost to","","Cost Reimbursed","Cost Reimbursed","","Cost","Cost"
"","","","Charge","","Services","Services Not","PPS","Services","Services Not"
"","","","Ratio from","PPS Reimbursed","Subject to","Subject to"," Services","Subject to","Subject to"
"","","","\"Worksheet C","\"","Services","Ded. & Coins.","Ded. & Coins.","(see","Ded. & Coins.","Ded. & Coins."
"","","","\"Part I"," col. 9\"","(see instructions)","(see instructions)","(see instructions)","instructions)","(see instructions)","(see instructions)"
"(A)"," Cost Center Description","","1","2","3","4","5","6","7"
"","ANCILLARY SERVICE COST CENTERS","","","","","","","",""
"Entity[565497] Report(D00A185)", ,"Entity[565497] Report(D00A185[00100])","Entity[565497] Report(D00A185[00200])", , ,"Entity[565497] Report(D00A185[00500])"
"Line(05000)", ,"1","6786130", , ,"3610547"
"Line(05001)", ,"0","8117840", , ,"2052661"
"Line(05100)", ,"0","4217195", , ,"757809"
"Line(05200)", ,"1","16921", , ,"9530"
"Line(05300)", ,"0","4714639", , ,"339166"
"Line(05400)", ,"0","12809844", , ,"3103889"
"Line(05401)", ,"0","3101240", , ,"340708"
"Line(05600)", ,"0","12755186", , ,"2599507"
"Line(05700)", ,"0","23327787", , ,"1720261"
"Line(05800)", ,"0","11254688", , ,"1126729"
"Line(05900)", ,"0","18272882", , ,"4748519"
"Line(06000)", ,"0","53678020", , ,"5433236"
"Line(06001)", ,"0","5542783", , ,"1000633"
"Line(06003)", ,"1","122", , ,"135"
"Line(06300)", ,"0","2922473", , ,"827586"
"Line(06500)", ,"0","269106", , ,"71102"
"Line(06600)", ,"0","2993161", , ,"921403"
"Line(06700)", ,"0","318059", , ,"83176"
"Line(06800)", ,"1","15550", , ,"17266"
"Line(06900)", ,"0","22627699", , ,"4054544"
"Line(07000)", ,"0","669333", , ,"249443"
"Line(07100)", ,"2","13864", , ,"30974"
"Line(07300)", ,"0","36838", , ,"12040"
"Line(07400)", ,"0","16438622", , ,"3740378"
"Line(07600)", ,"0","832834", , ,"294653"
"Line(07601)", ,"3","742", , ,"2051"
"Line(07604)", ,"0","2955891", , ,"397547"
"Line(07607)", ,"0","7684611", , ,"2218440"
"Line(07609)", ,"1","88930", , ,"88604"
"Line(07610)", ,"3","25994", , ,"79521"
"Line(07611)", ,"7270","89", , ,"647020"
"Line(09000)", ,"1","174449", , ,"149035"
"Line(09001)", ,"1","114", , ,"104"
"Line(09002)", ,"0","26054889", , ,"13026715"
"Line(09003)", ,"7","35258", , ,"255818"
"Line(09007)", ,"0","42141464", , ,"17811132"
"Line(09008)", ,"0","5979190", , ,"2238298"
"Line(09009)", ,"1","648299", , ,"594975"
"Line(09010)", ,"0","3002727", , ,"1384566"
"Line(09012)", ,"1","594814", , ,"509080"
"Line(09014)", ,"1","1787630", , ,"1061071"
"Line(09015)", ,"1","726337", , ,"528646"
"Line(09016)", ,"1","1963264", , ,"1130765"
"Line(09018)", ,"1","290371", , ,"293015"
"Line(09020)", ,"1","1232806", , ,"1100689"
"Line(09021)", ,"1","431532", , ,"282480"
"Line(09022)", ,"0","5783946", , ,"2685475"
"Line(09023)", ,"1","468668", , ,"613731"
"Line(09024)", ,"0","1608945", , ,"612326"
"Line(09025)", ,"1","434146", , ,"414135"
"Line(09026)", ,"0","84683", , ,"2591"
"Line(09028)", ,"0","8099112", , ,"3026752"
"Line(09029)", ,"0","16558114", , ,"6147481"
"Line(09030)", ,"0","1734015", , ,"631344"
"Line(09031)", ,"0","11153", , ,"759"
"Line(09032)", ,"0","79234", , ,"7165"
"Line(09100)", ,"0","11020742", , ,"2733684"
"Line(09201)", ,"0","20770", , ,"965"
"Line(09700)", ,"0"
"Line(20000)", , ,"353455745", , ,"97821875"
