"Schema: HCRIS TABLE: STRONG_DATA_2013","----------"," Entity 565497"," Report K410002 ","-------------","-------------","-----------",""
"","----","NO HEADER "," -------- ","NO HEADER"," ------- ","","","","","",""
"Entity[565497] Report(K410002)", , , , , , ,"Entity[565497] Report(K410002[00600])"
"Line(00600)", , , , , , ,"1132964"
"Line(01000)", , , , , , ,"873012"
"Line(01100)", , , , , , ,"49780"
"Line(01500)", , , , , , ,"4886"
"Line(01600)", , , , , , ,"106774"
"Line(01900)", , , , , , ,"98512"
"Line(03900)", , , , , , ,"311785"
