"Schema: HCRIS TABLE: STRONG_DATA_2013","----------"," Entity 565497"," Report A700001 ","-------------","-------------","-----------",""
"","","","","","Acquisitions","","","Disposals","","Fully"
"","","","","Beginning","","","","and","Ending","Depreciated"
"","","Description","","Balances","Purchases","Donation","Total","Retirements","Balance","Assets"
"","","","","1","2","3","4","5","6","7"
"Entity[565497] Report(A700001)", ,"Entity[565497] Report(A700001[00100])","Entity[565497] Report(A700001[00200])", ,"Entity[565497] Report(A700001[00400])","Entity[565497] Report(A700001[00500])","Entity[565497] Report(A700001[00600])"
"Line(00100)", ,"8850000", , , , ,"8850000"
"Line(00200)", ,"140126", , , , ,"140126"
"Line(00300)", ,"338397630", , , , ,"338397630"
"Line(00400)", , ,"13169120", ,"13169120","28891","13140229"
"Line(00500)", ,"159192392","26368430", ,"26368430","2150545","183410277"
"Line(00800)", ,"506580148","39537550", ,"39537550","2179436","543938262"
