"Schema: HCRIS TABLE: STRONG_DATA_2013","----------"," Entity 565497"," Report H310181 ","-------------","-------------","-----------",""
"","PART I - COMPUTATION OF THE AGGREGATE PROGRAM COST","","","","","","","","","","","","","",""
"","Cost Per Visit Computation","","","","","","","","","Program Visits","","","Cost of Services","",""
"","","\"From","\"","Facility","Shared","","","Average","","                    Part B","","","                    Part B","","",""
"","","Wkst.","Costs","Ancillary","Total","","Cost","","Not","","","Not","","Total",""
"","","\"H-2","\"","(from","Costs","HHA","","Per Visit","","Subject to","Subject to","","Subject to","Subject to","Program Cost",""
"","Patient Services","\"Part I","\"","\"Wkst. H-2","\"","(from","Costs","Total","(col. 3 ","","Deductibles ","Deductibles ","","Deductibles ","Deductibles ","(sum of",""
"","","\"col. 28","\"","Part I)","Part II)","(cols. 1 + 2)","Visits","� col. 4)","Part A","& Coinsurance","& Coinsurance","Part A","& Coinsurance","& Coinsurance","cols. 9-10)",""
"","","line","1","2","3","4","5","6","7","8","9","10","11","12",""
"1","Skilled Nursing Care","2","","","","","","","","","","","","","1"
"2","Physical Therapy","3","","","","","","","","","","","","","2"
"3","Occupational Therapy","4","","","","","","","","","","","","","3"
"4","Speech Pathology","5","","","","","","","","","","","","","4"
"5","Medical Social Services","6","","","","","","","","","","","","","5"
"6","Home Health Aide","7","","","","","","","","","","","","","6"
"7","Total (sum of lines 1-6)","","","","","","","","","","","","","","7"
"","Limitation Cost Computation","","","","","","","","","","","Program Visits","","",""
"","","","","","","","","","","","","","                    Part B","",""
"","","","","","","","","","","","","","Not Subject to","Subject to",""
"","Patient Services","","","","","","","","","","CBSA","","Deductibles ","Deductibles ",""
"","","","","","","","","","","","No. (1)","Part A","& Coinsurance","& Coinsurance",""
"","","","","","","","","","","","1","2","3","4",""
"8"," Skilled Nursing Care","","","","","","","","","",""," "," ","","8"
"9"," Physical Therapy","","","","","","","","","","","","","","9"
"10"," Occupational Therapy","","","","","","","","","","","","","","10"
"11"," Speech Pathology","","","","","","","","","","","","","","11"
"12"," Medical Social Services","","","","","","","","","","","","","","12"
"13"," Home Health Aide","","","","","","","","","","","","","","13"
"14"," Total (sum of lines 8-13)","","","","","","","","","","","","","","14"
"","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","",""
"","Supplies and Drugs Cost","","","","","","","","","                  Program Covered Charges","","","","Cost of Services",""
"","Computations","","","","Facility","Shared","","","","","                    Part B","","","Part B",""
"","","","From","Costs","Ancillary","Total","Total","","","Not","","","Not","",""
"","","","Wkst. H-2","(from ","Costs","HHA","Charges","Ratio","","Subject to","Subject to","","Subject to","Subject to",""
"","Other Patient Services","","\"Part I","\"","\"Wkst. H-2","\"","(from","Costs","(from HHA","(col. 3","","Deductibles ","Deductibles ","","Deductibles ","Deductibles ",""
"","","","\"col. 28","\"","Part I)","Part II)","(cols. 1 + 2)","Record)","� col. 4)","Part A","& Coinsurance","& Coinsurance","Part A","& Coinsurance","& Coinsurance",""
"","","","line","1","2","3","4","5","6","7","8","9","10","11",""
"15"," Cost of Medical Supplies","","8","","","","","","","","","","","","15"
"16"," Cost of Drugs","","9","","","","","","","","","","","","16"
"Entity[565497] Report(H310181)", ,"Entity[565497] Report(H310181[00100])","Entity[565497] Report(H310181[00200])","Entity[565497] Report(H310181[00300])","Entity[565497] Report(H310181[00400])","Entity[565497] Report(H310181[00500])","Entity[565497] Report(H310181[00600])","Entity[565497] Report(H310181[00700])", ,"Entity[565497] Report(H310181[00900])","Entity[565497] Report(H310181[01000])", ,"Entity[565497] Report(H310181[01200])"
"Line(00100)", ,"4988743", ,"4988743","14783","337","1718","6377", ,"579756","2151982", ,"2731738"
"Line(00200)", ,"1295524","372766","1668290","4687","356","669","2318", ,"238124","825069", ,"1063193"
"Line(00300)", ,"313325","92904","406229","1345","302","177","692", ,"53459","209005", ,"262464"
"Line(00400)", ,"31803","29551","61354","65","944","4","39", ,"3776","36812", ,"40588"
"Line(00500)", ,"83774", ,"83774","80","1047","5","56", ,"5236","58642", ,"63878"
"Line(00600)", ,"287552", ,"287552","1454","198","124","1010", ,"24523","199748", ,"224271"
"Line(00700)", ,"7000721","495221","7495942","22414", ,"2697","10492", ,"904874","3481258", ,"4386132"
"Line(00800)", ,"16974","1718","6377"
"Line(00900)", ,"16974","669","2318"
"Line(01000)", ,"16974","177","692"
"Line(01100)", ,"16974","4","39"
"Line(01200)", ,"16974","5","56"
"Line(01300)", ,"16974","124","1010"
"Line(01400)", , ,"2697","10492"
