"Schema: HCRIS TABLE: STRONG_DATA_2013","----------"," Entity 565497"," Report A6000W0 ","-------------","-------------","-----------",""
"","","CODE","","","","","","","","","A-7"
"","EXPLANATION OF RECLASSIFICATION(S)","-1","COST CENTER","LINE #","SALARY","OTHER","COST CENTER","LINE #","SALARY","OTHER","Ref."
"","","1","2","3","4","5","6","7","8","9","10"
"Entity[565497] Report(A6000W0)","Entity[565497] Report(A6000W0[00000])","Entity[565497] Report(A6000W0[00100])", ,"Entity[565497] Report(A6000W0[00300])", ,"Entity[565497] Report(A6000W0[00500])", ,"Entity[565497] Report(A6000W0[00700])", ,"Entity[565497] Report(A6000W0[00900])"
"Line(00100)","SUPPLY REBATE RECLS TO DEPTS","W", ,"5", ,"3111493", ,"4", ,"1207"
"Line(00200)","SUPPLY REBATE RECLS TO DEPTS","W", , , , , ,"5", ,"862"
"Line(00300)","SUPPLY REBATE RECLS TO DEPTS","W", ,"5", ,"3", ,"5", ,"20917"
"Line(00400)","SUPPLY REBATE RECLS TO DEPTS","W", ,"90", ,"4", ,"5", ,"2566"
"Line(00500)","SUPPLY REBATE RECLS TO DEPTS","W", , , , , ,"5", ,"978"
"Line(00600)","SUPPLY REBATE RECLS TO DEPTS","W", , , , , ,"5", ,"4565"
"Line(00700)","SUPPLY REBATE RECLS TO DEPTS","W", , , , , ,"5", ,"1016"
"Line(00800)","SUPPLY REBATE RECLS TO DEPTS","W", , , , , ,"5", ,"12340"
"Line(00900)","SUPPLY REBATE RECLS TO DEPTS","W", , , , , ,"5", ,"821"
"Line(01000)","SUPPLY REBATE RECLS TO DEPTS","W", , , , , ,"5", ,"26056"
"Line(01100)","SUPPLY REBATE RECLS TO DEPTS","W", , , , , ,"5", ,"4640"
"Line(01200)","SUPPLY REBATE RECLS TO DEPTS","W", , , , , ,"5", ,"73375"
"Line(01300)","SUPPLY REBATE RECLS TO DEPTS","W", , , , , ,"7", ,"27017"
"Line(01400)","SUPPLY REBATE RECLS TO DEPTS","W", , , , , ,"7", ,"2673"
"Line(01500)","SUPPLY REBATE RECLS TO DEPTS","W", , , , , ,"8", ,"339"
"Line(01600)","SUPPLY REBATE RECLS TO DEPTS","W", , , , , ,"9", ,"9800"
"Line(01700)","SUPPLY REBATE RECLS TO DEPTS","W", , , , , ,"10", ,"51137"
"Line(01800)","SUPPLY REBATE RECLS TO DEPTS","W", , , , , ,"11", ,"7952"
"Line(01900)","SUPPLY REBATE RECLS TO DEPTS","W", , , , , ,"12", ,"26"
"Line(02000)","SUPPLY REBATE RECLS TO DEPTS","W", , , , , ,"13", ,"1488"
"Line(02100)","SUPPLY REBATE RECLS TO DEPTS","W", , , , , ,"14", ,"19143"
"Line(02200)","SUPPLY REBATE RECLS TO DEPTS","W", , , , , ,"14", ,"1395"
"Line(02300)","SUPPLY REBATE RECLS TO DEPTS","W", , , , , ,"15", ,"478059"
"Line(02400)","SUPPLY REBATE RECLS TO DEPTS","W", , , , , ,"16", ,"3680"
