"Schema: HCRIS TABLE: STRONG_DATA_2013","----------"," Entity 565497"," Report G200000 ","-------------","-------------","-----------",""
"","","","","","",""
"","","","INPATIENT","OUTPATIENT"," TOTAL",""
"","REVENUE CENTER","","1","2","3",""
"","GENERAL INPATIENT ROUTINE CARE SERVICES","","","","",""
"1"," Hospital","","","","","1"
"2"," Subprovider IPF","","","","","2"
"3"," Subprovider IRF","","","","","3"
"4"," Subprovider  (Other)","","","","","4"
"5"," Swing bed - SNF","","","","","5"
"6"," Swing bed - NF","","","","","6"
"7"," Skilled nursing facility","","","","","7"
"8"," Nursing facility","","","","","8"
"9"," Other long term care","","","","","9"
"10"," Total general inpatient care services (sum of lines 1-9)","","","","","10"
"","INTENSIVE CARE TYPE INPATIENT HOSPITAL SERVICES","","","","",""
"11"," Intensive care unit","","","","","11"
"12"," Coronary care unit","","","","","12"
"13"," Burn intensive care unit","","","","","13"
"14"," Surgical intensive care unit","","","","","14"
"15"," Other special care (specify)","","","","","15"
"16"," Total intensive care type inpatient hospital services (sum of","","","","","16"
""," of lines 11-15)","","","","",""
"17"," Total inpatient routine care services (sum of lines 10 and 16)","","","","","17"
"18"," Ancillary services","","","","","18"
"19"," Outpatient services","","","","","19"
"20"," Rural Health Clinic (RHC)","","","","","20"
"21"," Federally Qualified Health Center (FQHC)","","","","","21"
"22"," Home health agency","","","","","22"
"23"," Ambulance","","","","","23"
"24"," Outpatient rehabilitation providers","","","","","24"
"25"," ASC","","","","","25"
"26"," Hospice","","","","","26"
"27"," Other (specify)","","","","","27"
"28"," Total patient revenues (sum of lines 17-27) (transfer column 3 to","","","","","28"
"","\" Worksheet G-3"," line 1)\"","","","","",""
"","","","","","",""
"","PART II - OPERATING EXPENSES","","","","",""
"","","","","1","2",""
"29","\" Operating expenses (per Wkst. A"," column 3"," line 200)\"","","","","","29"
"30"," Add (specify)","","","","","30"
"31","","","","","","31"
"32","","","","","","32"
"33","","","","","","33"
"34","","","","","","34"
"35","","","","","","35"
"36"," Total additions (sum of lines 30-35)","","","","","36"
"37"," Deduct (specify)","","","","","37"
"38","","","","","","38"
"39","","","","","","39"
"40","","","","","","40"
"41","","","","","","41"
"42"," Total deductions (sum of lines 37-41)","","","","","42"
"43","\" Total operating expenses (sum of lines 29 and 36 minus line 42) (transfer to Worksheet G-3"," line 4)\"","","","","","43"
"Entity[565497] Report(G200000)","Entity[565497] Report(G200000[00000])","Entity[565497] Report(G200000[00100])","Entity[565497] Report(G200000[00200])","Entity[565497] Report(G200000[00300])"
"Line(00100)", ,"175878683", ,"175878683"
"Line(01000)", ,"175878683", ,"175878683"
"Line(01100)", ,"65900627", ,"65900627"
"Line(01300)", ,"23209808", ,"23209808"
"Line(01500)", ,"34265595", ,"34265595"
"Line(01501)", ,"8711260", ,"8711260"
"Line(01503)", ,"11730821", ,"11730821"
"Line(01504)", ,"17467538", ,"17467538"
"Line(01600)", ,"161285649", ,"161285649"
"Line(01700)", ,"337164332", ,"337164332"
"Line(01800)", ,"896528906", ,"896528906"
"Line(01900)", , ,"1265866117","1265866117"
"Line(02200)", , ,"5325165","5325165"
"Line(02700)","OTHER PATIENT REVENUES", ,"2438185","2438185"
"Line(02800)", ,"1233693238","1273629467","2147483647"
"Line(02900)", , ,"1086192463"
"Line(03100)","POST RETIREMENT & PENSION"
"Line(03200)","OTHER EXPENSES"
"Line(03300)","GOODWILL"
"Line(03800)","ACEDEMIC SUPPORT"
"Line(03900)","OTHER EXPENSES"
