"Schema: HCRIS TABLE: STRONG_DATA_2013","----------"," Entity 565497"," Report A800000 ","-------------","-------------","-----------",""
"","DESCRIPTION (1)","","","WORKSHEET A TO/FROM WHICH","","Wkst."
"","","","","THE AMOUNT IS TO BE ADJUSTED","","A-7"
"","","BASIS/CODE (2)","AMOUNT","COST CENTER","LINE #","Ref."
"","","1","2","3","4","5"
"Entity[565497] Report(A800000)","Entity[565497] Report(A800000[00000])","Entity[565497] Report(A800000[00100])","Entity[565497] Report(A800000[00200])","Entity[565497] Report(A800000[00300])","Entity[565497] Report(A800000[00400])","Entity[565497] Report(A800000[00500])"
"Line(00101)", ,"B","-9020783", , ,"11"
"Line(00700)", ,"A","-349328","COMMUNICATION","5"
"Line(00800)", ,"A","-16968","OPERATION OF PLANT","7"
"Line(00900)", ,"A","-921742","OPERATION OF PLANT","7"
"Line(01200)", , ,"1412580"
"Line(01400)", ,"B","-2726361","CAFETERIA","11"
"Line(02800)", ,"A","-3454122"
"Line(03300)", , , , , ,"11"
"Line(03301)", , , , , ,"11"
"Line(03302)", , , , , ,"9"
"Line(03303)","PATIENT TELEVISION","A","-35786","CAP REL COSTS-BLDG & FIXT","1","9"
"Line(03304)","PARKING","A","-155758","HOSPITAL ADMINSTRATION","5","9"
"Line(03500)","LOBBYING EXPENSE","A","-52699","HOSPITAL ADMINSTRATION","5"
"Line(03501)","PHYSICIAN RECRUITING","A","-122537","HOSPITAL ADMINSTRATION","5"
"Line(03502)","BOARD OF DIRECTORS","A","-16476","HOSPITAL ADMINSTRATION","5"
"Line(03504)","DONATIONS","A","-155758","HOSPITAL ADMINSTRATION","5"
"Line(03505)","FLOWERS AND GIFTS","A","-15293","HOSPITAL ADMINSTRATION","5"
"Line(03506)","EXPENSE REPORTS","A","-6033","HOSPITAL ADMINSTRATION","5"
"Line(03507)","ADVERTISING","A","-3289852","HOSPITAL ADMINSTRATION","5"
"Line(03508)","LOBBYING TRINITY","A","-35321","HOSPITAL ADMINSTRATION","5"
"Line(03600)","SELF INSURANCE","A","612709","EMPLOYEE BENEFITS DEPARTMENT","4"
"Line(03601)","SELF INSURANCE","A","54101","COMMUNICATION","5"
"Line(03602)","SELF INSURANCE","A","370200","SYSTEM & COMPUTERS","5"
"Line(03603)","SELF INSURANCE","A","85474","PURCHASING","5"
"Line(03605)","SELF INSURANCE","A","137081","PATIENT AFFAIRS","5"
"Line(03606)","SELF INSURANCE","A","134888","PATIENT ADMITTING","5"
"Line(03607)","SELF INSURANCE","A","284245","PATIENT ACCOUNTS","5"
"Line(03608)","SELF INSURANCE","A","100863","ACCOUNTING","5"
"Line(03609)","SELF INSURANCE","A","19663","EMPLOYEE HEALTH SERVICES","5"
"Line(03610)","SELF INSURANCE","A","48726","PASTORAL CARE","5"
"Line(03611)","SELF INSURANCE","A","2208847","HOSPITAL ADMINSTRATION","5"
"Line(03612)","SELF INSURANCE","A","267362","AMBULATORY ADMINISTRATION","5"
"Line(03613)","SELF INSURANCE","A","2647","PRIMARY CARE ADMINISTRATION","5"
"Line(03614)","SELF INSURANCE","A","457729","OPERATION OF PLANT","7"
"Line(03615)","SELF INSURANCE","A","137098","SAFETY AND SECURITY","7"
"Line(03616)","SELF INSURANCE","A","-40","LAUNDRY & LINEN SERVICE","8"
"Line(03617)","SELF INSURANCE","A","173326","DIETARY","10"
"Line(03618)","SELF INSURANCE","A","17989","CAFETERIA","11"
"Line(03619)","SELF INSURANCE","A","47113","PATIENT TRANSPORTATION","12"
"Line(03620)","SELF INSURANCE","A","126050","NURSING ADMINISTRATION","13"
"Line(03621)","SELF INSURANCE","A","74234","CENTRAL SERVICES & SUPPLY","14"
"Line(03622)","SELF INSURANCE","A","43971","CENTRAL PROCESSING","14"
"Line(03623)","SELF INSURANCE","A","473082","PHARMACY","15"
"Line(03624)","SELF INSURANCE","A","262659","MEDICAL RECORDS & LIBRARY","16"
"Line(03625)","SELF INSURANCE","A","150975","SOCIAL SERVICE","17"
"Line(03626)","SELF INSURANCE","A","1982902","I&R SERVICES-SALARY & FRINGES APPRV","21"
"Line(03627)","SELF INSURANCE","A","32596","PARAMEDICAL ED-MICU","23"
"Line(03628)","SELF INSURANCE","A","2093673","ADULTS & PEDIATRICS","30"
"Line(03629)","SELF INSURANCE","A","723987","INTENSIVE CARE UNIT","31"
"Line(03630)","SELF INSURANCE","A","225457","BURN INTENSIVE CARE UNIT","33"
"Line(03631)","SELF INSURANCE","A","419758","NEONATAL INTENSIVE CARE","35"
"Line(03632)","SELF INSURANCE","A","1122333","PEDIATRIC ICU","35"
"Line(03633)","SELF INSURANCE","A","143815","HEART TRANSPLANT ICU","35"
"Line(03634)","SELF INSURANCE","A","189615","BONE INTENSIVE CARE","35"
"Line(03635)","SELF INSURANCE","A","265213","SUBPROVIDER - IRF","41"
"Line(03636)","SELF INSURANCE","A","680606","OPERATING ROOM","50"
"Line(03637)","SELF INSURANCE","A","157517","AMBULATORY SURGERY CENTER","50"
"Line(03638)","SELF INSURANCE","A","143658","RECOVERY ROOM","51"
"Line(03639)","SELF INSURANCE","A","133524","DELIVERY ROOM & LABOR ROOM","52"
"Line(03640)","SELF INSURANCE","A","28551","ANESTHESIOLOGY","53"
"Line(03641)","-SELF INSURANCE","A","392209","RADIOLOGY-DIAGNOSTIC","54"
"Line(03642)","SELF INSURANCE","A","58048","RADIOLOGY-ULTRASOUND","54"
"Line(03643)","SELF INSURANCE","A","82454","RADIOISOTOPE","56"
"Line(03644)","SELF INSURANCE","A","132917","CT SCAN","57"
"Line(03645)","SELF INSURANCE","A","90249","MRI","58"
"Line(03646)","SELF INSURANCE","A","271058","CARDIAC CATHETERIZATION","59"
"Line(03647)","SELF INSURANCE","A","379846","LABORATORY","60"
"Line(03648)","SELF INSURANCE","A","76134","LABORATORY-SURGICAL PATHOLOGY","60"
"Line(03649)","SELF INSURANCE","A","71326","BLOOD STORING  PROCESSING & TRANS.","63"
"Line(03650)","SELF INSURANCE","A","337454","RESPIRATORY THERAPY","65"
"Line(03651)","SELF INSURANCE","A","190750","PHYSICAL THERAPY","66"
"Line(03652)","SELF INSURANCE","A","55543","OCCUPATIONAL THERAPY","67"
"Line(03653)","SELF INSURANCE","A","17803","SPEECH PATHOLOGY","68"
"Line(03654)","SELF INSURANCE","A","156340","ELECTROCARDIOLOGY","69"
"Line(03655)","SELF INSURANCE","A","70408","ELECTROENCEPHALOGRAPHY","70"
"Line(03656)","SELF INSURANCE","A","154695","RENAL DIALYSIS","74"
"Line(03657)","SELF INSURANCE","A","18145","PULMONARY LABS","76"
"Line(03658)","SELF INSURANCE","A","47432","OCCUPATIONAL HEALTH","76"
"Line(03659)","SELF INSURANCE","A","41465","PERIPHERAL VASCULAR","76"
"Line(03660)","SELF INSURANCE","A","153034","GASTROINTESTINAL SERVICE","76"
"Line(03661)","SELF INSURANCE","A","21249","BARIATRICS","76"
"Line(03662)","SELF INSURANCE","A","31178","HEPATOLOGY","76"
"Line(03663)","SELF INSURANCE","A","12022","CLINIC","90"
"Line(03664)","SELF INSURANCE","A","10515","CARDIAC REHABILITATION","90"
"Line(03665)","SELF INSURANCE","A","317218","CANCER CENTER","90"
"Line(03666)","SELF INSURANCE","A","17266","PSYCH SOCIAL REHAB","90"
"Line(03667)","SELF INSURANCE","A","1119894","LOC OUTPATIENT CENTER","90"
"Line(03668)","SELF INSURANCE","A","314595","OBT OUTPATIENT CENTER","90"
"Line(03669)","SELF INSURANCE","A","52923","ELMHURST IMMEDIATE CARE","90"
"Line(03670)","SELF INSURANCE","A","113841","LAGRANGE FAMILY PCC","90"
"Line(03671)","SELF INSURANCE","A","168550","NORTH RIVERSIDE PCC","90"
"Line(03672)","SELF INSURANCE","A","80104","WHEATON PCC","90"
"Line(03673)","SELF INSURANCE","A","70639","OBT II PCC","90"
"Line(03674)","SELF INSURANCE","A","189997","HICKORY HILLS PCC","90"
"Line(03675)","SELF INSURANCE","A","33859","DARIEN PCC","90"
"Line(03676)","SELF INSURANCE","A","171108","ORLANAD PARK - FP","90"
"Line(03677)","SELF INSURANCE","A","42871","FAMILY PRACTICE MAYWOOD PCC","90"
"Line(03678)","SELF INSURANCE","A","201736","HOMER GLEN PCC","90"
"Line(03679)","SELF INSURANCE","A","150088","OAK PARK PCC","90"
"Line(03680)","SELF INSURANCE","A","41186","PARK RIDGE PCC","90"
"Line(03681)","SELF INSURANCE","A","103659","LOYOLA CLINIC AT GOTTLIEB","90"
"Line(03682)","SELF INSURANCE","A","4950","WOODRIDGE PCC","90"
"Line(03683)","SELF INSURANCE","A","33948","MARJORIE WEINBERG CANCER CENTER","90"
