"Schema: HCRIS TABLE: STRONG_DATA_2013","----------"," Entity 565497"," Report A000000 ","-------------","-------------","-----------",""
"","COST CENTER DESCRIPTIONS","","","TOTAL","RECLASSIFI-","TRIAL BALANCE","","FOR ALLOCATION"
"","(omit cents)","SALARIES","OTHER","(col. 1 + col. 2)","CATIONS","(col. 3 ± col. 4)","ADJUSTMENTS","(col. 5 ± col. 6)"
"","","1","2","3","4","5","6","7"
"Entity[565497] Report(A000000)","Entity[565497] Report(A000000[00000])","Entity[565497] Report(A000000[00100])","Entity[565497] Report(A000000[00200])","Entity[565497] Report(A000000[00300])","Entity[565497] Report(A000000[00400])","Entity[565497] Report(A000000[00500])","Entity[565497] Report(A000000[00600])","Entity[565497] Report(A000000[00700])"
"Line(00100)","00100CAP REL COSTS-BLDG & FIXT", , , ,"19093762","19093762","-35786","19057976"
"Line(00101)","00101NEW CAPITAL-BLDG INTEREST", , , ,"16804547","16804547","-9020783","7783764"
"Line(00200)","00200CAP REL COSTS-MVBLE EQUIP", , , ,"23711960","23711960", ,"23711960"
"Line(00300)","00300OTHER CAP REL COSTS"
"Line(00400)","00400EMPLOYEE BENEFITS DEPARTMENT","10442821","75913486","86356307","14671446","101027753","-281666","100746087"
"Line(00501)","01160COMMUNICATION","922073","2823277","3745350","-157887","3587463","-265742","3321721"
"Line(00502)","00550SYSTEM & COMPUTERS","6309581","10504041","16813622","-3877427","12936195","4801934","17738129"
"Line(00503)","00560PURCHASING","1456795","-1197065","259730","2934843","3194573","132058","3326631"
"Line(00504)","00561OPC STORES", ,"42196","42196","-42196"
"Line(00505)","00570PATIENT AFFAIRS","2336366","394477","2730843","-22723","2708120","211792","2919912"
"Line(00506)","01140PATIENT ADMITTING","2298997","228776","2527773","-43324","2484449","208404","2692853"
"Line(00507)","00580PATIENT ACCOUNTS","4844591","5139454","9984045","74969","10059014","439107","10498121"
"Line(00508)","00590ACCOUNTING","1719073","1612178","3331251","-98709","3232542","155834","3388376"
"Line(00509)","00591EMPLOYEE HEALTH SERVICES","335122","822769","1157891","-71532","1086359","-105687","980672"
"Line(00510)","00596PASTORAL CARE","830469","226903","1057372","-187504","869868","72557","942425"
"Line(00511)","00592HOSPITAL ADMINSTRATION","37789622","145119747","182909369","-25466083","157443286","-15321112","142122174"
"Line(00512)","00593AMBULATORY ADMINISTRATION","4556833","4769938","9326771","-1617144","7709627","281643","7991270"
"Line(00514)","00595PRIMARY CARE ADMINISTRATION","45116","4689565","4734681","-73470","4661211","-14815","4646396"
"Line(00600)","00600MAINTENANCE & REPAIRS"
"Line(00700)","00700OPERATION OF PLANT","7801393","27861696","35663089","-5584597","30078492","-233045","29845447"
"Line(00701)","00701SAFETY AND SECURITY","2336647","848426","3185073","-1039169","2145904","211818","2357722"
"Line(00800)","00800LAUNDRY & LINEN SERVICE", ,"2956012","2956012","-88356","2867656","-62","2867594"
"Line(00900)","00900HOUSEKEEPING","1054423","8845903","9900326","-9900326"
"Line(01000)","01000DIETARY","2954117","5138701","8092818","-2622660","5470158","267791","5737949"
"Line(01100)","01100CAFETERIA","306599","538535","845134","1936182","2781316","-2781316"
"Line(01200)","01200MAINTENANCE OF PERSONNEL"
"Line(01201)","01201PATIENT TRANSPORTATION","802982","231967","1034949","-4067","1030882","72790","1103672"
"Line(01300)","01300NURSING ADMINISTRATION","2148350","916943","3065293","-77746","2987547","181375","3168922"
"Line(01400)","01400CENTRAL SERVICES & SUPPLY","1265223","2361074","3626297","-1750789","1875508","114285","1989793"
"Line(01401)","01401CENTRAL PROCESSING","749436","475523","1224959","-104023","1120936","67936","1188872"
"Line(01500)","01500PHARMACY","8063065","30385946","38449011","-29306361","9142650","579874","9722524"
"Line(01600)","01600MEDICAL RECORDS & LIBRARY","4476675","4897582","9374257","-561757","8812500","358452","9170952"
"Line(01700)","01700SOCIAL SERVICE","2573178","220773","2793951","24127","2818078","233258","3051336"
"Line(01701)","01701HOSPITAL MEDICAL ADMIN"
"Line(01900)","01900NONPHYSICIAN ANESTHETISTS", , , ,"3454122","3454122","-3454122"
"Line(02000)","02000NURSING SCHOOL"
"Line(02100)","02100I&R SERVICES-SALARY & FRINGES A","33795970","858865","34654835","5177155","39831990","2906606","42738596"
"Line(02200)","02200I&R SERVICES-OTHER PRGM COSTS A"
"Line(02300)","02300PARAMED ED PRGM-(SPECIFY)"
"Line(02301)","02301PARAMEDICAL ED-MICU","555561","305834","861395","-71719","789676","-174411","615265"
"Line(02302)","02302PARAMEDICAL ED-SOCIAL WORK"
"Line(03000)","03000ADULTS & PEDIATRICS","35683908","7357467","43041375","3111932","46153307","3224893","49378200"
"Line(03100)","03100INTENSIVE CARE UNIT","12339410","3258854","15598264","629549","16227813","1118568","17346381"
"Line(03300)","03300BURN INTENSIVE CARE UNIT","3842627","1382184","5224811","252165","5476976","346089","5823065"
"Line(03500)","02400NEONATAL INTENSIVE CARE","7154232","1073682","8227914","-523206","7704708","637338","8342046"
"Line(03501)","02401PEDIATRIC ICU","1912866","409446","2322312","25631","2347943","1183501","3531444"
"Line(03503)","02080HEART TRANSPLANT ICU","2451144","552142","3003286","85147","3088433","222196","3310629"
"Line(03504)","02081BONE INTENSIVE CARE","3231742","1073264","4305006","-120655","4184351","289607","4473958"
"Line(04100)","04100SUBPROVIDER - IRF","4520207","816831","5337038","68269","5405307","409757","5815064"
"Line(04300)","04300NURSERY", , , ,"840204","840204", ,"840204"
"Line(05000)","05000OPERATING ROOM","11600031","39717881","51317912","-4889324","46428588","1051544","47480132"
"Line(05001)","05001AMBULATORY SURGERY CENTER","2684672","3959199","6643871","-519222","6124649","243366","6368015"
