"Schema: HCRIS TABLE: STRONG_DATA_2013","----------"," Entity 565497"," Report I500000 ","-------------","-------------","-----------",""
"","----","NO HEADER "," -------- ","NO HEADER"," ------- ","","","","","",""
"Entity[565497] Report(I500000)", ,"Entity[565497] Report(I500000[00100])","Entity[565497] Report(I500000[00200])"
"Line(00100)", ,"3853605"
"Line(00201)", ,"1761563","1440320"
"Line(00202)", ,"1761563","1333239"
"Line(00203)", ,"3523126","2773559"
"Line(00301)", ,"1824","1491"
"Line(00303)", ,"1824","1491"
"Line(00401)", ,"898794","734888"
"Line(00403)", ,"898794","734888"
"Line(00500)", ,"453291","453291"
"Line(00505)", ,"453291","453291"
"Line(00600)", ,"398896"
"Line(00800)", , ,"283088"
"Line(00900)", , ,"2217654"
"Line(01100)", ,"398896"
"Line(01200)", ,"8153320"
"Line(01300)", ,"6170840"
