"----------"," Entity 565497"," Report H010000 ","-------------","-------------","-----------","", , , , , , , , , , , , , 
"","SALARIES","EMPLOYEE","TATION","PURCHASED ","","TOTAL","","TRIAL","","EXPENSES FOR","", , , , , , , , 
"COST CENTER DESCRIPTIONS","","BENEFITS ","(see","SERVICES","","(sum of cols.","RECLASS-","BALANCE","","ALLOCATION","", , , , , , , , 
"(omit cents)","","","instructions)","","OTHER COSTS","1 thru 5)","IFICATIONS","(col. 6 + col. 7)","ADJUSTMENTS","(col. 8 + col. 9)","", , , , , , , , 
"","1","2","3","4","5","6","7","8","9","10","", , , , , , , , 
" GENERAL SERVICE COST CENTERS","","","","","","","","","","","", , , , , , , , 
" Capital Related-Bldgs. and Fixtures","","","","","","","","","","","1", , , , , , , , 
" Capital Related-Movable Equipment","","","","","","","","","","","2", , , , , , , , 
" Plant Operation & Maintenance","","","","","","","","","","","3", , , , , , , , 
" Transportation (see instructions)","","","","","","","","","","","4", , , , , , , , 
" Administrative and General","","","","","","","","","","","5", , , , , , , , 
" HHA REIMBURSABLE SERVICES","","","","","","","","","",""," ", , , , , , , , 
" Skilled Nursing Care","","","","","","","","","","","6", , , , , , , , 
" Physical Therapy","","","","","","","","","","","7", , , , , , , , 
" Occupational Therapy","","","","","","","","","","","8", , , , , , , , 
" Speech Pathology","","","","","","","","","","","9", , , , , , , , 
" Medical Social Services","","","","","","","","","","","10", , , , , , , , 
" Home Health Aide","","","","","","","","","","","11", , , , , , , , 
" Supplies (see instructions)","","","","","","","","","","","12", , , , , , , , 
" Drugs","","","","","","","","","","","13", , , , , , , , 
" DME","","","","","","","","","","","14", , , , , , , , 
" HHA NONREIMBURSABLE SERVICES","","","","","","","","","",""," ", , , , , , , , 
" Home Dialysis Aide Services","","","","","","","","","","","15", , , , , , , , 
" Respiratory Therapy","","","","","","","","","","","16", , , , , , , , 
" Private Duty Nursing","","","","","","","","","","","17", , , , , , , , 
" Clinic","","","","","","","","","","","18", , , , , , , , 
