"Schema: HCRIS TABLE: STRONG_DATA_2013","----------"," Entity 565497"," Report H210001 ","-------------","-------------","-----------",""
"","","From","HHA","RELATED COSTS","","","","","","","","","","","","","","","","","","","","","NON-","","","","","","","","","RESIDENT","","ALLOCATED","",""
"","HHA COST CENTER","Wkst. H-1","TRIAL"," "," ","","","ADMINIS-","MAIN-","","LAUNDRY","","","HHA COST CENTER","","","","MAIN-","NURSING","CENTRAL","","MEDICAL","","OTHER","PHYSICIAN","","","HHA COST CENTER","","INTERNS & RESIDENTS","","PARAMEDICAL","SUBTOTAL","COST & POST","","HHA","",""
"","(omit cents)","\"Part I","\"","BALANCE","BLDGS. &","MOVABLE","EMPLOYEE","SUBTOTAL","TRATIVE &","TENANCE &","OPERATION","& LINEN","","","(omit cents)","HOUSE"," ","","TENANCE OF","ADMINIS-","SERVICES &","","RECORDS &","SOCIAL","GENERAL","ANES-","","","(omit cents)","NURSING","SALARY AND","PROGRAM","EDUCATION","(sum of cols.","STEPDOWN","SUBTOTAL","A&G (see","TOTAL",""
"","","\"col. 6","\"","-1","FIXTURES","EQUIPMENT","BENEFITS","(cols. 0-4)","GENERAL","REPAIRS","OF PLANT","SERVICE","","","","KEEPING","DIETARY","CAFETERIA","PERSONNEL","TRATION","SUPPLY","PHARMACY","LIBRARY","SERVICE","SERVICE","THETISTS","","","","SCHOOL","FRINGES","COSTS","(SPECIFY)","4a-23)","ADJUSTMENTS","(cols. 23 � 24)","Part II)","HHA COSTS",""
"","","line","0","1","2","4","4A","5","6","7","8","","","","9","10","11","12","13","14","15","16","17","18","19","","","","20","21","22","23","24","25","26","27","28",""
"1"," Administrative and General","5","","","","","","","","","","1","1"," Administrative and General","","","","","","","","","","","","1","1"," Administrative and General","","","","","","","","","","1"
"2"," Skilled Nursing Care","6","","","","","","","","","","2","2"," Skilled Nursing Care","","","","","","","","","","","","2","2"," Skilled Nursing Care","","","","","","","","","","2"
"3"," Physical Therapy","7","","","","","","","","","","3","3"," Physical Therapy","","","","","","","","","","","","3","3"," Physical Therapy","","","","","","","","","","3"
"4"," Occupational Therapy","8","","","","","","","","","","4","4"," Occupational Therapy","","","","","","","","","","","","4","4"," Occupational Therapy","","","","","","","","","","4"
"5"," Speech Pathology","9","","","","","","","","","","5","5"," Speech Pathology","","","","","","","","","","","","5","5"," Speech Pathology","","","","","","","","","","5"
"6"," Medical Social Services","10","","","","","","","","","","6","6"," Medical Social Services","","","","","","","","","","","","6","6"," Medical Social Services","","","","","","","","","","6"
"7"," Home Health Aide","11","","","","","","","","","","7","7"," Home Health Aide","","","","","","","","","","","","7","7"," Home Health Aide","","","","","","","","","","7"
"8"," Supplies","12","","","","","","","","","","8","8"," Supplies","","","","","","","","","","","","8","8"," Supplies","","","","","","","","","","8"
"9"," Drugs","13","","","","","","","","","","9","9"," Drugs","","","","","","","","","","","","9","9"," Drugs","","","","","","","","","","9"
"10"," DME","14","","","","","","","","","","10","10"," DME","","","","","","","","","","","","10","10"," DME","","","","","","","","","","10"
"11"," Home Dialysis Aide Services","15","","","","","","","","","","11","11"," Home Dialysis Aide Services","","","","","","","","","","","","11","11"," Home Dialysis Aide Services","","","","","","","","","","11"
"12"," Respiratory Therapy","16","","","","","","","","","","12","12"," Respiratory Therapy","","","","","","","","","","","","12","12"," Respiratory Therapy","","","","","","","","","","12"
"13"," Private Duty Nursing","17","","","","","","","","","","13","13"," Private Duty Nursing","","","","","","","","","","","","13","13"," Private Duty Nursing","","","","","","","","","","13"
"14"," Clinic","18","","","","","","","","","","14","14"," Clinic","","","","","","","","","","","","14","14"," Clinic","","","","","","","","","","14"
"15"," Health Promotion Activities","19","","","","","","","","","","15","15"," Health Promotion Activities","","","","","","","","","","","","15","15"," Health Promotion Activities","","","","","","","","","","15"
"16"," Day Care Program","20","","","","","","","","","","16","16"," Day Care Program","","","","","","","","","","","","16","16"," Day Care Program","","","","","","","","","","16"
"17"," Home Delivered Meals Program","21","","","","","","","","","","17","17"," Home Delivered Meals Program","","","","","","","","","","","","17","17"," Home Delivered Meals Program","","","","","","","","","","17"
"18"," Homemaker Service","22","","","","","","","","","","18","18"," Homemaker Service","","","","","","","","","","","","18","18"," Homemaker Service","","","","","","","","","","18"
"19"," All Others","23","","","","","","","","","","19","19"," All Others","","","","","","","","","","","","19","19"," All Others","","","","","","","","","","19"
"20"," Totals (sum of lines 1-19) (2)","","","","","","","","","","","20","20"," Totals (sum of lines 1-19) (2)","","","","","","","","","","","","20","20"," Totals (sum of lines 1-19) (2)","","","","","","","","","","20"
"21","\" Unit Cost Multiplier: column 26"," line 1 divided by the sum of column 26"," line 20 \"","","","","","","","","","","","21","21","\" Unit Cost Multiplier: column 26"," line 1 divided by the sum of column 26"," line 20 \"","","","","","","","","","","","","21","21","\" Unit Cost Multiplier: column 26"," line 1 divided by the sum of column 26"," line 20 \"","","","","","","","","","","21"
"","\" minus column 26"," line 1"," rounded to 6 decimal places.\"","","","","","","","","","","","","","\" minus column 26"," line 1"," rounded to 6 decimal places.\"","","","","","","","","","","","","","","\" minus column 26"," line 1"," rounded to 6 decimal places.\"","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","\"(1) Column 0"," line 20 must agree with Wkst. A"," column 7"," line 101.\"","","","","","","","","","","","","","\"(2) Columns 0 through 26"," line 20 must agree with the corresponding columns of Wkst. B"," Part I"," line 101.\"","","","","","","","","","","","","","","\"(2) Columns 0 through 26"," line 20 must agree with the corresponding columns of Wkst. B"," Part I"," line 101.\"","","","","","","","","","",""
"","\"(2) Columns 0 through 26"," line 20 must agree with the corresponding columns of Wkst. B"," Part I"," line 101.\"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Entity[565497] Report(H210001)","Entity[565497] Report(H210001[00000])","Entity[565497] Report(H210001[00100])", , ,"Entity[565497] Report(H210001[00400])", , ,"Entity[565497] Report(H210001[00700])", ,"Entity[565497] Report(H210001[00900])", ,"Entity[565497] Report(H210001[01100])", ,"Entity[565497] Report(H210001[01300])","Entity[565497] Report(H210001[01400])","Entity[565497] Report(H210001[01500])", , , , , , , , ,"Entity[565497] Report(H210001[02400])", ,"Entity[565497] Report(H210001[02600])","Entity[565497] Report(H210001[02700])","Entity[565497] Report(H210001[02800])"
"Line(00100)", ,"68611", , ,"152907", , , , , , , , , , , , , , , , , , , ,"265379", ,"265379"
"Line(00200)","3366571", , , ,"409821", , ,"95264", ,"360", ,"5298", ,"59194","713","718", , , , , , , , ,"4799686", ,"4799686","189057","4988743"
"Line(00300)","832441", , , ,"97526", , ,"47957", ,"181", ,"3378", ,"29737","359","361", , , , , , , , ,"1246427", ,"1246427","49097","1295524"
"Line(00400)","218417", , , ,"26891", , ,"847", ,"3", ,"59", ,"518","6","6", , , , , , , , ,"301451", ,"301451","11874","313325"
"Line(00500)","14676", , , ,"914", , ,"4858", ,"19", ,"343", ,"2986","36","37", , , , , , , , ,"30598", ,"30598","1205","31803"
"Line(00600)","59405", , , ,"6128", , ,"734", ,"3", ,"51", ,"438","6","6", , , , , , , , ,"80599", ,"80599","3175","83774"
"Line(00700)","183274", , , ,"21129", , ,"12144", ,"45", ,"855", ,"7524","91","92", , , , , , , , ,"276655", ,"276655","10897","287552"
"Line(00800)", , , , , , , , , , , , , , , , , , , , , , , , ,"1881", ,"1881","74","1955"
"Line(02000)","4674784","68611", , ,"715316", , ,"161804", ,"611", ,"9984", ,"100397","1211","1220", , , , , , , , ,"7002676", ,"7002676","265379","7002676"
