"Schema: HCRIS TABLE: STRONG_DATA_2013","----------"," Entity 565497"," Report D00A184 ","-------------","-------------","-----------",""
"","applicable","","\"   [ ] Title XVIII"," Part A\"","","","   [ ] IPF","           [ ] SNF","","","   [ ] TEFRA"
"","boxes:","","   [ ] Title XIX","","","   [ ] IRF","           [ ] NF","","",""
"","","","","","","","","","",""
"","","","","","","","","All","","Total"
"","","","","","Non","","","Other ","","Outpatient"
"","","","","","Physician","","","Medical","Total cost","Cost"
"","","","","","Anesthetist","Nursing","Allied","Education","(sum of col 1","\"(sum of col. 2","\""
"","","","","","Cost","School","Health","Cost","through col. 4)","3 and 4)"
"","Cost Center Description","","","","1","2","3","4","5","6"
"","ANCILLARY SERVICE COST CENTERS","","","","","","","","",""
"Entity[565497] Report(D00A184)", , , ,"Entity[565497] Report(D00A184[00300])", ,"Entity[565497] Report(D00A184[00500])","Entity[565497] Report(D00A184[00600])","Entity[565497] Report(D00A184[00700])","Entity[565497] Report(D00A184[00800])","Entity[565497] Report(D00A184[00900])","Entity[565497] Report(D00A184[01000])","Entity[565497] Report(D00A184[01100])","Entity[565497] Report(D00A184[01200])","Entity[565497] Report(D00A184[01300])"
"Line(05000)", , , , , , , ,"147215626", , ,"54845764", ,"6786130"
"Line(05001)", , , , , , , ,"46355543", , ,"62333", ,"8117840"
"Line(05100)", , , , , , , ,"44012079", , ,"10268304", ,"4217195"
"Line(05200)", , , , , , , ,"9995581", , ,"217823", ,"16921"
"Line(05300)", , , , , , , ,"84223125", , ,"28629766", ,"4714639"
"Line(05400)", , , , , , , ,"84323655", , ,"17857162", ,"12809844"
"Line(05401)", , , , , , , ,"22157371", , ,"2599670", ,"3101240"
"Line(05600)", , , , , , , ,"36495266", , ,"2274658", ,"12755186"
"Line(05700)", , , , , , , ,"123670968", , ,"23053235", ,"23327787"
"Line(05800)", , , , , , , ,"68790968", , ,"8528539", ,"11254688"
"Line(05900)", , , , , , , ,"74831218", , ,"17432805", ,"18272882"
"Line(06000)", , , , , , , ,"338090153", , ,"77911645", ,"53678020"
"Line(06001)", , , , , , , ,"30675963", , ,"4082992", ,"5542783"
"Line(06003)", , , , , , , ,"122", , , , ,"122"
"Line(06300)", , , , , , , ,"39265158", , ,"14200553", ,"2922473"
"Line(06500)", , , , , , , ,"49340454", , ,"23076143", ,"269106"
"Line(06600)", , , , , , , ,"21589155", , ,"4045844", ,"2993161"
"Line(06700)", , , , , , , ,"8023225", , ,"2559454", ,"318059"
"Line(06800)", , , , , , , ,"2190886", , ,"1051260", ,"15550"
"Line(06900)", , , , , , , ,"112335481", , ,"26944633", ,"22627699"
"Line(07000)", , , , , , , ,"8058241", , ,"1565664", ,"669333"
"Line(07100)", , , , , , , ,"1703001", , , , ,"13864"
"Line(07300)", , , , , , , ,"133471930", , , , ,"36838"
"Line(07400)", , , , , , , ,"30845086", , ,"3527533", ,"16438622"
"Line(07600)", , , , , , , ,"3340210", , ,"873898", ,"832834"
"Line(07601)", , , , , , , ,"545333", , , , ,"742"
"Line(07604)", , , , , , , ,"11746585", , ,"2977624", ,"2955891"
"Line(07607)", , , , , , , ,"33762036", , ,"3581669", ,"7684611"
"Line(07609)", , , , , , , ,"2335915", , ,"412074", ,"88930"
"Line(07610)", , , , , , , ,"284726", , ,"181", ,"25994"
"Line(07611)", , , , , , , ,"115", , , , ,"89"
"Line(09000)", , , , , , , ,"1029864", , ,"2389", ,"174449"
"Line(09001)", , , , , , , ,"511214", , ,"314622", ,"114"
"Line(09002)", , , , , , , ,"73416406", , ,"624948", ,"26054889"
"Line(09003)", , , , , , , ,"154005", , , , ,"35258"
"Line(09007)", , , , , , , ,"132715798", , ,"1432204", ,"42141464"
"Line(09008)", , , , , , , ,"26582958", , ,"72716", ,"5979190"
"Line(09009)", , , , , , , ,"2968365", , ,"3568", ,"648299"
"Line(09010)", , , , , , , ,"9469831", , ,"5113", ,"3002727"
"Line(09012)", , , , , , , ,"5598727", , ,"6099", ,"594814"
"Line(09014)", , , , , , , ,"5618848", , ,"59071", ,"1787630"
"Line(09015)", , , , , , , ,"4918320", , ,"7548", ,"726337"
"Line(09016)", , , , , , , ,"9338512", , ,"10023", ,"1963264"
"Line(09018)", , , , , , , ,"1896619", , ,"3987", ,"290371"
"Line(09020)", , , , , , , ,"5526441", , ,"3196", ,"1232806"
"Line(09021)", , , , , , , ,"2998231", , ,"2278", ,"431532"
"Line(09022)", , , , , , , ,"18658366", , ,"26549", ,"5783946"
"Line(09023)", , , , , , , ,"1960755", , ,"2739", ,"468668"
"Line(09024)", , , , , , , ,"4283775", , , , ,"1608945"
"Line(09025)", , , , , , , ,"1692122", , ,"408", ,"434146"
"Line(09026)", , , , , , , ,"511547", , , , ,"84683"
"Line(09028)", , , , , , , ,"19053063", , ,"18411", ,"8099112"
"Line(09029)", , , , , , , ,"64388625", , ,"153026", ,"16558114"
"Line(09030)", , , , , , , ,"9137102", , ,"17872", ,"1734015"
"Line(09031)", , , , , , , ,"129355", , , , ,"11153"
"Line(09032)", , , , , , , ,"85976", , ,"214", ,"79234"
"Line(09100)", , , ,"1129262", ,"1129262","1129262","105505982","0","0","20929365","224007","11020742","117955"
"Line(09201)", , , , , , , ,"19064685", , ,"5273", ,"20770"
"Line(09700)", , , , , , , ,"2135817"
