"Schema: HCRIS TABLE: STRONG_DATA_2013","----------"," Entity 562588"," Report S910000 ","-------------","-------------","-----------",""
"","----","NO HEADER "," -------- ","NO HEADER"," ------- ","","","","","",""
"Entity[562588] Report(S910000)", ,"Entity[562588] Report(S910000[00100])","Entity[562588] Report(S910000[00200])","Entity[562588] Report(S910000[00300])", ,"Entity[562588] Report(S910000[00500])","Entity[562588] Report(S910000[00600])"
"Line(00100)", ,"21832","943","3990", ,"3368","26143"
"Line(00200)", ,"34191","10","20", ,"19","34220"
"Line(00300)", ,"30","66", , ,"204","300"
"Line(00400)", ,"1054", , , , ,"1054"
"Line(00500)", ,"57107","1019","4010", ,"3591","61717"
"Line(00600)", ,"554","23","76", ,"135","712"
"Line(00800)", ,"103","44","53", ,"27","87"
