"Schema: HCRIS TABLE: STRONG_DATA_2013","----------"," Entity 562588"," Report D00A183 ","-------------","-------------","-----------",""
"applicable ","","\"   [ ]  Title XVIII"," Part A\"","","   [ ] TEFRA","","","","","","","",""
"boxes:","","   [ ]  Title XIX","","","","","","","","","",""
"","","","","","All","Swing-Bed","","","","","Inpatient",""
"","","",""," ","Other ","Adjustment","Total Costs","","Per","","Program",""
"","","","","","Medical","Amount","(sum of cols.","Total","Diem","Inpatient","Pass-Through",""
"","","","Nursing ","Allied  Health","Education","(see","\"1 through 3","\"","Patient","(col. 5 �","Program","Cost",""
"","","","School","Cost","Cost","instructions)"," minus col. 4)","Days","col. 6)","Days","(col. 7 x col. 8)",""
"(A)","Cost Center Description","","1","2","3","4","5","6","7","8","9",""
""," INPATIENT ROUTINE SERVICE COST CENTERS","","","","","","","","","","",""
""," Adults & Pediatrics","","","","","","","","","","",""
"30"," (General Routine Care)","","","","","","","","","","","30"
"","","","","","","","","","","","",""
"31"," Intensive Care Unit","","","","","","","","","","","31"
"","","","","","","","","","","","",""
"32"," Coronary Care Unit","","","","","","","","","","","32"
"","","","","","","","","","","","",""
"33"," Burn Intensive Care Unit","","","","","","","","","","","33"
"","","","","","","","","","","","",""
"34"," Surgical Intensive Care Unit","","","","","","","","","","","34"
"","","","","","","","","","","","",""
"35"," Other Special Care Unit (specify)","","","","","","","","","","","35"
"","","","","","","","","","","","",""
"40"," Subprovider IPF","","","","","","","","","","","40"
"","","","","","","","","","","","",""
"41"," Subprovider IRF","","","","","","","","","","","41"
"","","","","","","","","","","","",""
"42"," Subprovider  (Other)","","","","","","","","","","","42"
"","","","","","","","","","","","",""
"43"," Nursery","","","","","","","","","","","43"
"","","","","","","","","","","","",""
"44"," Skilled Nursing Facility","","","","","","","","","","","44"
"","","","","","","","","","","","",""
"45"," Nursing Facility","","","","","","","","","","","45"
"","","","","","","","","","","","",""
"200"," Total (sum of lines 30-199)","","","","","","","","","","","200"
"","","","","","","","","","","","",""
"","(A) Worksheet A line numbers","","","","","","","","","","",""
"Entity[562588] Report(D00A183)", , ,"Entity[562588] Report(D00A183[00200])", , ,"Entity[562588] Report(D00A183[00500])","Entity[562588] Report(D00A183[00600])","Entity[562588] Report(D00A183[00700])","Entity[562588] Report(D00A183[00800])","Entity[562588] Report(D00A183[00900])"
"Line(03000)", , ,"499759", , ,"499759","122422","4","48871","199394"
"Line(03100)", , ,"70792", , ,"70792","15730","5","7141","32135"
"Line(03101)", , ,"53020", , ,"53020","11781","5"
"Line(03102)", , ,"13888", , ,"13888","3086","5","4","18"
"Line(04000)", , ,"21809", , ,"21809","4846","5","1614","7263"
"Line(04300)", , ,"14987", , ,"14987","3330","5"
"Line(04400)", , ,"43366", , ,"43366","9636","5","3086","13887"
