"Schema: HCRIS TABLE: STRONG_DATA_2013","----------"," Entity 562588"," Report A6000M0 ","-------------","-------------","-----------",""
"","","CODE","","","","","","","","","A-7"
"","EXPLANATION OF RECLASSIFICATION(S)","-1","COST CENTER","LINE #","SALARY","OTHER","COST CENTER","LINE #","SALARY","OTHER","Ref."
"","","1","2","3","4","5","6","7","8","9","10"
"Entity[562588] Report(A6000M0)","Entity[562588] Report(A6000M0[00000])","Entity[562588] Report(A6000M0[00100])", ,"Entity[562588] Report(A6000M0[00300])", ,"Entity[562588] Report(A6000M0[00500])", ,"Entity[562588] Report(A6000M0[00700])", ,"Entity[562588] Report(A6000M0[00900])"
"Line(00100)","IV SOLUTION EXPENSE","M", ,"5", ,"72", ,"13", ,"1272"
"Line(00200)","IV SOLUTION EXPENSE","M", ,"73", ,"743462", ,"14", ,"9396"
"Line(00300)","IV SOLUTION EXPENSE","M", ,"73", ,"32172", ,"14", ,"293"
"Line(00400)","IV SOLUTION EXPENSE","M", , , , , ,"15", ,"38179"
"Line(00500)","IV SOLUTION EXPENSE","M", , , , , ,"15", ,"5775"
"Line(00600)","IV SOLUTION EXPENSE","M", , , , , ,"18", ,"2889"
"Line(00700)","IV SOLUTION EXPENSE","M", , , , , ,"30", ,"212978"
"Line(00800)","IV SOLUTION EXPENSE","M", , , , , ,"31", ,"46997"
"Line(00900)","IV SOLUTION EXPENSE","M", , , , , ,"31", ,"13924"
"Line(01000)","IV SOLUTION EXPENSE","M", , , , , ,"31", ,"6565"
"Line(01100)","IV SOLUTION EXPENSE","M", , , , , ,"40", ,"216"
"Line(01200)","IV SOLUTION EXPENSE","M", , , , , ,"44", ,"4323"
"Line(01300)","IV SOLUTION EXPENSE","M", , , , , ,"50", ,"49318"
"Line(01400)","IV SOLUTION EXPENSE","M", , , , , ,"50", ,"1144"
"Line(01500)","IV SOLUTION EXPENSE","M", , , , , ,"52", ,"31338"
"Line(01600)","IV SOLUTION EXPENSE","M", , , , , ,"53", ,"97748"
"Line(01700)","IV SOLUTION EXPENSE","M", , , , , ,"53", ,"5786"
"Line(01800)","IV SOLUTION EXPENSE","M", , , , , ,"54", ,"7496"
"Line(01900)","IV SOLUTION EXPENSE","M", , , , , ,"54", ,"81"
"Line(02000)","IV SOLUTION EXPENSE","M", , , , , ,"55", ,"643"
"Line(02100)","IV SOLUTION EXPENSE","M", , , , , ,"56", ,"5749"
"Line(02200)","IV SOLUTION EXPENSE","M", , , , , ,"56", ,"37"
"Line(02300)","IV SOLUTION EXPENSE","M", , , , , ,"57", ,"1478"
"Line(02400)","IV SOLUTION EXPENSE","M", , , , , ,"58", ,"9847"
"Line(02500)","IV SOLUTION EXPENSE","M", , , , , ,"58", ,"79"
"Line(02600)","IV SOLUTION EXPENSE","M", , , , , ,"59", ,"13604"
"Line(02700)","IV SOLUTION EXPENSE","M", , , , , ,"60", ,"214"
"Line(02800)","IV SOLUTION EXPENSE","M", , , , , ,"63", ,"133"
"Line(02900)","IV SOLUTION EXPENSE","M", , , , , ,"64", ,"31292"
"Line(03000)","IV SOLUTION EXPENSE","M", , , , , ,"65", ,"842"
"Line(03100)","IV SOLUTION EXPENSE","M", , , , , ,"68", ,"317"
"Line(03200)","IV SOLUTION EXPENSE","M", , , , , ,"70", ,"307"
"Line(03300)","IV SOLUTION EXPENSE","M", , , , , ,"71", ,"34839"
"Line(03400)","IV SOLUTION EXPENSE","M", , , , , ,"71", ,"4626"
"Line(03500)","IV SOLUTION EXPENSE","M", , , , , ,"74", ,"5665"
"Line(03600)","IV SOLUTION EXPENSE","M", , , , , ,"90", ,"46323"
"Line(03700)","IV SOLUTION EXPENSE","M", , , , , ,"90", ,"66"
"Line(03800)","IV SOLUTION EXPENSE","M", , , , , ,"90", ,"264"
"Line(03900)","IV SOLUTION EXPENSE","M", , , , , ,"90", ,"89"
"Line(04000)","IV SOLUTION EXPENSE","M", , , , , ,"90", ,"596"
"Line(04100)","IV SOLUTION EXPENSE","M", , , , , ,"90", ,"15"
"Line(04200)","IV SOLUTION EXPENSE","M", , , , , ,"90", ,"9407"
"Line(04300)","IV SOLUTION EXPENSE","M", , , , , ,"90", ,"6"
"Line(04400)","IV SOLUTION EXPENSE","M", , , , , ,"90", ,"46"
"Line(04500)","IV SOLUTION EXPENSE","M", , , , , ,"90", ,"18"
"Line(04600)","IV SOLUTION EXPENSE","M", , , , , ,"90", ,"56"
"Line(04700)","IV SOLUTION EXPENSE","M", , , , , ,"90", ,"3318"
"Line(04800)","IV SOLUTION EXPENSE","M", , , , , ,"90", ,"110"
"Line(04900)","IV SOLUTION EXPENSE","M", , , , , ,"90", ,"2487"
"Line(05000)","IV SOLUTION EXPENSE","M", , , , , ,"90", ,"534"
"Line(05100)","IV SOLUTION EXPENSE","M", , , , , ,"90", ,"1684"
"Line(05200)","IV SOLUTION EXPENSE","M", , , , , ,"91", ,"58064"
"Line(05300)","IV SOLUTION EXPENSE","M", , , , , ,"91", ,"6099"
"Line(05400)","IV SOLUTION EXPENSE","M", , , , , ,"116", ,"31"
"Line(05500)","IV SOLUTION EXPENSE","M", , , , , ,"191", ,"1103"
