"Schema: HCRIS TABLE: STRONG_DATA_2013","----------"," Entity 562588"," Report A6000R0 ","-------------","-------------","-----------",""
"","","CODE","","","","","","","","","A-7"
"","EXPLANATION OF RECLASSIFICATION(S)","-1","COST CENTER","LINE #","SALARY","OTHER","COST CENTER","LINE #","SALARY","OTHER","Ref."
"","","1","2","3","4","5","6","7","8","9","10"
"Entity[562588] Report(A6000R0)","Entity[562588] Report(A6000R0[00000])","Entity[562588] Report(A6000R0[00100])", ,"Entity[562588] Report(A6000R0[00300])", ,"Entity[562588] Report(A6000R0[00500])", ,"Entity[562588] Report(A6000R0[00700])", ,"Entity[562588] Report(A6000R0[00900])"
"Line(00100)","TREATMENT ROOM OTHER EXPENSE","R", ,"50", ,"513943", ,"30", ,"51160"
"Line(00200)","TREATMENT ROOM OTHER EXPENSE","R", , , , , ,"31", ,"67607"
"Line(00300)","TREATMENT ROOM OTHER EXPENSE","R", , , , , ,"31", ,"9430"
"Line(00400)","TREATMENT ROOM OTHER EXPENSE","R", , , , , ,"40", ,"181"
"Line(00500)","TREATMENT ROOM OTHER EXPENSE","R", , , , , ,"43", ,"237"
"Line(00600)","TREATMENT ROOM OTHER EXPENSE","R", , , , , ,"44", ,"294"
"Line(00700)","TREATMENT ROOM OTHER EXPENSE","R", , , , , ,"50", ,"234"
"Line(00800)","TREATMENT ROOM OTHER EXPENSE","R", , , , , ,"52", ,"16812"
"Line(00900)","TREATMENT ROOM OTHER EXPENSE","R", , , , , ,"53", ,"3830"
"Line(01000)","TREATMENT ROOM OTHER EXPENSE","R", , , , , ,"54", ,"208818"
"Line(01100)","TREATMENT ROOM OTHER EXPENSE","R", , , , , ,"54", ,"26659"
"Line(01200)","TREATMENT ROOM OTHER EXPENSE","R", , , , , ,"55", ,"16"
"Line(01300)","TREATMENT ROOM OTHER EXPENSE","R", , , , , ,"57", ,"1063"
"Line(01400)","TREATMENT ROOM OTHER EXPENSE","R", , , , , ,"59", ,"3711"
"Line(01500)","TREATMENT ROOM OTHER EXPENSE","R", , , , , ,"64", ,"61"
"Line(01600)","TREATMENT ROOM OTHER EXPENSE","R", , , , , ,"65", ,"13520"
"Line(01700)","TREATMENT ROOM OTHER EXPENSE","R", , , , , ,"67", ,"12"
"Line(01800)","TREATMENT ROOM OTHER EXPENSE","R", , , , , ,"90", ,"109052"
"Line(01900)","TREATMENT ROOM OTHER EXPENSE","R", , , , , ,"90", ,"23"
"Line(02000)","TREATMENT ROOM OTHER EXPENSE","R", , , , , ,"90", ,"459"
"Line(02100)","TREATMENT ROOM OTHER EXPENSE","R", , , , , ,"90", ,"24"
"Line(02200)","TREATMENT ROOM OTHER EXPENSE","R", , , , , ,"90", ,"174"
"Line(02300)","TREATMENT ROOM OTHER EXPENSE","R", , , , , ,"90", ,"35"
"Line(02400)","TREATMENT ROOM OTHER EXPENSE","R", , , , , ,"90", ,"39"
"Line(02500)","TREATMENT ROOM OTHER EXPENSE","R", , , , , ,"90", ,"49"
"Line(02600)","TREATMENT ROOM OTHER EXPENSE","R", , , , , ,"91", ,"347"
"Line(02700)","TREATMENT ROOM OTHER EXPENSE","R", , , , , ,"91", ,"12"
"Line(02800)","TREATMENT ROOM OTHER EXPENSE","R", , , , , ,"105", ,"84"
