"Schema: HCRIS TABLE: STRONG_DATA_2013","----------"," Entity 562588"," Report S200001 ","-------------","-------------","-----------",""
"1"," Street:","P.O. Box:","","","","","","","","1"
"2"," City:","State:","Zip Code:","County:","","","","","","2"
"Hospital and Hospital-Based Component Identification:","","","","","","","","","",""
"","","Component","CCN","CBSA","Provider","Date","","\"Payment System (P"," T"," O"," or N)\"","",""
"","Component","Name","Number","Number","Type","Certified","V","XVIII","XIX",""
"","0","1","2","3","4","5","6","7","8",""
"Entity[562588] Report(S200001)", ,"Entity[562588] Report(S200001[00100])","Entity[562588] Report(S200001[00200])","Entity[562588] Report(S200001[00300])","Entity[562588] Report(S200001[00400])","Entity[562588] Report(S200001[00500])","Entity[562588] Report(S200001[00600])","Entity[562588] Report(S200001[00700])","Entity[562588] Report(S200001[00800])"
"Line(00100)", ,"2401 SOUTH 31ST STREET"
"Line(00200)", ,"TEMPLE","TX","76508-","BELL"
"Line(00300)", ,"SCOTT AND WHITE MEMORIAL HOSPITAL","450054","28660","1","07/01/1966","T","P","T"
"Line(00400)", ,"SCOTT AND WHITE MEMORIAL HOSPITAL","45S054","28660","4","09/01/2006","N","P","N"
"Line(00900)", ,"SCOTT AND WHITE MEMORIAL HOSPITAL","455069","28660", ,"07/05/1983","N","P","N"
"Line(01200)", ,"SCOTT AND WHITE MEMORIAL HOSPITAL","457555","28660", ,"11/23/1983","O","P","O"
"Line(01201)", ,"SCOTT AND WHITE MEMORIAL HOSPITAL","457443","28660", ,"04/01/1983","O","P","O"
"Line(01400)", ,"SCOTT AND WHITE MEMORIAL HOSPITAL","451691","28660", ,"12/02/1998"
"Line(01401)", ,"SCOTT AND WHITE MEMORIAL HOSPITAL","451569","28660", ,"11/05/1992"
"Line(01800)", ,"SCOTT AND WHITE KILLEEN","453501","28660", ,"09/01/2000"
"Line(01801)", ,"SCOTT AND WHITE TEMPLE","453502","28660", ,"09/01/2000"
"Line(01802)", ,"SCOTT AND WHITE ROUND ROCK","453503","28660", ,"09/01/2000"
"Line(01803)", ,"SCOTT AND WHITE KILLEEN WEST","453509","28660", ,"09/01/2008"
"Line(02000)", ,"09/01/2013","08/31/2014"
"Line(02100)", ,"2"
"Line(02200)", ,"Y","N"
"Line(02201)", ,"N","N"
"Line(02202)", ,"N","N"
"Line(02203)", ,"N","N","N"
"Line(02300)", ,"3","N"
"Line(02400)", ,"4290","2244","1", ,"24819"
"Line(02600)", ,"1"
"Line(02700)", ,"1"
"Line(03900)", ,"N","N"
"Line(04000)", ,"N","N"
"Line(04500)", ,"N","Y","N"
"Line(04600)", ,"N","N","N"
"Line(04700)", ,"N","N","N"
"Line(04800)", ,"N","N","N"
"Line(05600)", ,"Y"
"Line(05700)", ,"N"
"Line(05800)", ,"N"
"Line(05900)", ,"N"
"Line(06000)", ,"Y"
"Line(06100)", ,"N"
"Line(06300)", ,"N"
"Line(07000)", ,"Y"
"Line(07100)", ,"N"
"Line(07500)", ,"N"
"Line(07600)", ,"N","N"
"Line(08000)", ,"N"
"Line(08100)", ,"N"
"Line(08500)", ,"N"
"Line(09000)", ,"Y","Y"
"Line(09100)", ,"Y","Y"
"Line(09200)", , ,"N"
"Line(09300)", ,"N","N"
"Line(09400)", ,"Y","Y"
"Line(09500)", ,"0","0"
"Line(09600)", ,"Y","Y"
"Line(09700)", ,"0","0"
"Line(10500)", ,"N"
"Line(10600)", ,"N"
"Line(10700)", ,"N"
"Line(10800)", ,"N"
"Line(10900)", ,"N","N","N","N"
"Line(11000)", ,"N"
"Line(11500)", ,"N"
"Line(11600)", ,"N"
"Line(11700)", ,"Y"
"Line(11800)", ,"2"
"Line(11801)", ,"7000000", ,"35000000"
"Line(11802)", ,"N"
"Line(12000)", ,"N","N"
"Line(12100)", ,"Y"
"Line(12500)", ,"Y"
"Line(12600)", ,"02/07/1997"
"Line(12700)", ,"02/09/2012"
"Line(13000)", ,"01/01/2000"
"Line(14000)", ,"Y","HB0077"
"Line(14100)", ,"SCOTT & WHITE","NOVITAS","04011"
"Line(14200)", ,"2401 S 31ST"
"Line(14300)", ,"TEMPLE","TX","76508"
"Line(14400)", ,"Y"
"Line(14500)", ,"N"
"Line(14600)", ,"N"
"Line(14700)", ,"N"
"Line(14800)", ,"N"
"Line(14900)", ,"N"
"Line(15500)", ,"N","N","N","N"
"Line(15600)", ,"N","N","N","N"
"Line(15700)", ,"N","N","N","N"
"Line(15900)", ,"N","N","N","N"
"Line(16000)", ,"N","N","N","N"
"Line(16001)", ,"N","N","N","N"
"Line(16002)", ,"N","N","N","N"
"Line(16100)", , ,"N","N","N"
"Line(16500)", ,"N"
"Line(16700)", ,"Y"
"Line(16900)", ,"1"
"Line(17000)", ,"03/01/2014","05/29/2014"
