"Schema: HCRIS TABLE: STRONG_DATA_2013","----------"," Entity 562588"," Report A6000L0 ","-------------","-------------","-----------",""
"","","CODE","","","","","","","","","A-7"
"","EXPLANATION OF RECLASSIFICATION(S)","-1","COST CENTER","LINE #","SALARY","OTHER","COST CENTER","LINE #","SALARY","OTHER","Ref."
"","","1","2","3","4","5","6","7","8","9","10"
"Entity[562588] Report(A6000L0)","Entity[562588] Report(A6000L0[00000])","Entity[562588] Report(A6000L0[00100])", ,"Entity[562588] Report(A6000L0[00300])", ,"Entity[562588] Report(A6000L0[00500])", ,"Entity[562588] Report(A6000L0[00700])", ,"Entity[562588] Report(A6000L0[00900])"
"Line(00100)","ANESTHESIA EXPENSE","L", ,"53", ,"1759253", ,"5", ,"180"
"Line(00200)","ANESTHESIA EXPENSE","L", ,"53", ,"101573", ,"7", ,"8265"
"Line(00300)","ANESTHESIA EXPENSE","L", , , , , ,"10", ,"410"
"Line(00400)","ANESTHESIA EXPENSE","L", , , , , ,"15", ,"56"
"Line(00500)","ANESTHESIA EXPENSE","L", , , , , ,"31", ,"256"
"Line(00600)","ANESTHESIA EXPENSE","L", , , , , ,"50", ,"21153"
"Line(00700)","ANESTHESIA EXPENSE","L", , , , , ,"50", ,"1725"
"Line(00800)","ANESTHESIA EXPENSE","L", , , , , ,"54", ,"20486"
"Line(00900)","ANESTHESIA EXPENSE","L", , , , , ,"55", ,"26"
"Line(01000)","ANESTHESIA EXPENSE","L", , , , , ,"60", ,"8890"
"Line(01100)","ANESTHESIA EXPENSE","L", , , , , ,"60", ,"4676"
"Line(01200)","ANESTHESIA EXPENSE","L", , , , , ,"60", ,"1266"
"Line(01300)","ANESTHESIA EXPENSE","L", , , , , ,"65", ,"1609206"
"Line(01400)","ANESTHESIA EXPENSE","L", , , , , ,"65", ,"3170"
"Line(01500)","ANESTHESIA EXPENSE","L", , , , , ,"65", ,"88816"
"Line(01600)","ANESTHESIA EXPENSE","L", , , , , ,"71", ,"3226"
"Line(01700)","ANESTHESIA EXPENSE","L", , , , , ,"74", ,"18726"
"Line(01800)","ANESTHESIA EXPENSE","L", , , , , ,"90", ,"18051"
"Line(01900)","ANESTHESIA EXPENSE","L", , , , , ,"90", ,"947"
"Line(02000)","ANESTHESIA EXPENSE","L", , , , , ,"90", ,"4098"
"Line(02100)","ANESTHESIA EXPENSE","L", , , , , ,"90", ,"6961"
"Line(02200)","ANESTHESIA EXPENSE","L", , , , , ,"90", ,"1064"
"Line(02300)","ANESTHESIA EXPENSE","L", , , , , ,"90", ,"191"
"Line(02400)","ANESTHESIA EXPENSE","L", , , , , ,"90", ,"1357"
"Line(02500)","ANESTHESIA EXPENSE","L", , , , , ,"90", ,"1171"
"Line(02600)","ANESTHESIA EXPENSE","L", , , , , ,"90", ,"1585"
"Line(02700)","ANESTHESIA EXPENSE","L", , , , , ,"90", ,"1307"
"Line(02800)","ANESTHESIA EXPENSE","L", , , , , ,"90", ,"75"
"Line(02900)","ANESTHESIA EXPENSE","L", , , , , ,"90", ,"4237"
"Line(03000)","ANESTHESIA EXPENSE","L", , , , , ,"90", ,"827"
"Line(03100)","ANESTHESIA EXPENSE","L", , , , , ,"90", ,"1080"
"Line(03200)","ANESTHESIA EXPENSE","L", , , , , ,"90", ,"1056"
"Line(03300)","ANESTHESIA EXPENSE","L", , , , , ,"90", ,"1926"
"Line(03400)","ANESTHESIA EXPENSE","L", , , , , ,"91", ,"6765"
"Line(03500)","ANESTHESIA EXPENSE","L", , , , , ,"190", ,"26"
"Line(03600)","ANESTHESIA EXPENSE","L", , , , , ,"190", ,"1074"
"Line(03700)","ANESTHESIA EXPENSE","L", , , , , ,"191", ,"11187"
"Line(03800)","ANESTHESIA EXPENSE","L", , , , , ,"191", ,"35"
"Line(03900)","ANESTHESIA EXPENSE","L", , , , , ,"191", ,"5273"
