"Schema: HCRIS TABLE: STRONG_DATA_2013","----------"," Entity 562588"," Report D00E184 ","-------------","-------------","-----------",""
"","applicable","","\"   [ ] Title XVIII"," Part A\"","","","   [ ] IPF","           [ ] SNF","","","   [ ] TEFRA"
"","boxes:","","   [ ] Title XIX","","","   [ ] IRF","           [ ] NF","","",""
"","","","","","","","","","",""
"","","","","","","","","All","","Total"
"","","","","","Non","","","Other ","","Outpatient"
"","","","","","Physician","","","Medical","Total cost","Cost"
"","","","","","Anesthetist","Nursing","Allied","Education","(sum of col 1","\"(sum of col. 2","\""
"","","","","","Cost","School","Health","Cost","through col. 4)","3 and 4)"
"","Cost Center Description","","","","1","2","3","4","5","6"
"","ANCILLARY SERVICE COST CENTERS","","","","","","","","",""
"Entity[562588] Report(D00E184)", , , ,"Entity[562588] Report(D00E184[00300])", ,"Entity[562588] Report(D00E184[00500])","Entity[562588] Report(D00E184[00600])","Entity[562588] Report(D00E184[00700])","Entity[562588] Report(D00E184[00800])","Entity[562588] Report(D00E184[00900])","Entity[562588] Report(D00E184[01000])","Entity[562588] Report(D00E184[01100])"
"Line(05000)", , , , , , , ,"314828603", , ,"9142"
"Line(05001)", , , , , , , ,"32862124"
"Line(05200)", , , , , , , ,"25289918", , ,"24"
"Line(05300)", , , , , , , ,"81548102", , ,"3249"
"Line(05301)", , , , , , , ,"8920641", , ,"1"
"Line(05400)", , , , , , , ,"160166050", , ,"47964"
"Line(05413)", , , , , , , ,"8694329", , ,"4"
"Line(05500)", , , ,"266280", ,"266280","266280","59984436","0","0","24836","110"
"Line(05600)", , , , , , , ,"17859269", , ,"14"
"Line(05601)", , , , , , , ,"508121"
"Line(05700)", , , , , , , ,"104060334", , ,"10623"
"Line(05701)", , , , , , , ,"4477410"
"Line(05800)", , , , , , , ,"62950039", , ,"8569"
"Line(05801)", , , , , , , ,"6487343"
"Line(05900)", , , , , , , ,"54656719", , ,"526"
"Line(06000)", , , ,"176788", ,"176788","176788","230476776","0","0","379411","291"
"Line(06005)", , , , , , , ,"67210298", , ,"61901"
"Line(06006)", , , , , , , ,"1772435", , ,"725"
"Line(06016)", , , , , , , ,"10611146", , ,"51"
"Line(06300)", , , , , , , ,"42366753", , ,"51007"
"Line(06301)", , , , , , , ,"1751258"
"Line(06400)", , , , , , , ,"18896515", , ,"32"
"Line(06500)", , , , , , , ,"77294061", , ,"565024"
"Line(06501)", , , , , , , ,"3733054", , ,"355"
"Line(06502)", , , , , , , ,"8209666", , ,"55"
"Line(06600)", , , , , , , ,"28256856", , ,"636866"
"Line(06602)", , , , , , , ,"1257620", , ,"138"
"Line(06700)", , , , , , , ,"11949445", , ,"302014"
"Line(06702)", , , , , , , ,"1625001"
"Line(06800)", , , , , , , ,"4213457", , ,"56214"
"Line(06802)", , , , , , , ,"4528253", , ,"15"
"Line(06803)", , , , , , , ,"756193", , ,"53"
"Line(06900)", , , , , , , ,"17702404", , ,"4379"
"Line(06901)", , , , , , , ,"290555"
"Line(07000)", , , , , , , ,"24217792", , ,"159"
"Line(07100)", , , , , , , ,"179644475", , ,"767270"
"Line(07101)", , , , , , , ,"10950923"
"Line(07200)", , , , , , , ,"111113205", , ,"6928"
"Line(07201)", , , , , , , ,"2937958"
"Line(07300)", , , ,"640293", ,"640293","640293","293052377","0","0","1867757","4081"
"Line(07301)", , , , , , , ,"19831214"
"Line(07400)", , , , , , , ,"55575780", , ,"2"
"Line(07602)", , , , , , , ,"874667"
"Line(09000)", , , , , , , ,"244115866", , ,"8243"
"Line(09001)", , , , , , , ,"13516570", , ,"175"
"Line(09002)", , , , , , , ,"3292757", , ,"12"
"Line(09003)", , , , , , , ,"14733550", , ,"17"
"Line(09004)", , , , , , , ,"9956117", , ,"26"
"Line(09005)", , , , , , , ,"2971702", , ,"8"
"Line(09006)", , , , , , , ,"32676958", , ,"1695"
"Line(09007)", , , , , , , ,"2482236", , ,"6"
"Line(09008)", , , , , , , ,"2519630"
"Line(09009)", , , , , , , ,"1804081", , ,"7"
"Line(09010)", , , , , , , ,"2150272", , ,"4"
"Line(09011)", , , , , , , ,"4076320"
"Line(09012)", , , , , , , ,"318929", , ,"1"
"Line(09013)", , , , , , , ,"2295858", , ,"1"
"Line(09014)", , , , , , , ,"41770191", , ,"332"
"Line(09015)", , , , , , , ,"2911926"
"Line(09016)", , , , , , , ,"1847353", , ,"4"
"Line(09017)", , , , , , , ,"30800567", , ,"82"
"Line(09018)", , , , , , , ,"5208951", , ,"16"
"Line(09020)", , , , , , , ,"15903201"
"Line(09100)", , , , , , , ,"133801682", , ,"1131"
"Line(09101)", , , , , , , ,"27806209"
"Line(09200)", , , , , , , ,"19164955"
"Line(09400)", , , , , , , ,"7931229"
