"Schema: HCRIS TABLE: STRONG_DATA_2013","----------"," Entity 562588"," Report A6000G0 ","-------------","-------------","-----------",""
"","","CODE","","","","","","","","","A-7"
"","EXPLANATION OF RECLASSIFICATION(S)","-1","COST CENTER","LINE #","SALARY","OTHER","COST CENTER","LINE #","SALARY","OTHER","Ref."
"","","1","2","3","4","5","6","7","8","9","10"
"Entity[562588] Report(A6000G0)","Entity[562588] Report(A6000G0[00000])","Entity[562588] Report(A6000G0[00100])", ,"Entity[562588] Report(A6000G0[00300])", ,"Entity[562588] Report(A6000G0[00500])", ,"Entity[562588] Report(A6000G0[00700])", ,"Entity[562588] Report(A6000G0[00900])"
"Line(00100)","TELEPHONE EXPENSE","G", ,"7", ,"342717", ,"4", ,"27"
"Line(00200)","TELEPHONE EXPENSE","G", , , , , ,"5", ,"54672"
"Line(00300)","TELEPHONE EXPENSE","G", , , , , ,"9", ,"2646"
"Line(00400)","TELEPHONE EXPENSE","G", , , , , ,"10", ,"241"
"Line(00500)","TELEPHONE EXPENSE","G", , , , , ,"10", ,"104"
"Line(00600)","TELEPHONE EXPENSE","G", , , , , ,"13", ,"10815"
"Line(00700)","TELEPHONE EXPENSE","G", , , , , ,"13", ,"1599"
"Line(00800)","TELEPHONE EXPENSE","G", , , , , ,"15", ,"715"
"Line(00900)","TELEPHONE EXPENSE","G", , , , , ,"15", ,"11"
"Line(01000)","TELEPHONE EXPENSE","G", , , , , ,"17", ,"1256"
"Line(01100)","TELEPHONE EXPENSE","G", , , , , ,"21", ,"28"
"Line(01200)","TELEPHONE EXPENSE","G", , , , , ,"22", ,"817"
"Line(01300)","TELEPHONE EXPENSE","G", , , , , ,"31", ,"95"
"Line(01400)","TELEPHONE EXPENSE","G", , , , , ,"50", ,"1232"
"Line(01500)","TELEPHONE EXPENSE","G", , , , , ,"52", ,"558"
"Line(01600)","TELEPHONE EXPENSE","G", , , , , ,"53", ,"743"
"Line(01700)","TELEPHONE EXPENSE","G", , , , , ,"54", ,"781"
"Line(01800)","TELEPHONE EXPENSE","G", , , , , ,"55", ,"127"
"Line(01900)","TELEPHONE EXPENSE","G", , , , , ,"59", ,"3"
"Line(02000)","TELEPHONE EXPENSE","G", , , , , ,"60", ,"18313"
"Line(02100)","TELEPHONE EXPENSE","G", , , , , ,"60", ,"13699"
"Line(02200)","TELEPHONE EXPENSE","G", , , , , ,"63", ,"2524"
"Line(02300)","TELEPHONE EXPENSE","G", , , , , ,"70", ,"1843"
"Line(02400)","TELEPHONE EXPENSE","G", , , , , ,"74", ,"1300"
"Line(02500)","TELEPHONE EXPENSE","G", , , , , ,"90", ,"51142"
"Line(02600)","TELEPHONE EXPENSE","G", , , , , ,"90", ,"1098"
"Line(02700)","TELEPHONE EXPENSE","G", , , , , ,"90", ,"76"
"Line(02800)","TELEPHONE EXPENSE","G", , , , , ,"90", ,"109"
"Line(02900)","TELEPHONE EXPENSE","G", , , , , ,"90", ,"723"
"Line(03000)","TELEPHONE EXPENSE","G", , , , , ,"90", ,"114"
"Line(03100)","TELEPHONE EXPENSE","G", , , , , ,"90", ,"3475"
"Line(03200)","TELEPHONE EXPENSE","G", , , , , ,"90", ,"3161"
"Line(03300)","TELEPHONE EXPENSE","G", , , , , ,"90", ,"8903"
"Line(03400)","TELEPHONE EXPENSE","G", , , , , ,"90", ,"8463"
"Line(03500)","TELEPHONE EXPENSE","G", , , , , ,"90", ,"4305"
"Line(03600)","TELEPHONE EXPENSE","G", , , , , ,"91", ,"1118"
"Line(03700)","TELEPHONE EXPENSE","G", , , , , ,"101", ,"58463"
"Line(03800)","TELEPHONE EXPENSE","G", , , , , ,"101", ,"21792"
"Line(03900)","TELEPHONE EXPENSE","G", , , , , ,"105", ,"1986"
"Line(04000)","TELEPHONE EXPENSE","G", , , , , ,"106", ,"2052"
"Line(04100)","TELEPHONE EXPENSE","G", , , , , ,"116", ,"33563"
"Line(04200)","TELEPHONE EXPENSE","G", , , , , ,"116", ,"23991"
"Line(04300)","TELEPHONE EXPENSE","G", , , , , ,"191", ,"2236"
"Line(04400)","TELEPHONE EXPENSE","G", , , , , ,"191", ,"717"
"Line(04500)","TELEPHONE EXPENSE","G", , , , , ,"191", ,"72"
"Line(04600)","TELEPHONE EXPENSE","G", , , , , ,"194", ,"981"
"Line(04700)","TELEPHONE EXPENSE","G", , , , , ,"194", ,"28"
