"Schema: HCRIS TABLE: STRONG_DATA_2013","----------"," Entity 562588"," Report D30A190 ","-------------","-------------","-----------",""
"","applicable","\"   [ ]  Title XVIII"," Part A\"","   [ ]  IPF"," [ ]  SNF","  [ ]  Swing-Bed NF","   [ ]  TEFRA",""
"","boxes:","   [ ]  Title XIX","   [ ]  IRF"," [ ]  NF","  [ ]  ICF/MR","   [ ]  Other",""
"","","","","Ratio of Cost","Inpatient","Inpatient Program Costs",""
"","COST  CENTER  DESCRIPTION","","","to Charges","Program Charges","(col. 1 x col. 2)",""
"","","","","1","2","3",""
"","INPATIENT ROUTINE SERVICE COST CENTERS","","","","","",""
"30"," Adults and Pediatrics (General Routine Care)","","","","","","30"
"31"," Intensive Care Unit","","","","","","31"
"32"," Coronary Care Unit","","","","","","32"
"33"," Burn Intensive Care Unit","","","","","","33"
"34"," Surgical Intensive Care Unit","","","","","","34"
"35"," Other Special Care (specify)","","","","","","35"
"40"," Subprovider IPF","","","","","","40"
"41"," Subprovider IRF","","","","","","41"
"42"," Subprovider (Specify)","","","","","","42"
"43"," Nursery","","","","","","43"
"","ANCILLARY SERVICE COST CENTERS","","","","","",""
"50"," Operating Room","","","","","","50"
"51"," Recovery Room","","","","","","51"
"52"," Labor Room and Delivery Room","","","","","","52"
"53"," Anesthesiology","","","","","","53"
"54"," Radiology-Diagnostic","","","","","","54"
"55"," Radiology-Therapeutic","","","","","","55"
"56"," Radioisotope","","","","","","56"
"57"," Computed Tomography (CT) Scan","","","","","","57"
"58"," Magnetic Resonance Imaging (MRI)","","","","","","58"
"59"," Cardiac Catheterization","","","","","","59"
"60"," Laboratory","","","","","","60"
"61"," PBP Clinical Laboratory Services-Prgm. Only","","","","","","61"
"62"," Whole Blood & Packed Red Blood Cells","","","","","","62"
"63","\" Blood Storing"," Processing"," & Trans.\"","","","","","","63"
"64"," Intravenous Therapy","","","","","","64"
"65"," Respiratory Therapy","","","","","","65"
"66"," Physical Therapy","","","","","","66"
"67"," Occupational Therapy","","","","","","67"
"68"," Speech Pathology","","","","","","68"
"69"," Electrocardiology","","","","","","69"
"70"," Electroencephalography","","","","","","70"
"71"," Medical Supplies Charged to Patients","","","","","","71"
"72"," Implantable Devices Charged to Patients","","","","","","72"
"73"," Drugs Charged to Patients","","","","","","73"
"74"," Renal Dialysis","","","","","","74"
"75"," ASC (Non-Distinct Part)","","","","","","75"
"76"," Other Ancillary (specify)","","","","","","76"
"","OUTPATIENT SERVICE COST CENTERS","","","","","",""
"88"," Rural Health Clinic (RHC)","","","","","","88"
"89"," Federally Qualified Health Center (FQHC)","","","","","","89"
"90"," Clinic","","","","","","90"
"91"," Emergency","","","","","","91"
"92"," Observation Beds (see instructions)","","","","","","92"
"93"," Other Outpatient Service (specify)","","","","","","93"
"","OTHER REIMBURSABLE COST CENTERS","","","","","",""
"94"," Home Program Dialysis","","","","","","94"
"95"," Ambulance Services","","","","","","95"
"96"," Durable Medical Equipment-Rented","","","","","","96"
"97"," Durable Medical Equipment-Sold","","","","","","97"
"98"," Other Reimbursable (specify)","","","","","","98"
"200"," Total (sum of lines 50-94 and 96-98)","","","","","","200"
"201"," Less PBP Clinic Laboratory Services-Program only charges (line 61)","","","","","","201"
"202"," Net Charges (line 200 minus line 201)","","","","","","202"
"Entity[562588] Report(D30A190)", , ,"Entity[562588] Report(D30A190[00200])","Entity[562588] Report(D30A190[00300])"
"Line(03000)", , ,"6389040"
"Line(03100)", , ,"1648989"
"Line(03101)", , ,"7244380"
"Line(03102)", , ,"1939741"
"Line(04000)", , ,"15948"
"Line(04300)", , ,"1504810"
"Line(05000)", , ,"1307496"
"Line(05001)", , ,"923065"
"Line(05200)", , ,"1375799"
"Line(05300)", , ,"735834"
"Line(05301)", , ,"255756"
"Line(05400)", , ,"1232899"
"Line(05413)", , ,"453690"
"Line(05500)", , ,"153292"
"Line(05700)", , ,"285363"
"Line(05701)", , ,"232115"
"Line(05800)", , ,"152255"
"Line(05801)", , ,"139750"
"Line(05900)", , ,"52063"
"Line(06000)", , ,"3057504"
"Line(06005)", , ,"360811"
"Line(06006)", , ,"28928"
"Line(06016)", , ,"759163"
"Line(06300)", , ,"30391"
"Line(06400)", , ,"119"
"Line(06500)", , ,"1630081"
"Line(06501)", , ,"132"
"Line(06502)", , ,"1252857"
"Line(06600)", , ,"172143"
"Line(06602)", , ,"37356"
"Line(06700)", , ,"178477"
"Line(06702)", , ,"59155"
"Line(06800)", , ,"13494"
"Line(06802)", , ,"32895"
"Line(06803)", , ,"11461"
"Line(06900)", , ,"86593"
"Line(06901)", , ,"11638"
"Line(07000)", , ,"489418"
"Line(07100)", , ,"4895763"
"Line(07300)", , ,"6558729"
"Line(07400)", , ,"50357"
"Line(09000)", , ,"386633"
"Line(09001)", , ,"864"
"Line(09002)", , ,"394"
"Line(09003)", , ,"283"
"Line(09004)", , ,"1447"
"Line(09005)", , ,"118"
"Line(09006)", , ,"38"
"Line(09007)", , ,"37"
"Line(09008)", , ,"923"
"Line(09009)", , ,"63"
"Line(09010)", , ,"74"
"Line(09011)", , ,"778"
"Line(09012)", , ,"19"
"Line(09013)", , ,"69"
"Line(09014)", , ,"280"
"Line(09015)", , ,"74"
"Line(09016)", , ,"103"
"Line(09017)", , ,"1008"
"Line(09018)", , ,"138"
"Line(09020)", , ,"8980"
"Line(09100)", , ,"677376"
"Line(09101)", , ,"383615"
