"Schema: HCRIS TABLE: STRONG_DATA_2013","----------"," Entity 562588"," Report S700000 ","-------------","-------------","-----------",""
"","----","NO HEADER "," -------- ","NO HEADER"," ------- ","","","","","",""
"Entity[562588] Report(S700000)", ,"Entity[562588] Report(S700000[00100])","Entity[562588] Report(S700000[00200])", ,"Entity[562588] Report(S700000[00400])"
"Line(00700)", , ,"22", ,"22"
"Line(00900)", , ,"47", ,"47"
"Line(01500)", , ,"41", ,"41"
"Line(01600)", , ,"20", ,"20"
"Line(01700)", , ,"22", ,"22"
"Line(01800)", , ,"119", ,"119"
"Line(01900)", , ,"206", ,"206"
"Line(02000)", , ,"48", ,"48"
"Line(02100)", , ,"251", ,"251"
"Line(02200)", , ,"453", ,"453"
"Line(02300)", , ,"64", ,"64"
"Line(02600)", , ,"5", ,"5"
"Line(02700)", , ,"169", ,"169"
"Line(03000)", , ,"85", ,"85"
"Line(03200)", , ,"30", ,"30"
"Line(03400)", , ,"137", ,"137"
"Line(03600)", , ,"108", ,"108"
"Line(03800)", , ,"77", ,"77"
"Line(04000)", , ,"108", ,"108"
"Line(04200)", , ,"118", ,"118"
"Line(04400)", , ,"52", ,"52"
"Line(04600)", , ,"44", ,"44"
"Line(04800)", , ,"24", ,"24"
"Line(05000)", , ,"91", ,"91"
"Line(05200)", , ,"96", ,"96"
"Line(05400)", , ,"632", ,"632"
"Line(07800)", , ,"16", ,"16"
"Line(19900)", , ,"1", ,"1"
"Line(20000)", , ,"3086", ,"3086"
"Line(20100)", ,"58660"
