"Schema: HCRIS TABLE: STRONG_DATA_2013","----------"," Entity 562588"," Report K410002 ","-------------","-------------","-----------",""
"","----","NO HEADER "," -------- ","NO HEADER"," ------- ","","","","","",""
"Entity[562588] Report(K410002)", , , , , , ,"Entity[562588] Report(K410002[00600])"
"Line(00600)", , , , , , ,"5335170"
"Line(01000)", , , , , , ,"2521649"
"Line(01500)", , , , , , ,"1017740"
"Line(01600)", , , , , , ,"509763"
"Line(01900)", , , , , , ,"619833"
"Line(02100)", , , , , , ,"666185"
"Line(03900)", , , , , , ,"851306"
