"Schema: HCRIS TABLE: STRONG_DATA_2013","----------"," Entity 562588"," Report A600AA0 ","-------------","-------------","-----------",""
"","","CODE","","","","","","","","","A-7"
"","EXPLANATION OF RECLASSIFICATION(S)","-1","COST CENTER","LINE #","SALARY","OTHER","COST CENTER","LINE #","SALARY","OTHER","Ref."
"","","1","2","3","4","5","6","7","8","9","10"
"Entity[562588] Report(A600AA0)","Entity[562588] Report(A600AA0[00000])","Entity[562588] Report(A600AA0[00100])", ,"Entity[562588] Report(A600AA0[00300])","Entity[562588] Report(A600AA0[00400])", , ,"Entity[562588] Report(A600AA0[00700])","Entity[562588] Report(A600AA0[00800])"
"Line(00100)","TEACHING PHYSICIAN SALARY","AA", ,"22","14127789", , ,"5","145316"
"Line(00200)","TEACHING PHYSICIAN SALARY","AA", , , , , ,"31","1234"
"Line(00300)","TEACHING PHYSICIAN SALARY","AA", , , , , ,"50","1661484"
"Line(00400)","TEACHING PHYSICIAN SALARY","AA", , , , , ,"53","1081685"
"Line(00500)","TEACHING PHYSICIAN SALARY","AA", , , , , ,"53","68732"
"Line(00600)","TEACHING PHYSICIAN SALARY","AA", , , , , ,"54","2178852"
"Line(00700)","TEACHING PHYSICIAN SALARY","AA", , , , , ,"55","14352"
"Line(00800)","TEACHING PHYSICIAN SALARY","AA", , , , , ,"56","83199"
"Line(00900)","TEACHING PHYSICIAN SALARY","AA", , , , , ,"59","210520"
"Line(01000)","TEACHING PHYSICIAN SALARY","AA", , , , , ,"60","109571"
"Line(01100)","TEACHING PHYSICIAN SALARY","AA", , , , , ,"60","298692"
"Line(01200)","TEACHING PHYSICIAN SALARY","AA", , , , , ,"65","460250"
"Line(01300)","TEACHING PHYSICIAN SALARY","AA", , , , , ,"69","285082"
"Line(01400)","TEACHING PHYSICIAN SALARY","AA", , , , , ,"70","61341"
"Line(01500)","TEACHING PHYSICIAN SALARY","AA", , , , , ,"90","4664638"
"Line(01600)","TEACHING PHYSICIAN SALARY","AA", , , , , ,"90","111061"
"Line(01700)","TEACHING PHYSICIAN SALARY","AA", , , , , ,"90","238340"
"Line(01800)","TEACHING PHYSICIAN SALARY","AA", , , , , ,"90","344524"
"Line(01900)","TEACHING PHYSICIAN SALARY","AA", , , , , ,"90","68290"
"Line(02000)","TEACHING PHYSICIAN SALARY","AA", , , , , ,"90","4562"
"Line(02100)","TEACHING PHYSICIAN SALARY","AA", , , , , ,"90","15240"
"Line(02200)","TEACHING PHYSICIAN SALARY","AA", , , , , ,"90","41678"
"Line(02300)","TEACHING PHYSICIAN SALARY","AA", , , , , ,"90","19012"
"Line(02400)","TEACHING PHYSICIAN SALARY","AA", , , , , ,"90","2749"
"Line(02500)","TEACHING PHYSICIAN SALARY","AA", , , , , ,"90","42269"
"Line(02600)","TEACHING PHYSICIAN SALARY","AA", , , , , ,"90","411260"
"Line(02700)","TEACHING PHYSICIAN SALARY","AA", , , , , ,"90","68702"
"Line(02800)","TEACHING PHYSICIAN SALARY","AA", , , , , ,"91","1313634"
"Line(02900)","TEACHING PHYSICIAN SALARY","AA", , , , , ,"91","71579"
"Line(03000)","TEACHING PHYSICIAN SALARY","AA", , , , , ,"105","49941"
