"Schema: HCRIS TABLE: STRONG_DATA_2013","----------"," Entity 562588"," Report H320181 ","-------------","-------------","-----------",""
"","PART I - COMPUTATION OF THE AGGREGATE PROGRAM COST","","","","","","","","","","","","","",""
"","Cost Per Visit Computation","","","","","","","","","Program Visits","","","Cost of Services","",""
"","","\"From","\"","Facility","Shared","","","Average","","                    Part B","","","                    Part B","","",""
"","","Wkst.","Costs","Ancillary","Total","","Cost","","Not","","","Not","","Total",""
"","","\"H-2","\"","(from","Costs","HHA","","Per Visit","","Subject to","Subject to","","Subject to","Subject to","Program Cost",""
"","Patient Services","\"Part I","\"","\"Wkst. H-2","\"","(from","Costs","Total","(col. 3 ","","Deductibles ","Deductibles ","","Deductibles ","Deductibles ","(sum of",""
"","","\"col. 28","\"","Part I)","Part II)","(cols. 1 + 2)","Visits","� col. 4)","Part A","& Coinsurance","& Coinsurance","Part A","& Coinsurance","& Coinsurance","cols. 9-10)",""
"","","line","1","2","3","4","5","6","7","8","9","10","11","12",""
"1","Skilled Nursing Care","2","","","","","","","","","","","","","1"
"2","Physical Therapy","3","","","","","","","","","","","","","2"
"3","Occupational Therapy","4","","","","","","","","","","","","","3"
"4","Speech Pathology","5","","","","","","","","","","","","","4"
"5","Medical Social Services","6","","","","","","","","","","","","","5"
"6","Home Health Aide","7","","","","","","","","","","","","","6"
"7","Total (sum of lines 1-6)","","","","","","","","","","","","","","7"
"","Limitation Cost Computation","","","","","","","","","","","Program Visits","","",""
"","","","","","","","","","","","","","                    Part B","",""
"","","","","","","","","","","","","","Not Subject to","Subject to",""
"","Patient Services","","","","","","","","","","CBSA","","Deductibles ","Deductibles ",""
"","","","","","","","","","","","No. (1)","Part A","& Coinsurance","& Coinsurance",""
"","","","","","","","","","","","1","2","3","4",""
"8"," Skilled Nursing Care","","","","","","","","","",""," "," ","","8"
"9"," Physical Therapy","","","","","","","","","","","","","","9"
"10"," Occupational Therapy","","","","","","","","","","","","","","10"
"11"," Speech Pathology","","","","","","","","","","","","","","11"
"12"," Medical Social Services","","","","","","","","","","","","","","12"
"13"," Home Health Aide","","","","","","","","","","","","","","13"
"14"," Total (sum of lines 8-13)","","","","","","","","","","","","","","14"
"","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","",""
"","Supplies and Drugs Cost","","","","","","","","","                  Program Covered Charges","","","","Cost of Services",""
"","Computations","","","","Facility","Shared","","","","","                    Part B","","","Part B",""
"","","","From","Costs","Ancillary","Total","Total","","","Not","","","Not","",""
"","","","Wkst. H-2","(from ","Costs","HHA","Charges","Ratio","","Subject to","Subject to","","Subject to","Subject to",""
"","Other Patient Services","","\"Part I","\"","\"Wkst. H-2","\"","(from","Costs","(from HHA","(col. 3","","Deductibles ","Deductibles ","","Deductibles ","Deductibles ",""
"","","","\"col. 28","\"","Part I)","Part II)","(cols. 1 + 2)","Record)","� col. 4)","Part A","& Coinsurance","& Coinsurance","Part A","& Coinsurance","& Coinsurance",""
"","","","line","1","2","3","4","5","6","7","8","9","10","11",""
"15"," Cost of Medical Supplies","","8","","","","","","","","","","","","15"
"16"," Cost of Drugs","","9","","","","","","","","","","","","16"
"Entity[562588] Report(H320181)", ,"Entity[562588] Report(H320181[00100])","Entity[562588] Report(H320181[00200])","Entity[562588] Report(H320181[00300])","Entity[562588] Report(H320181[00400])","Entity[562588] Report(H320181[00500])","Entity[562588] Report(H320181[00600])","Entity[562588] Report(H320181[00700])", ,"Entity[562588] Report(H320181[00900])","Entity[562588] Report(H320181[01000])", ,"Entity[562588] Report(H320181[01200])"
"Line(00100)", ,"3046244", ,"3046244","11506","265","703","4681", ,"186119","1239295", ,"1425414"
"Line(00200)", ,"873851", ,"873851","6086","144","400","2887", ,"57432","414515", ,"471947"
"Line(00300)", ,"58547", ,"58547","1180","50","84","523", ,"4168","25951", ,"30119"
"Line(00400)", , , , ,"350", ,"71","160"
"Line(00500)", ,"178075", ,"178075","607","293","34","215", ,"9975","63075", ,"73050"
"Line(00600)", ,"137496", ,"137496","1518","91","86","1018", ,"7790","92210", ,"100000"
"Line(00700)", ,"4294213", ,"4294213","21247", ,"1378","9484", ,"265484","1835046", ,"2100530"
"Line(00800)", ,"47380","703","4681"
"Line(00900)", ,"47380","400","2887"
"Line(01000)", ,"47380","84","523"
"Line(01100)", ,"47380","71","160"
"Line(01200)", ,"47380","34","215"
"Line(01300)", ,"47380","86","1018"
