"Schema: HCRIS TABLE: STRONG_DATA_2013","----------"," Entity 562588"," Report L00A181 ","-------------","-------------","-----------",""
"","----","NO HEADER "," -------- ","NO HEADER"," ------- ","","","","","",""
"Entity[562588] Report(L00A181)", ,"Entity[562588] Report(L00A181[00100])"
"Line(00100)", ,"8410042"
"Line(00200)", ,"1084375"
"Line(00300)", ,"385"
"Line(00400)", ,"171"
"Line(00500)", ,"13"
"Line(00600)", ,"1122741"
"Line(00700)", ,"0"
"Line(00800)", ,"0"
"Line(00900)", ,"0"
"Line(01000)", ,"0"
"Line(01100)", ,"519741"
