"Schema: HCRIS TABLE: STRONG_DATA_2013","----------"," Entity 562588"," Report D00C184 ","-------------","-------------","-----------",""
"","applicable","","\"   [ ] Title XVIII"," Part A\"","","","   [ ] IPF","           [ ] SNF","","","   [ ] TEFRA"
"","boxes:","","   [ ] Title XIX","","","   [ ] IRF","           [ ] NF","","",""
"","","","","","","","","","",""
"","","","","","","","","All","","Total"
"","","","","","Non","","","Other ","","Outpatient"
"","","","","","Physician","","","Medical","Total cost","Cost"
"","","","","","Anesthetist","Nursing","Allied","Education","(sum of col 1","\"(sum of col. 2","\""
"","","","","","Cost","School","Health","Cost","through col. 4)","3 and 4)"
"","Cost Center Description","","","","1","2","3","4","5","6"
"","ANCILLARY SERVICE COST CENTERS","","","","","","","","",""
"Entity[562588] Report(D00C184)", , , ,"Entity[562588] Report(D00C184[00300])", ,"Entity[562588] Report(D00C184[00500])","Entity[562588] Report(D00C184[00600])","Entity[562588] Report(D00C184[00700])","Entity[562588] Report(D00C184[00800])","Entity[562588] Report(D00C184[00900])"
"Line(05000)", , , , , , , ,"314828603"
"Line(05001)", , , , , , , ,"32862124"
"Line(05200)", , , , , , , ,"25289918"
"Line(05300)", , , , , , , ,"81548102"
"Line(05301)", , , , , , , ,"8920641"
"Line(05400)", , , , , , , ,"160166050"
"Line(05413)", , , , , , , ,"8694329"
"Line(05500)", , , ,"266280", ,"266280","266280","59984436","0","0"
"Line(05600)", , , , , , , ,"17859269"
"Line(05601)", , , , , , , ,"508121"
"Line(05700)", , , , , , , ,"104060334"
"Line(05701)", , , , , , , ,"4477410"
"Line(05800)", , , , , , , ,"62950039"
"Line(05801)", , , , , , , ,"6487343"
"Line(05900)", , , , , , , ,"54656719"
"Line(06000)", , , ,"176788", ,"176788","176788","230476776","0","0"
"Line(06005)", , , , , , , ,"67210298"
"Line(06006)", , , , , , , ,"1772435"
"Line(06016)", , , , , , , ,"10611146"
"Line(06300)", , , , , , , ,"42366753"
"Line(06301)", , , , , , , ,"1751258"
"Line(06400)", , , , , , , ,"18896515"
"Line(06500)", , , , , , , ,"77294061"
"Line(06501)", , , , , , , ,"3733054"
"Line(06502)", , , , , , , ,"8209666"
"Line(06600)", , , , , , , ,"28256856"
"Line(06602)", , , , , , , ,"1257620"
"Line(06700)", , , , , , , ,"11949445"
"Line(06702)", , , , , , , ,"1625001"
"Line(06800)", , , , , , , ,"4213457"
"Line(06802)", , , , , , , ,"4528253"
"Line(06803)", , , , , , , ,"756193"
"Line(06900)", , , , , , , ,"17702404"
"Line(06901)", , , , , , , ,"290555"
"Line(07000)", , , , , , , ,"24217792"
"Line(07100)", , , , , , , ,"179644475"
"Line(07101)", , , , , , , ,"10950923"
"Line(07200)", , , , , , , ,"111113205"
"Line(07201)", , , , , , , ,"2937958"
"Line(07300)", , , ,"640293", ,"640293","640293","293052377","0","0"
"Line(07301)", , , , , , , ,"19831214"
"Line(07400)", , , , , , , ,"55575780"
"Line(07602)", , , , , , , ,"874667"
"Line(09000)", , , , , , , ,"244115866"
"Line(09001)", , , , , , , ,"13516570"
"Line(09002)", , , , , , , ,"3292757"
"Line(09003)", , , , , , , ,"14733550"
"Line(09004)", , , , , , , ,"9956117"
"Line(09005)", , , , , , , ,"2971702"
"Line(09006)", , , , , , , ,"32676958"
"Line(09007)", , , , , , , ,"2482236"
"Line(09008)", , , , , , , ,"2519630"
"Line(09009)", , , , , , , ,"1804081"
"Line(09010)", , , , , , , ,"2150272"
"Line(09011)", , , , , , , ,"4076320"
"Line(09012)", , , , , , , ,"318929"
"Line(09013)", , , , , , , ,"2295858"
"Line(09014)", , , , , , , ,"41770191"
"Line(09015)", , , , , , , ,"2911926"
"Line(09016)", , , , , , , ,"1847353"
"Line(09017)", , , , , , , ,"30800567"
"Line(09018)", , , , , , , ,"5208951"
"Line(09020)", , , , , , , ,"15903201"
"Line(09100)", , , , , , , ,"133801682"
"Line(09101)", , , , , , , ,"27806209"
"Line(09200)", , , , , , , ,"19164955"
"Line(09400)", , , , , , , ,"7931229"
