"Schema: HCRIS TABLE: STRONG_DATA_2013","----------"," Entity 562588"," Report A000000 ","-------------","-------------","-----------",""
"","COST CENTER DESCRIPTIONS","","","TOTAL","RECLASSIFI-","TRIAL BALANCE","","FOR ALLOCATION"
"","(omit cents)","SALARIES","OTHER","(col. 1 + col. 2)","CATIONS","(col. 3 ± col. 4)","ADJUSTMENTS","(col. 5 ± col. 6)"
"","","1","2","3","4","5","6","7"
"Entity[562588] Report(A000000)","Entity[562588] Report(A000000[00000])","Entity[562588] Report(A000000[00100])","Entity[562588] Report(A000000[00200])","Entity[562588] Report(A000000[00300])","Entity[562588] Report(A000000[00400])","Entity[562588] Report(A000000[00500])","Entity[562588] Report(A000000[00600])","Entity[562588] Report(A000000[00700])"
"Line(00100)","00100CAP REL COSTS-BLDG & FIXT", ,"1986806","1986806","26517872","28504678","29921761","58426439"
"Line(00101)","00101CHILDRENS CAP REL COSTS-BLDG &", , , ,"2165619","2165619", ,"2165619"
"Line(00200)","00200CAP REL COSTS-MVBLE EQUIP", , , ,"26372836","26372836","34739568","61112404"
"Line(00201)","00201CHILDRENS CAP REL COSTS-MVBLE E", , , ,"1959668","1959668", ,"1959668"
"Line(00400)","00400EMPLOYEE BENEFITS DEPARTMENT", ,"3145944","3145944","93570636","96716580","18799870","115516450"
"Line(00401)","00401CHILDRENS EMPLOYEE BENEFITS", ,"-422938","-422938","5407678","4984740", ,"4984740"
"Line(00500)","00500ADMINISTRATIVE & GENERAL","-13296512","40893551","27597039","36810428","64407467","77702424","142109891"
"Line(00600)","00600MAINTENANCE & REPAIRS"
"Line(00601)","00601CHILDRENS MAINTENANCE & REPAIRS"
"Line(00700)","00700OPERATION OF PLANT","903891","2108264","3012155","-1962619","1049536","9705962","10755498"
"Line(00701)","00701CHILDRENS OPERATION OF PLANT", ,"961068","961068","-676644","284424", ,"284424"
"Line(00800)","00800LAUNDRY & LINEN SERVICE","35883","485176","521059","-32277","488782","600718","1089500"
"Line(00801)","00801CHILDREN LAUNDRY & LINEN SERVIC", ,"217067","217067","-36467","180600", ,"180600"
"Line(00900)","00900HOUSEKEEPING","1121200","977089","2098289","-360887","1737402","358609","2096011"
"Line(00901)","00901CHILDRENS HOUSEKEEPING","622683","520164","1142847","-313279","829568","-34","829534"
"Line(01000)","01000DIETARY","4022948","5541469","9564417","-1850290","7714127","-3493528","4220599"
"Line(01001)","01001CHILDRENS DIETARY","607531","808125","1415656","-340571","1075085","-329547","745538"
"Line(01100)","01100CAFETERIA"
"Line(01300)","01300NURSING ADMINISTRATION","7688455","4058902","11747357","-2719048","9028309","-228363","8799946"
"Line(01301)","01301CHILDREN NURSING ADMINISTRATION","822620","180037","1002657","-241653","761004","-144","760860"
"Line(01400)","01400CENTRAL SERVICES & SUPPLY","1801755","3131897","4933652","-2244831","2688821", ,"2688821"
"Line(01401)","01401CHILDRENS CENTRAL SERVICE & SUP","294861","352336","647197","-171725","475472","-55","475417"
"Line(01500)","01500PHARMACY","9692756","36038039","45730795","-25518860","20211935","-340215","19871720"
"Line(01501)","01501CHILDRENS PHARMACY","2085839","5539173","7625012","-4357178","3267834","-934","3266900"
"Line(01502)","01502PHARMACY 340B","2804","25729080","25731884","-6053536","19678348","-19678348"
"Line(01600)","01600MEDICAL RECORDS & LIBRARY", , , , , ,"3283535","3283535"
"Line(01601)","01601CHILDREN MEDICAL RECORDS & LIBR", ,"620","620", ,"620", ,"620"
"Line(01700)","01700SOCIAL SERVICE","4616663","2742667","7359330","-1038672","6320658","-428761","5891897"
"Line(01701)","01701CHILDRENS SOCIAL SERVICE","716452","218089","934541","-157076","777465","-21","777444"
"Line(01800)","01850THERAPEUTIC DIETETICS"
"Line(01802)","01852POST-PARTUM CARE","1677376","1510202","3187578","-3187577","1", ,"1"
"Line(02100)","02100I&R SERVICES-SALARY & FRINGES A","23909396","4972237","28881633","-3826290","25055343","-3577063","21478280"
"Line(02200)","02200I&R SERVICES-OTHER PRGM COSTS A","4933537","1135173","6068710","13700813","19769523","-859542","18909981"
"Line(02300)","02300PARAMED ED PRGM-(SPECIFY)","63625","11991","75616","-11991","63625", ,"63625"
"Line(02304)","02304MEDICAL TECHNOLOGY PROGRAM","103079","39008","142087","-27812","114275","-153","114122"
"Line(02315)","02315CLINICAL PASTORAL EDUCATION PRO","376838","109560","486398","-41927","444471","-3564","440907"
"Line(02317)","02317PHARM-D PROGRAM","307324","63761","371085","28884","399969","-1044","398925"
"Line(02319)","02319RADONC PHYSICS PROGRAM","72176","13476","85652","116793","202445", ,"202445"
"Line(03000)","03000ADULTS & PEDIATRICS","32106438","27889198","59995636","-12701162","47294474","-562321","46732153"
"Line(03100)","03100INTENSIVE CARE UNIT","10632382","9682756","20315138","-5199804","15115334","-685683","14429651"
"Line(03101)","03101NEONATAL INTENSIVE CARE UNIT","5060950","6938652","11999602","-2175017","9824585","-164","9824421"
"Line(03102)","03102CHILDRENS INTENSIVE CARE UNIT","2070265","2144067","4214332","-924823","3289509","-4754","3284755"
"Line(04000)","04000SUBPROVIDER - IPF","1849179","1277319","3126498","-624612","2501886","-4","2501882"
"Line(04100)","04100SUBPROVIDER - IRF", ,"19","19", ,"19", ,"19"
"Line(04300)","04300NURSERY","137662","61281","198943","511026","709969", ,"709969"
"Line(04400)","04400SKILLED NURSING FACILITY","2360460","1207775","3568235","-765140","2803095","-5909","2797186"
"Line(05000)","05000OPERATING ROOM","32147894","46857500","79005394","-23420650","55584744","-21709612","33875132"
"Line(05001)","05001CHILDRENS OPERATING ROOM","3168148","4590195","7758343","-1749903","6008440","-1097","6007343"
