"Schema: HCRIS TABLE: STRONG_DATA_2013","----------"," Entity 562588"," Report D00B184 ","-------------","-------------","-----------",""
"","applicable","","\"   [ ] Title XVIII"," Part A\"","","","   [ ] IPF","           [ ] SNF","","","   [ ] TEFRA"
"","boxes:","","   [ ] Title XIX","","","   [ ] IRF","           [ ] NF","","",""
"","","","","","","","","","",""
"","","","","","","","","All","","Total"
"","","","","","Non","","","Other ","","Outpatient"
"","","","","","Physician","","","Medical","Total cost","Cost"
"","","","","","Anesthetist","Nursing","Allied","Education","(sum of col 1","\"(sum of col. 2","\""
"","","","","","Cost","School","Health","Cost","through col. 4)","3 and 4)"
"","Cost Center Description","","","","1","2","3","4","5","6"
"","ANCILLARY SERVICE COST CENTERS","","","","","","","","",""
"Entity[562588] Report(D00B184)", , , ,"Entity[562588] Report(D00B184[00300])", ,"Entity[562588] Report(D00B184[00500])","Entity[562588] Report(D00B184[00600])","Entity[562588] Report(D00B184[00700])","Entity[562588] Report(D00B184[00800])","Entity[562588] Report(D00B184[00900])","Entity[562588] Report(D00B184[01000])","Entity[562588] Report(D00B184[01100])","Entity[562588] Report(D00B184[01200])","Entity[562588] Report(D00B184[01300])"
"Line(05000)", , , , , , , ,"314828603", , ,"10319"
"Line(05001)", , , , , , , ,"32862124"
"Line(05200)", , , , , , , ,"25289918", , ,"159"
"Line(05300)", , , , , , , ,"81548102", , ,"7952"
"Line(05301)", , , , , , , ,"8920641", , ,"2"
"Line(05400)", , , , , , , ,"160166050", , ,"40897", ,"614"
"Line(05413)", , , , , , , ,"8694329", , ,"5"
"Line(05500)", , , ,"266280", ,"266280","266280","59984436","0","0","177","1"
"Line(05600)", , , , , , , ,"17859269", , ,"4982"
"Line(05601)", , , , , , , ,"508121", , ,"15"
"Line(05700)", , , , , , , ,"104060334", , ,"77411"
"Line(05701)", , , , , , , ,"4477410"
"Line(05800)", , , , , , , ,"62950039", , ,"10085"
"Line(05801)", , , , , , , ,"6487343"
"Line(05900)", , , , , , , ,"54656719", , ,"2837"
"Line(06000)", , , ,"176788", ,"176788","176788","230476776","0","0","597099","458"
"Line(06005)", , , , , , , ,"67210298", , ,"25026"
"Line(06006)", , , , , , , ,"1772435", , ,"281"
"Line(06016)", , , , , , , ,"10611146", , ,"62"
"Line(06300)", , , , , , , ,"42366753", , ,"13261"
"Line(06301)", , , , , , , ,"1751258"
"Line(06400)", , , , , , , ,"18896515", , ,"549"
"Line(06500)", , , , , , , ,"77294061", , ,"74096"
"Line(06501)", , , , , , , ,"3733054", , ,"84"
"Line(06502)", , , , , , , ,"8209666", , ,"7"
"Line(06600)", , , , , , , ,"28256856", , ,"9771"
"Line(06602)", , , , , , , ,"1257620", , ,"1"
"Line(06700)", , , , , , , ,"11949445", , ,"427"
"Line(06702)", , , , , , , ,"1625001"
"Line(06800)", , , , , , , ,"4213457", , ,"390"
"Line(06802)", , , , , , , ,"4528253"
"Line(06803)", , , , , , , ,"756193", , ,"1"
"Line(06900)", , , , , , , ,"17702404", , ,"24444"
"Line(06901)", , , , , , , ,"290555", , ,"1"
"Line(07000)", , , , , , , ,"24217792", , ,"12979", ,"172"
"Line(07100)", , , , , , , ,"179644475", , ,"56895"
"Line(07101)", , , , , , , ,"10950923"
"Line(07200)", , , , , , , ,"111113205"
"Line(07201)", , , , , , , ,"2937958"
"Line(07300)", , , ,"640293", ,"640293","640293","293052377","0","0","325326","711","330","1"
"Line(07301)", , , , , , , ,"19831214"
"Line(07400)", , , , , , , ,"55575780", , ,"4168"
"Line(07602)", , , , , , , ,"874667"
"Line(09000)", , , , , , , ,"244115866", , ,"20475"
"Line(09001)", , , , , , , ,"13516570", , ,"284"
"Line(09002)", , , , , , , ,"3292757", , ,"90"
"Line(09003)", , , , , , , ,"14733550", , ,"136"
"Line(09004)", , , , , , , ,"9956117", , ,"166"
"Line(09005)", , , , , , , ,"2971702", , ,"25"
"Line(09006)", , , , , , , ,"32676958", , ,"236"
"Line(09007)", , , , , , , ,"2482236", , ,"54"
"Line(09008)", , , , , , , ,"2519630"
"Line(09009)", , , , , , , ,"1804081", , ,"21"
"Line(09010)", , , , , , , ,"2150272", , ,"29"
"Line(09011)", , , , , , , ,"4076320"
"Line(09012)", , , , , , , ,"318929", , ,"4"
"Line(09013)", , , , , , , ,"2295858", , ,"12"
"Line(09014)", , , , , , , ,"41770191", , ,"317"
"Line(09015)", , , , , , , ,"2911926", , ,"4"
"Line(09016)", , , , , , , ,"1847353", , ,"30"
"Line(09017)", , , , , , , ,"30800567", , ,"1062"
"Line(09018)", , , , , , , ,"5208951", , ,"115"
"Line(09020)", , , , , , , ,"15903201"
"Line(09100)", , , , , , , ,"133801682", , ,"524515", ,"1973"
"Line(09101)", , , , , , , ,"27806209", , ,"181"
"Line(09200)", , , , , , , ,"19164955"
"Line(09400)", , , , , , , ,"7931229"
