"Schema: HCRIS TABLE: STRONG_DATA_2013","----------"," Entity 562588"," Report A820010 ","-------------","-------------","-----------",""
"","","","","","","",""," FROM ____________","","",""
"","","","","",""," ________________",""," TO _______________","","",""
"","","","Cost Center/","","","","","Physician/","","5 Percent of",""
"","","Wkst. A","Physician","Total","Professional","Provider","RCE","Provider","Unadjusted","Unadjusted",""
"","","Line #","Identifier","Remuneration","Component","Component","Amount","Component Hours","RCE Limit","RCE Limit",""
"","","1","2","3","4","5","6","7","8","9",""
"Entity[562588] Report(A820010)", ,"Entity[562588] Report(A820010[00100])","Entity[562588] Report(A820010[00200])","Entity[562588] Report(A820010[00300])","Entity[562588] Report(A820010[00400])","Entity[562588] Report(A820010[00500])","Entity[562588] Report(A820010[00600])","Entity[562588] Report(A820010[00700])","Entity[562588] Report(A820010[00800])","Entity[562588] Report(A820010[00900])", , , , , , ,"Entity[562588] Report(A820010[01600])","Entity[562588] Report(A820010[01700])","Entity[562588] Report(A820010[01800])"
"Line(00100)", ,"30","ADULTS & PEDIATRICS","691964","469033","222931","171400","1646","135637","6782", , , , , , ,"135637","87294","556327"
"Line(00200)", ,"31","INTENSIVE CARE UNIT","703065","566237","136828","171400","500","41202","2060", , , , , , ,"41202","95626","661863"
"Line(00300)", ,"50","OPERATING ROOM","19877833","17116120","2761713","217600","12468","1304345","65217", , , , , , ,"1304345","1457368","18573488"
"Line(00400)", ,"53","ANESTHESIOLOGY","19016947","17079270","1937677","217600","6833","714837","35742", , , , , , ,"714837","1222840","18302110"
"Line(00500)", ,"53","CHILDRENS ANESTHESIOLOGY","3549063","3198862","350201","217600","1477","154517","7726", , , , , , ,"154517","195684","3394546"
"Line(00600)", ,"54","RADIOLOGY-DIAGNOSTIC","16040973","14197293","1843680","217600","7501","784720","39236", , , , , , ,"784720","1058960","15256253"
"Line(00700)", ,"55","RADIOLOGY-THERAPEUTIC","3193178","2833471","359707","219500","1246","131489","6574", , , , , , ,"131489","228218","3061689"
"Line(00800)", ,"56","RADIOISOTOPE","936503","745078","191425","219500","885","93393","4670", , , , , , ,"93393","98032","843110"
"Line(00900)", ,"59","CARDIAC CATHETERIZATION","2809239","2170054","639185","217600","2105","220215","11011", , , , , , ,"220215","418970","2589024"
"Line(01000)", ,"60","LABORATORY","1405837","921794","484043","219500","2447","258229","12911", , , , , , ,"258229","225814","1147608"
"Line(01100)", ,"60","ANATOMIC PATHOLOGY","6139770","5312849","826921","219500","4549","480051","24003", , , , , , ,"480051","346870","5659719"
"Line(01200)", ,"65","RESPIRATORY THERAPY","7905048","6682609","1222438","171400","6890","567763","28388", , , , , , ,"567763","654675","7337285"
"Line(01300)", ,"90","CLINIC","3842603","3297599","545004","171400","2843","234274","11714", , , , , , ,"234274","310730","3608329"
"Line(01400)", ,"70","ELECTROENCEPHALOGRAPHY","3731696","3351386","380310","136700","2178","143141","7157", , , , , , ,"143141","237169","3588555"
"Line(01500)", ,"90","CLINIC","87912324","76658585","11253739","136700","75009","4929678","246484", , , , , , ,"4929678","6324061","82982646"
"Line(01600)", ,"90","CLINIC-KILLEEN","4123557","3778432","345125","136700","2735","179747","8987", , , , , , ,"179747","165378","3943810"
"Line(01700)", ,"90","CLINIC-FPC","1263906","870469","393437","136700","3933","258481","12924", , , , , , ,"258481","134956","1005425"
"Line(01800)", ,"90","CLINIC-NORTHSIDE","3394678","3017203","377475","136700","1478","97136","4857", , , , , , ,"97136","280339","3297542"
"Line(01900)", ,"90","CLINIC-BELTON","2875209","2620383","254826","136700","1956","128551","6428", , , , , , ,"128551","126275","2746658"
"Line(02000)", ,"90","CLINIC-KILLEEN WEST","903379","836211","67168","136700","483","31743","1587", , , , , , ,"31743","35425","871636"
"Line(02100)", ,"90","CLINIC-SALADO","633949","558946","75002","136700","514","33781","1689", , , , , , ,"33781","41221","600168"
"Line(02200)", ,"90","CLINIC-TEMPLE TOWNE CTR","699289","642890","56398","136700","444","29180","1459", , , , , , ,"29180","27218","670109"
"Line(02300)", ,"90","CLINIC-GATESVILLE","619002","537025","81977","136700","518","34043","1702", , , , , , ,"34043","47934","584959"
"Line(02400)", ,"90","CLINIC-HARKER HTS","945561","758822","186739","136700","1536","100948","5047", , , , , , ,"100948","85791","844613"
"Line(02500)", ,"90","CLINIC- WEST TEMPLE PEDICATRICS","1113843","1111703","2140","136700","18","1183","59", , , , , , ,"1183","957","1112660"
"Line(02600)", ,"90","CLINIC-HEWITT","815836","779399","36437","136700","297","19519","976", , , , , , ,"19519","16918","796317"
"Line(02700)", ,"90","CLINIC-WACO","11914368","11354006","560362","136700","3311","217603","10880", , , , , , ,"217603","342759","11696765"
"Line(02800)", ,"90","CLINIC-BELLMEAD","732949","683258","49691","136700","316","20768","1038", , , , , , ,"20768","28923","712181"
"Line(02900)", ,"90","CLINIC-CAMERON","607473","588695","18778","136700","133","8741","437", , , , , , ,"8741","10037","598732"
"Line(03000)", ,"90","CLINIC-HEMINGWAY","11532738","10827995","704743","136700","3283","215762","10788", , , , , , ,"215762","488981","11316976"
"Line(03100)", ,"90","CLINIC-WESTFIELD","1394319","1241433","152886","136700","960","63092","3155", , , , , , ,"63092","89794","1331227"
"Line(03200)", ,"91","EMERGENCY","5509620","4093655","1415965","171400","11847","976238","48812", , , , , , ,"976238","439727","4533382"
"Line(03300)", ,"91","CHILDRENS EMERGENCY","1662812","1624083","38729","171400","48","3955","198", , , , , , ,"3955","34774","1658857"
