"Schema: HCRIS TABLE: STRONG_DATA_2013","----------"," Entity 562588"," Report A6000J0 ","-------------","-------------","-----------",""
"","","CODE","","","","","","","","","A-7"
"","EXPLANATION OF RECLASSIFICATION(S)","-1","COST CENTER","LINE #","SALARY","OTHER","COST CENTER","LINE #","SALARY","OTHER","Ref."
"","","1","2","3","4","5","6","7","8","9","10"
"Entity[562588] Report(A6000J0)","Entity[562588] Report(A6000J0[00000])","Entity[562588] Report(A6000J0[00100])", ,"Entity[562588] Report(A6000J0[00300])", ,"Entity[562588] Report(A6000J0[00500])", ,"Entity[562588] Report(A6000J0[00700])", ,"Entity[562588] Report(A6000J0[00900])"
"Line(00100)","IMPLANTABLE DEVICES","J", ,"72", ,"24585466", ,"5", ,"17474"
"Line(00200)","IMPLANTABLE DEVICES","J", ,"72", ,"882259", ,"14", ,"371418"
"Line(00300)","IMPLANTABLE DEVICES","J", , , , , ,"30", ,"11658"
"Line(00400)","IMPLANTABLE DEVICES","J", , , , , ,"31", ,"6920"
"Line(00500)","IMPLANTABLE DEVICES","J", , , , , ,"40", ,"2353"
"Line(00600)","IMPLANTABLE DEVICES","J", , , , , ,"50", ,"2415538"
"Line(00700)","IMPLANTABLE DEVICES","J", , , , , ,"50", ,"79"
"Line(00800)","IMPLANTABLE DEVICES","J", , , , , ,"53", ,"44282"
"Line(00900)","IMPLANTABLE DEVICES","J", , , , , ,"53", ,"239"
"Line(01000)","IMPLANTABLE DEVICES","J", , , , , ,"54", ,"1273495"
"Line(01100)","IMPLANTABLE DEVICES","J", , , , , ,"54", ,"16044"
"Line(01200)","IMPLANTABLE DEVICES","J", , , , , ,"55", ,"770877"
"Line(01300)","IMPLANTABLE DEVICES","J", , , , , ,"57", ,"43"
"Line(01400)","IMPLANTABLE DEVICES","J", , , , , ,"57", ,"82"
"Line(01500)","IMPLANTABLE DEVICES","J", , , , , ,"58", ,"270"
"Line(01600)","IMPLANTABLE DEVICES","J", , , , , ,"59", ,"484769"
"Line(01700)","IMPLANTABLE DEVICES","J", , , , , ,"64", ,"43"
"Line(01800)","IMPLANTABLE DEVICES","J", , , , , ,"65", ,"36443"
"Line(01900)","IMPLANTABLE DEVICES","J", , , , , ,"65", ,"1705"
"Line(02000)","IMPLANTABLE DEVICES","J", , , , , ,"68", ,"77701"
"Line(02100)","IMPLANTABLE DEVICES","J", , , , , ,"71", ,"16370836"
"Line(02200)","IMPLANTABLE DEVICES","J", , , , , ,"71", ,"863243"
"Line(02300)","IMPLANTABLE DEVICES","J", , , , , ,"90", ,"2670005"
"Line(02400)","IMPLANTABLE DEVICES","J", , , , , ,"90", ,"33"
"Line(02500)","IMPLANTABLE DEVICES","J", , , , , ,"90", ,"1810"
"Line(02600)","IMPLANTABLE DEVICES","J", , , , , ,"90", ,"14158"
"Line(02700)","IMPLANTABLE DEVICES","J", , , , , ,"90", ,"659"
"Line(02800)","IMPLANTABLE DEVICES","J", , , , , ,"91", ,"15342"
"Line(02900)","IMPLANTABLE DEVICES","J", , , , , ,"91", ,"206"
