"Schema: HCRIS TABLE: STRONG_DATA_2013","----------"," Entity 562588"," Report I500000 ","-------------","-------------","-----------",""
"","----","NO HEADER "," -------- ","NO HEADER"," ------- ","","","","","",""
"Entity[562588] Report(I500000)", ,"Entity[562588] Report(I500000[00100])","Entity[562588] Report(I500000[00200])"
"Line(00100)", ,"9883789"
"Line(00201)", ,"930997","930997"
"Line(00202)", ,"10949999","10949999"
"Line(00203)", ,"11880996","11880996"
"Line(00204)", ,"31753"
"Line(00302)", ,"3582","3582"
"Line(00303)", ,"3582","3582"
"Line(00401)", ,"186199","186199"
"Line(00402)", ,"2189287","2189287"
"Line(00403)", ,"2375486","2375486"
"Line(00800)", , ,"2379068"
"Line(00900)", , ,"9501931"
"Line(01200)", ,"15290891"
"Line(01300)", ,"15290891"
