"----------"," Entity 562588"," Report D00A181 ","-------------","-------------","-----------","", , , , , , , , , , , , , 
"----","NO HEADER "," -------- ","NO HEADER"," ------- ","","","","","","", , , , , , , , , 
 ,"Entity[562588] Report(D00A181[00100])", ,"Entity[562588] Report(D00A181[00300])","Entity[562588] Report(D00A181[00400])","Entity[562588] Report(D00A181[00500])","Entity[562588] Report(D00A181[00600])","Entity[562588] Report(D00A181[00700])", , , , , , , , , , , , 
 ,"14827188", ,"14827188","122422","121","48871","5919256", , , , , , , , , , , , 
 ,"3294295", ,"3294295","15730","209","7141","1495540", , , , , , , , , , , , 
 ,"1986450", ,"1986450","11781","169", , , , , , , , , , , , , , 
 ,"1261988", ,"1261988","3086","409","4","1636", , , , , , , , , , , , 
 ,"839754", ,"839754","4846","173","1614","279690", , , , , , , , , , , , 
 ,"221323", ,"221323","3330","66", , , , , , , , , , , , , , 
 ,"1241924", ,"1241924","9636","129","3086","397724", , , , , , , , , , , , 
"----------------","----------------","----------------","----------------","----------------", , , , , , , , , , , , , , , 
"----------------","----------------","----------------","----------------","----------------", , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
"----------"," Entity 562588"," Report D00A182 ","-------------","-------------","-----------","", , , , , , , , , , , , , 
"----","NO HEADER "," -------- ","NO HEADER"," ------- ","","","","","","", , , , , , , , , 
 ,"Entity[562588] Report(D00A182[00100])","Entity[562588] Report(D00A182[00200])","Entity[562588] Report(D00A182[00300])","Entity[562588] Report(D00A182[00400])","Entity[562588] Report(D00A182[00500])", , , , , , , , , , , , , , 
 ,"16541213","314828603","0","44729093","2350067", , , , , , , , , , , , , , 
 ,"1698445","32862124","0", , , , , , , , , , , , , , , , 
 ,"1038015","25289918","0","209480","8598", , , , , , , , , , , , , , 
 ,"2827869","81548102","0","12279376","425812", , , , , , , , , , , , , , 
 ,"216288","8920641","0","1630","40", , , , , , , , , , , , , , 
 ,"10273279","160166050","0","21125967","1355041", , , , , , , , , , , , , , 
 ,"508215","8694329","0","2092","122", , , , , , , , , , , , , , 
 ,"1903217","59984436","0","1194293","37894", , , , , , , , , , , , , , 
 ,"445126","17859269","0","966693","24094", , , , , , , , , , , , , , 
 ,"52580","508121","0","9385","971", , , , , , , , , , , , , , 
