"Schema: HCRIS TABLE: STRONG_DATA_2013","----------"," Entity 562588"," Report A6000I0 ","-------------","-------------","-----------",""
"","","CODE","","","","","","","","","A-7"
"","EXPLANATION OF RECLASSIFICATION(S)","-1","COST CENTER","LINE #","SALARY","OTHER","COST CENTER","LINE #","SALARY","OTHER","Ref."
"","","1","2","3","4","5","6","7","8","9","10"
"Entity[562588] Report(A6000I0)","Entity[562588] Report(A6000I0[00000])","Entity[562588] Report(A6000I0[00100])", ,"Entity[562588] Report(A6000I0[00300])", ,"Entity[562588] Report(A6000I0[00500])", ,"Entity[562588] Report(A6000I0[00700])", ,"Entity[562588] Report(A6000I0[00900])"
"Line(00100)","MEDICAL SUPPLIES","I", ,"8", ,"2210", ,"5", ,"622206"
"Line(00200)","MEDICAL SUPPLIES","I", ,"71", ,"40444474", ,"7", ,"19786"
"Line(00300)","MEDICAL SUPPLIES","I", ,"71", ,"2112521", ,"8", ,"1516"
"Line(00400)","MEDICAL SUPPLIES","I", ,"90", ,"818", ,"9", ,"38455"
"Line(00500)","MEDICAL SUPPLIES","I", , , , , ,"9", ,"17237"
"Line(00600)","MEDICAL SUPPLIES","I", , , , , ,"10", ,"10062"
"Line(00700)","MEDICAL SUPPLIES","I", , , , , ,"10", ,"3502"
"Line(00800)","MEDICAL SUPPLIES","I", , , , , ,"13", ,"5724"
"Line(00900)","MEDICAL SUPPLIES","I", , , , , ,"14", ,"721199"
"Line(01000)","MEDICAL SUPPLIES","I", , , , , ,"14", ,"27479"
"Line(01100)","MEDICAL SUPPLIES","I", , , , , ,"15", ,"143003"
"Line(01200)","MEDICAL SUPPLIES","I", , , , , ,"15", ,"684321"
"Line(01300)","MEDICAL SUPPLIES","I", , , , , ,"18", ,"63320"
"Line(01400)","MEDICAL SUPPLIES","I", , , , , ,"21", ,"6225"
"Line(01500)","MEDICAL SUPPLIES","I", , , , , ,"22", ,"11040"
"Line(01600)","MEDICAL SUPPLIES","I", , , , , ,"23", ,"4509"
"Line(01700)","MEDICAL SUPPLIES","I", , , , , ,"30", ,"2082825"
"Line(01800)","MEDICAL SUPPLIES","I", , , , , ,"31", ,"1370319"
"Line(01900)","MEDICAL SUPPLIES","I", , , , , ,"31", ,"419442"
"Line(02000)","MEDICAL SUPPLIES","I", , , , , ,"31", ,"189312"
"Line(02100)","MEDICAL SUPPLIES","I", , , , , ,"40", ,"152984"
"Line(02200)","MEDICAL SUPPLIES","I", , , , , ,"43", ,"1875"
"Line(02300)","MEDICAL SUPPLIES","I", , , , , ,"44", ,"179130"
"Line(02400)","MEDICAL SUPPLIES","I", , , , , ,"50", ,"6936030"
"Line(02500)","MEDICAL SUPPLIES","I", , , , , ,"50", ,"260417"
"Line(02600)","MEDICAL SUPPLIES","I", , , , , ,"52", ,"293079"
"Line(02700)","MEDICAL SUPPLIES","I", , , , , ,"53", ,"1593344"
"Line(02800)","MEDICAL SUPPLIES","I", , , , , ,"53", ,"213340"
"Line(02900)","MEDICAL SUPPLIES","I", , , , , ,"54", ,"4058607"
"Line(03000)","MEDICAL SUPPLIES","I", , , , , ,"54", ,"42931"
"Line(03100)","MEDICAL SUPPLIES","I", , , , , ,"55", ,"72236"
"Line(03200)","MEDICAL SUPPLIES","I", , , , , ,"56", ,"7309"
"Line(03300)","MEDICAL SUPPLIES","I", , , , , ,"57", ,"288049"
"Line(03400)","MEDICAL SUPPLIES","I", , , , , ,"57", ,"2645"
"Line(03500)","MEDICAL SUPPLIES","I", , , , , ,"58", ,"357861"
"Line(03600)","MEDICAL SUPPLIES","I", , , , , ,"58", ,"35168"
"Line(03700)","MEDICAL SUPPLIES","I", , , , , ,"59", ,"1775620"
"Line(03800)","MEDICAL SUPPLIES","I", , , , , ,"60", ,"1904701"
"Line(03900)","MEDICAL SUPPLIES","I", , , , , ,"60", ,"2778501"
"Line(04000)","MEDICAL SUPPLIES","I", , , , , ,"60", ,"164677"
"Line(04100)","MEDICAL SUPPLIES","I", , , , , ,"60", ,"169062"
"Line(04200)","MEDICAL SUPPLIES","I", , , , , ,"63", ,"2342165"
"Line(04300)","MEDICAL SUPPLIES","I", , , , , ,"64", ,"143731"
"Line(04400)","MEDICAL SUPPLIES","I", , , , , ,"65", ,"936350"
"Line(04500)","MEDICAL SUPPLIES","I", , , , , ,"65", ,"18118"
"Line(04600)","MEDICAL SUPPLIES","I", , , , , ,"65", ,"113418"
"Line(04700)","MEDICAL SUPPLIES","I", , , , , ,"66", ,"1144916"
