"Schema: HCRIS TABLE: STRONG_DATA_2013","----------"," Entity 562588"," Report H010000 ","-------------","-------------","-----------",""
"","","SALARIES","EMPLOYEE","TATION","PURCHASED ","","TOTAL","","TRIAL","","EXPENSES FOR",""
"","COST CENTER DESCRIPTIONS","","BENEFITS ","(see","SERVICES","","(sum of cols.","RECLASS-","BALANCE","","ALLOCATION",""
"","(omit cents)","","","instructions)","","OTHER COSTS","1 thru 5)","IFICATIONS","(col. 6 + col. 7)","ADJUSTMENTS","(col. 8 + col. 9)",""
"","","1","2","3","4","5","6","7","8","9","10",""
""," GENERAL SERVICE COST CENTERS","","","","","","","","","","",""
"1"," Capital Related-Bldgs. and Fixtures","","","","","","","","","","","1"
"2"," Capital Related-Movable Equipment","","","","","","","","","","","2"
"3"," Plant Operation & Maintenance","","","","","","","","","","","3"
"4"," Transportation (see instructions)","","","","","","","","","","","4"
"5"," Administrative and General","","","","","","","","","","","5"
" "," HHA REIMBURSABLE SERVICES","","","","","","","","","",""," "
"6"," Skilled Nursing Care","","","","","","","","","","","6"
"7"," Physical Therapy","","","","","","","","","","","7"
"8"," Occupational Therapy","","","","","","","","","","","8"
"9"," Speech Pathology","","","","","","","","","","","9"
"10"," Medical Social Services","","","","","","","","","","","10"
"11"," Home Health Aide","","","","","","","","","","","11"
"12"," Supplies (see instructions)","","","","","","","","","","","12"
"13"," Drugs","","","","","","","","","","","13"
"14"," DME","","","","","","","","","","","14"
" "," HHA NONREIMBURSABLE SERVICES","","","","","","","","","",""," "
"15"," Home Dialysis Aide Services","","","","","","","","","","","15"
"16"," Respiratory Therapy","","","","","","","","","","","16"
"17"," Private Duty Nursing","","","","","","","","","","","17"
"18"," Clinic","","","","","","","","","","","18"
"19"," Health Promotion Activities","","","","","","","","","","","19"
"20"," Day Care Program","","","","","","","","","","","20"
"21"," Home Delivered Meals Program","","","","","","","","","","","21"
"22"," Homemaker Service","","","","","","","","","","","22"
"23"," All Others","","","","","","","","","","","23"
"24"," Total (sum of lines 1-23)","","","","","","","","","","","24"
"","","","","","","","","","","","",""
"","","","","","","","","","","","",""
"","\"Column"," 6 line 24 should agree with the Worksheet A"," column 3"," line 101"," or subscript as applicable. \"","","","","","","","","","","",""
"Entity[562588] Report(H010000)", ,"Entity[562588] Report(H010000[00100])","Entity[562588] Report(H010000[00200])","Entity[562588] Report(H010000[00300])", ,"Entity[562588] Report(H010000[00500])","Entity[562588] Report(H010000[00600])","Entity[562588] Report(H010000[00700])","Entity[562588] Report(H010000[00800])","Entity[562588] Report(H010000[00900])","Entity[562588] Report(H010000[01000])"
"Line(00500)", ,"424590","175957","35913", ,"616008","1252468","-967163","285305", ,"285305"
"Line(00600)", ,"2057030","852467","308146", ,"2984399","6202042", ,"6202042","-3094799","3107243"
"Line(00700)", ,"639334","264951", , ,"927565","1831850", ,"1831850", ,"1831850"
"Line(00800)", ,"152416","63164","75022", ,"221130","511732", ,"511732", ,"511732"
"Line(00900)", ,"6827","2829", , ,"9905","19561", ,"19561", ,"19561"
"Line(01000)", ,"54617","22634","55488", ,"79240","211979", ,"211979", ,"211979"
"Line(01100)", ,"77667","32187","98290", ,"112682","320826", ,"320826", ,"320826"
