"Schema: HCRIS TABLE: STRONG_DATA_2013","----------"," Entity 562588"," Report A6000U0 ","-------------","-------------","-----------",""
"","","CODE","","","","","","","","","A-7"
"","EXPLANATION OF RECLASSIFICATION(S)","-1","COST CENTER","LINE #","SALARY","OTHER","COST CENTER","LINE #","SALARY","OTHER","Ref."
"","","1","2","3","4","5","6","7","8","9","10"
"Entity[562588] Report(A6000U0)","Entity[562588] Report(A6000U0[00000])","Entity[562588] Report(A6000U0[00100])", ,"Entity[562588] Report(A6000U0[00300])","Entity[562588] Report(A6000U0[00400])","Entity[562588] Report(A6000U0[00500])", ,"Entity[562588] Report(A6000U0[00700])","Entity[562588] Report(A6000U0[00800])","Entity[562588] Report(A6000U0[00900])"
"Line(00100)","PBS SALARY AND BENEFITS","U", ,"5","38765781","8375559", ,"7","494045","92904"
"Line(00200)","PBS SALARY AND BENEFITS","U", ,"44","5466", , ,"9","59345","15779"
"Line(00300)","PBS SALARY AND BENEFITS","U", , , , , ,"13","82358","14164"
"Line(00400)","PBS SALARY AND BENEFITS","U", , , , , ,"15","484392","87509"
"Line(00500)","PBS SALARY AND BENEFITS","U", , , , , ,"17","87270","17048"
"Line(00600)","PBS SALARY AND BENEFITS","U", , , , , ,"30","41678","16159"
"Line(00700)","PBS SALARY AND BENEFITS","U", , , , , ,"31","18085","4436"
"Line(00800)","PBS SALARY AND BENEFITS","U", , , , , ,"50","1668791","389765"
"Line(00900)","PBS SALARY AND BENEFITS","U", , , , , ,"50","71289","16527"
"Line(01000)","PBS SALARY AND BENEFITS","U", , , , , ,"53","65543","3810"
"Line(01100)","PBS SALARY AND BENEFITS","U", , , , , ,"54","366301","71705"
"Line(01200)","PBS SALARY AND BENEFITS","U", , , , , ,"59","717535","131472"
"Line(01300)","PBS SALARY AND BENEFITS","U", , , , , ,"60","101083","23443"
"Line(01400)","PBS SALARY AND BENEFITS","U", , , , , ,"60","30790","7884"
"Line(01500)","PBS SALARY AND BENEFITS","U", , , , , ,"63","2160488","432696"
"Line(01600)","PBS SALARY AND BENEFITS","U", , , , , ,"64","682221","125278"
"Line(01700)","PBS SALARY AND BENEFITS","U", , , , , ,"65","2232341","436654"
"Line(01800)","PBS SALARY AND BENEFITS","U", , , , , ,"65","157342","32324"
"Line(01900)","PBS SALARY AND BENEFITS","U", , , , , ,"66","1997433","372697"
"Line(02000)","PBS SALARY AND BENEFITS","U", , , , , ,"67","670805","117118"
"Line(02100)","PBS SALARY AND BENEFITS","U", , , , , ,"68","58523","14200"
"Line(02200)","PBS SALARY AND BENEFITS","U", , , , , ,"69","1088503","236405"
"Line(02300)","PBS SALARY AND BENEFITS","U", , , , , ,"70","647072","152138"
"Line(02400)","PBS SALARY AND BENEFITS","U", , , , , ,"74","2910207","618299"
"Line(02500)","PBS SALARY AND BENEFITS","U", , , , , ,"76","90473","19691"
"Line(02600)","PBS SALARY AND BENEFITS","U", , , , , ,"90","12022821","2729149"
"Line(02700)","PBS SALARY AND BENEFITS","U", , , , , ,"90","856015","191306"
"Line(02800)","PBS SALARY AND BENEFITS","U", , , , , ,"90","264065","58045"
"Line(02900)","PBS SALARY AND BENEFITS","U", , , , , ,"90","698608","162483"
"Line(03000)","PBS SALARY AND BENEFITS","U", , , , , ,"90","672895","152440"
"Line(03100)","PBS SALARY AND BENEFITS","U", , , , , ,"90","151120","35298"
"Line(03200)","PBS SALARY AND BENEFITS","U", , , , , ,"90","126424","27839"
"Line(03300)","PBS SALARY AND BENEFITS","U", , , , , ,"90","110642","25425"
"Line(03400)","PBS SALARY AND BENEFITS","U", , , , , ,"90","160487","37234"
"Line(03500)","PBS SALARY AND BENEFITS","U", , , , , ,"90","159582","40958"
"Line(03600)","PBS SALARY AND BENEFITS","U", , , , , ,"90","174592","40475"
"Line(03700)","PBS SALARY AND BENEFITS","U", , , , , ,"90","155030","36165"
"Line(03800)","PBS SALARY AND BENEFITS","U", , , , , ,"90","44518","11263"
"Line(03900)","PBS SALARY AND BENEFITS","U", , , , , ,"90","111160","23814"
"Line(04000)","PBS SALARY AND BENEFITS","U", , , , , ,"90","2464110","556737"
"Line(04100)","PBS SALARY AND BENEFITS","U", , , , , ,"90","131086","32148"
"Line(04200)","PBS SALARY AND BENEFITS","U", , , , , ,"90","119020","28731"
"Line(04300)","PBS SALARY AND BENEFITS","U", , , , , ,"90","1040633","247491"
"Line(04400)","PBS SALARY AND BENEFITS","U", , , , , ,"90","439696","99155"
"Line(04500)","PBS SALARY AND BENEFITS","U", , , , , ,"90","890528","190466"
"Line(04600)","PBS SALARY AND BENEFITS","U", , , , , ,"91","161175","37903"
"Line(04700)","PBS SALARY AND BENEFITS","U", , , , , ,"91","12074","2414"
"Line(04800)","PBS SALARY AND BENEFITS","U", , , , , ,"94","153129","28354"
"Line(04900)","PBS SALARY AND BENEFITS","U", , , , , ,"105","413389","82328"
"Line(05000)","PBS SALARY AND BENEFITS","U", , , , , ,"106","244719","46164"
"Line(05100)","PBS SALARY AND BENEFITS","U", , , , , ,"112","9816","1620"
"Line(05200)","PBS SALARY AND BENEFITS","U", , , , , ,"44", ,"49"
