"Schema: HCRIS TABLE: STRONG_DATA_2013","----------"," Entity 562588"," Report A6000E0 ","-------------","-------------","-----------",""
"","","CODE","","","","","","","","","A-7"
"","EXPLANATION OF RECLASSIFICATION(S)","-1","COST CENTER","LINE #","SALARY","OTHER","COST CENTER","LINE #","SALARY","OTHER","Ref."
"","","1","2","3","4","5","6","7","8","9","10"
"Entity[562588] Report(A6000E0)","Entity[562588] Report(A6000E0[00000])","Entity[562588] Report(A6000E0[00100])", ,"Entity[562588] Report(A6000E0[00300])", ,"Entity[562588] Report(A6000E0[00500])", ,"Entity[562588] Report(A6000E0[00700])", ,"Entity[562588] Report(A6000E0[00900])"
"Line(00100)","EMPLOYEE BENEFITS","E", ,"4", ,"96293554", ,"5", ,"6747419"
"Line(00200)","EMPLOYEE BENEFITS","E", ,"4", ,"5410884", ,"7", ,"169975"
"Line(00300)","EMPLOYEE BENEFITS","E", , , , , ,"8", ,"11134"
"Line(00400)","EMPLOYEE BENEFITS","E", , , , , ,"9", ,"313590"
"Line(00500)","EMPLOYEE BENEFITS","E", , , , , ,"9", ,"168690"
"Line(00600)","EMPLOYEE BENEFITS","E", , , , , ,"10", ,"993840"
"Line(00700)","EMPLOYEE BENEFITS","E", , , , , ,"10", ,"147818"
"Line(00800)","EMPLOYEE BENEFITS","E", , , , , ,"13", ,"1466949"
"Line(00900)","EMPLOYEE BENEFITS","E", , , , , ,"13", ,"154128"
"Line(01000)","EMPLOYEE BENEFITS","E", , , , , ,"14", ,"411697"
"Line(01100)","EMPLOYEE BENEFITS","E", , , , , ,"14", ,"60827"
"Line(01200)","EMPLOYEE BENEFITS","E", , , , , ,"15", ,"1635991"
"Line(01300)","EMPLOYEE BENEFITS","E", , , , , ,"15", ,"359429"
"Line(01400)","EMPLOYEE BENEFITS","E", , , , , ,"15", ,"405"
"Line(01500)","EMPLOYEE BENEFITS","E", , , , , ,"17", ,"897645"
"Line(01600)","EMPLOYEE BENEFITS","E", , , , , ,"17", ,"137052"
"Line(01700)","EMPLOYEE BENEFITS","E", , , , , ,"18", ,"316089"
"Line(01800)","EMPLOYEE BENEFITS","E", , , , , ,"21", ,"3723737"
"Line(01900)","EMPLOYEE BENEFITS","E", , , , , ,"22", ,"350829"
"Line(02000)","EMPLOYEE BENEFITS","E", , , , , ,"23", ,"11991"
"Line(02100)","EMPLOYEE BENEFITS","E", , , , , ,"23", ,"20257"
"Line(02200)","EMPLOYEE BENEFITS","E", , , , , ,"23", ,"80584"
"Line(02300)","EMPLOYEE BENEFITS","E", , , , , ,"23", ,"41168"
"Line(02400)","EMPLOYEE BENEFITS","E", , , , , ,"30", ,"6435168"
"Line(02500)","EMPLOYEE BENEFITS","E", , , , , ,"31", ,"1953274"
"Line(02600)","EMPLOYEE BENEFITS","E", , , , , ,"31", ,"936760"
"Line(02700)","EMPLOYEE BENEFITS","E", , , , , ,"31", ,"384550"
"Line(02800)","EMPLOYEE BENEFITS","E", , , , , ,"40", ,"352847"
"Line(02900)","EMPLOYEE BENEFITS","E", , , , , ,"43", ,"23837"
"Line(03000)","EMPLOYEE BENEFITS","E", , , , , ,"44", ,"472226"
"Line(03100)","EMPLOYEE BENEFITS","E", , , , , ,"50", ,"5851649"
"Line(03200)","EMPLOYEE BENEFITS","E", , , , , ,"50", ,"604841"
"Line(03300)","EMPLOYEE BENEFITS","E", , , , , ,"52", ,"553161"
"Line(03400)","EMPLOYEE BENEFITS","E", , , , , ,"53", ,"6142488"
"Line(03500)","EMPLOYEE BENEFITS","E", , , , , ,"53", ,"614508"
"Line(03600)","EMPLOYEE BENEFITS","E", , , , , ,"54", ,"4049780"
"Line(03700)","EMPLOYEE BENEFITS","E", , , , , ,"54", ,"154688"
"Line(03800)","EMPLOYEE BENEFITS","E", , , , , ,"55", ,"938738"
