"Schema: HCRIS TABLE: STRONG_DATA_2013","----------"," Entity 572966"," Report A820010 ","-------------","-------------","-----------",""
"","","","","","","",""," FROM ____________","","",""
"","","","","",""," ________________",""," TO _______________","","",""
"","","","Cost Center/","","","","","Physician/","","5 Percent of",""
"","","Wkst. A","Physician","Total","Professional","Provider","RCE","Provider","Unadjusted","Unadjusted",""
"","","Line #","Identifier","Remuneration","Component","Component","Amount","Component Hours","RCE Limit","RCE Limit",""
"","","1","2","3","4","5","6","7","8","9",""
"Entity[572966] Report(A820010)", ,"Entity[572966] Report(A820010[00100])","Entity[572966] Report(A820010[00200])","Entity[572966] Report(A820010[00300])","Entity[572966] Report(A820010[00400])","Entity[572966] Report(A820010[00500])","Entity[572966] Report(A820010[00600])","Entity[572966] Report(A820010[00700])","Entity[572966] Report(A820010[00800])","Entity[572966] Report(A820010[00900])", , ,"Entity[572966] Report(A820010[01200])","Entity[572966] Report(A820010[01300])", , ,"Entity[572966] Report(A820010[01600])","Entity[572966] Report(A820010[01700])","Entity[572966] Report(A820010[01800])"
"Line(00100)", ,"5","AGGREGATE-DATA PROCESSING","44568","32208","11127","208000","267","26700","1335", , , , , , ,"26700", ,"33441"
"Line(00200)", ,"5","AGGREGATE-DATA PROCESSING","227868","141287","73401","177200","991","84426","4221", , , , , , ,"84426", ,"154467"
"Line(00300)", ,"5","AGGREGATE-ADMITTING","65324","56290","8427","177200","93","7923","396", , , , , , ,"7923","504","57401"
"Line(00400)", ,"5","AGGREGATE-A&G - NON RESEARCH","34398","10779","20195","140600","541","36569","1828", , , , , , ,"36569", ,"14203"
"Line(00500)", ,"5","AGGREGATE-A&G - NON RESEARCH","167248","53059","15667","177200","130","11075","554", , , , , , ,"11075","4592","156173"
"Line(00600)", ,"5","AGGREGATE-A&G - RESEARCH","16930","4212","328","177200","56","4771","239", , , , , , ,"4771", ,"16602"
"Line(00700)", ,"5","AGGREGATE-A&G - ALL OTHER","472465","71466","318852","177200","3362","286417","14321", , ,"1043","704", , ,"287121","31731","185344"
"Line(00800)", ,"5","AGGREGATE-A&G - WEST CAMPUS","723307","319741","336464","177200","6749","574963","28748", , , , , , ,"574963", ,"386843"
"Line(00900)", ,"5","AGGREGATE-A&G - PAVILION FOR WOMEN","1041354", , , , , , , , , , , , , , ,"1041354"
"Line(01000)", ,"5","AGGREGATE-A&G - PAVILION FOR WOMEN","790589","236916","274233","196400","718","67796","3390", , , , , , ,"67796","206437","722793"
