"Schema: HCRIS TABLE: STRONG_DATA_2013","----------"," Entity 572966"," Report G300000 ","-------------","-------------","-----------",""
"","","","","",""
"","Description","","","",""
"1","\" Total patient revenues (from Worksheet G-2"," Part I"," column 3"," line 28)\"","","","","1"
"2"," Less contractual allowances and discounts on patients' accounts","","","","2"
"3"," Net patient revenues (line 1 minus line 2)","","","","3"
"4","\" Less total operating expenses (from Worksheet G-2"," Part II"," line 43)\"","","","","4"
"5"," Net income from service to patients (line 3 minus line 4)","","","","5"
"","","","","",""
""," OTHER INCOME","","","",""
"","","","","",""
"6","\" Contributions"," donations"," bequests"," etc\"","","","","6"
"7"," Income from investments","","","","7"
"8"," Revenues from telephone and telegraph service","","","","8"
"9"," Revenue from television and radio service","","","","9"
"10"," Purchase discounts","","","","10"
"11"," Rebates and refunds of expenses","","","","11"
"12"," Parking lot receipts","","","","12"
"13"," Revenue from laundry and linen service","","","","13"
"14"," Revenue from meals sold to employees and guests","","","","14"
"15"," Revenue from rental of living quarters","","","","15"
"16"," Revenue from sale of medical and surgical supplies to other than patients","","","","16"
"17"," Revenue from sale of drugs to other than patients","","","","17"
"18"," Revenue from sale of medical records and abstracts","","","","18"
"19","\" Tuition (fees"," sale of textbooks"," uniforms"," etc.)\"","","","","19"
"20","\" Revenue from gifts"," flowers"," coffee shops"," and canteen\"","","","","20"
"21"," Rental of vending machines","","","","21"
"22"," Rental of hospital space","","","","22"
"23"," Governmental appropriations","","","","23"
"24"," Other (specify)","","","","24"
"25"," Total other income (sum of lines 6-24)","","","","25"
"26"," Total (line 5 plus line 25)","","","","26"
"27"," Other expenses (specify)","","","","27"
"28"," Total other expenses (sum of line 27 and subscripts)","","","","28"
"29"," Net income (or loss) for the period (line 26 minus line 28)","","","","29"
"Entity[572966] Report(G300000)","Entity[572966] Report(G300000[00000])","Entity[572966] Report(G300000[00100])"
"Line(00100)", ,"2147483647"
"Line(00200)", ,"1527828165"
"Line(00300)", ,"1229686735"
"Line(00400)", ,"1343597345"
"Line(00500)", ,"-113910610"
"Line(00600)", ,"31902678"
"Line(00700)", ,"1399392"
"Line(01200)", ,"8364761"
"Line(01700)", ,"1413511"
"Line(02000)", ,"349281"
"Line(02200)", ,"207300"
"Line(02400)","DSH REVENUE","16968851"
"Line(02401)","GRANTS","4780231"
"Line(02402)","INDIRECT EXPENSE REIMBURSEMENT","6329880"
"Line(02403)","VENDED SERVICES REVENUE","12768810"
"Line(02404)","NON PATIENT OPERATING INCOME","26397303"
"Line(02405)","CHGME FUNDS","8383005"
"Line(02406)","FOOD COURT REVENUE","3036195"
"Line(02407)","CLEAN CLAIMS","912611"
"Line(02408)","OTHER GOVERNMENT FUNDING","59916589"
"Line(02409)","HEALTH CENTER FEE","368357"
"Line(02410)","CONFERENCE REGISTRATION FEES","126729"
"Line(02411)","MISCELLANEOUS OTHER INCOME","914943"
"Line(02412)","OTHER RESEARCH REVENUE","1629200"
"Line(02413)","EQUIPMENT RENTAL","224781"
"Line(02500)", ,"186394408"
"Line(02600)", ,"72483798"
"Line(02700)","MISCELLANEOUS OTHER EXPENSE","-216972"
"Line(02701)","CONTRIBUTIONS TO OTHERS","7981736"
"Line(02702)","INVESTMENT EXPENSES","-14188894"
"Line(02800)", ,"-6424130"
