"Schema: HCRIS TABLE: STRONG_DATA_2013","----------"," Entity 572966"," Report A800000 ","-------------","-------------","-----------",""
"","DESCRIPTION (1)","","","WORKSHEET A TO/FROM WHICH","","Wkst."
"","","","","THE AMOUNT IS TO BE ADJUSTED","","A-7"
"","","BASIS/CODE (2)","AMOUNT","COST CENTER","LINE #","Ref."
"","","1","2","3","4","5"
"Entity[572966] Report(A800000)","Entity[572966] Report(A800000[00000])","Entity[572966] Report(A800000[00100])","Entity[572966] Report(A800000[00200])","Entity[572966] Report(A800000[00300])","Entity[572966] Report(A800000[00400])","Entity[572966] Report(A800000[00500])"
"Line(01000)", , ,"-79555147"
"Line(03300)","NONREIMBURSABLE PAYROLL","A","-125161","EMPLOYEE BENEFITS DEPARTMENT","4"
"Line(03301)","NONREIMBURSABLE PAYROLL","A","-107778","ADMITTING","5"
"Line(03302)","NONREIMBURSABLE PAYROLL","A","-106399","A&G - NON RESEARCH","5"
"Line(03303)","NONREIMBURSABLE PAYROLL","A","-81699","OPERATION OF PLANT","7"
"Line(03304)","NONREIMBURSABLE PAYROLL","A","-681569","NURSING ADMINISTRATION","13"
"Line(03305)","NONREIMBURSABLE PAYROLL","A","-75011","AMBULATORY ADMIN","18"
"Line(03306)","NONREIMBURSABLE PAYROLL","A","-54335","DIAGNOSTIC IMAGING ADMIN","18"
"Line(03307)","NONREIMBURSABLE PAYROLL","A","-273320","LABORATORY ADMIN","18"
"Line(03308)","NONREIMBURSABLE PAYROLL","A","-122284","SURGERY ADMIN","18"
"Line(03309)","NONREIMBURSABLE PAYROLL","A","-257202","SURGERY SERVICES","18"
"Line(03310)","NONREIMBURSABLE PAYROLL","A","-1349581","NEONATOLOGY ADMIN","18"
"Line(03311)","NONREIMBURSABLE PAYROLL","A","-250776","HEMATOLOGY & ONCOLOGY ADMIN","18"
"Line(03312)","NONREIMBURSABLE PAYROLL","A","-114030","NEUROSURGERY ADMIN","18"
"Line(03313)","NONREIMBURSABLE PAYROLL","A","-311701","CRITICAL CARE ADMIN","18"
"Line(03314)","NONREIMBURSABLE PAYROLL","A","-145795","ANESTHESIOLOGY ADMIN","18"
"Line(03315)","NONREIMBURSABLE PAYROLL","A","-171375","ANCILLARY ADMINISTRATION","18"
"Line(03316)","NONREIMBURSABLE PAYROLL","A","-28929","ADULTS & PEDIATRICS","30"
"Line(03317)","NONREIMBURSABLE PAYROLL","A","-60","ANESTHESIOLOGY","53"
"Line(03318)","NONREIMBURSABLE PAYROLL","A","-238379","LABORATORY","60"
