"Schema: HCRIS TABLE: STRONG_DATA_2013","----------"," Entity 572966"," Report D00A184 ","-------------","-------------","-----------",""
"","applicable","","\"   [ ] Title XVIII"," Part A\"","","","   [ ] IPF","           [ ] SNF","","","   [ ] TEFRA"
"","boxes:","","   [ ] Title XIX","","","   [ ] IRF","           [ ] NF","","",""
"","","","","","","","","","",""
"","","","","","","","","All","","Total"
"","","","","","Non","","","Other ","","Outpatient"
"","","","","","Physician","","","Medical","Total cost","Cost"
"","","","","","Anesthetist","Nursing","Allied","Education","(sum of col 1","\"(sum of col. 2","\""
"","","","","","Cost","School","Health","Cost","through col. 4)","3 and 4)"
"","Cost Center Description","","","","1","2","3","4","5","6"
"","ANCILLARY SERVICE COST CENTERS","","","","","","","","",""
"Entity[572966] Report(D00A184)", , , , , , , ,"Entity[572966] Report(D00A184[00700])", , ,"Entity[572966] Report(D00A184[01000])", ,"Entity[572966] Report(D00A184[01200])"
"Line(05000)", , , , , , , ,"165133554", , ,"548887", ,"292639"
"Line(05100)", , , , , , , ,"57569976", , ,"96072", ,"120505"
"Line(05200)", , , , , , , ,"22299755", , ,"58639", ,"39649"
"Line(05300)", , , , , , , ,"84642044", , ,"188684", ,"160309"
"Line(05400)", , , , , , , ,"92031707", , ,"280649", ,"448478"
"Line(05700)", , , , , , , ,"33288337", , ,"38025", ,"164987"
"Line(05800)", , , , , , , ,"74884089", , ,"8840", ,"111186"
"Line(05900)", , , , , , , ,"27699110", , ,"67110", ,"77989"
"Line(06000)", , , , , , , ,"308319982", , ,"1615378", ,"107914"
"Line(06200)", , , , , , , ,"27078110", , ,"134116", ,"22949"
"Line(06500)", , , , , , , ,"91147049", , ,"330022", ,"22149"
"Line(06600)", , , , , , , ,"38996365", , ,"51313", ,"2087"
"Line(06800)", , , , , , , ,"5601094", , ,"3698"
"Line(06900)", , , , , , , ,"72360872", , ,"98007", ,"330169"
"Line(07000)", , , , , , , ,"19970235", , ,"22764", ,"33294"
"Line(07100)", , , , , , , ,"46270522", , ,"171224", ,"91399"
"Line(07200)", , , , , , , ,"42970954", , ,"62458", ,"51261"
"Line(07300)", , , , , , , ,"436241128", , ,"2784251", ,"4329082"
"Line(07301)", , , , , , , ,"3150436"
"Line(07400)", , , , , , , ,"9020616", , ,"459079"
"Line(07600)", , , , , , , ,"8995035"
"Line(07601)", , , , , , , ,"3985075"
"Line(07602)", , , , , , , ,"2423871", , ,"50110"
"Line(07603)", , , , , , , ,"5490346", , ,"1611", ,"31220"
"Line(07604)", , , , , , , ,"10659711"
"Line(07605)", , , , , , , ,"15354544", , ,"9250", ,"96737"
"Line(09000)", , , , , , , ,"65271303", , ,"3733", ,"404165"
"Line(09001)", , , , , , , ,"68516997", , ,"822", ,"2686"
"Line(09100)", , , , , , , ,"163175844", , ,"138757", ,"94826"
"Line(09200)", , , , , , , ,"16913802", , ,"2098", ,"74756"
"Line(09201)", , , , , , , ,"8435197"
"Line(09400)", , , , , , , ,"3416839"
