"Schema: HCRIS TABLE: STRONG_DATA_2013","----------"," Entity 572966"," Report A6000M0 ","-------------","-------------","-----------",""
"","","CODE","","","","","","","","","A-7"
"","EXPLANATION OF RECLASSIFICATION(S)","-1","COST CENTER","LINE #","SALARY","OTHER","COST CENTER","LINE #","SALARY","OTHER","Ref."
"","","1","2","3","4","5","6","7","8","9","10"
"Entity[572966] Report(A6000M0)","Entity[572966] Report(A6000M0[00000])","Entity[572966] Report(A6000M0[00100])", ,"Entity[572966] Report(A6000M0[00300])", ,"Entity[572966] Report(A6000M0[00500])", ,"Entity[572966] Report(A6000M0[00700])", ,"Entity[572966] Report(A6000M0[00900])"
"Line(00100)","BILLABLE SURGICAL SUPPLIES","M", ,"71", ,"10060914", ,"18", ,"488"
"Line(00200)","BILLABLE SURGICAL SUPPLIES","M", ,"72", ,"12602753", ,"30", ,"171785"
"Line(00300)","BILLABLE SURGICAL SUPPLIES","M", , , , , ,"31", ,"16575"
"Line(00400)","BILLABLE SURGICAL SUPPLIES","M", , , , , ,"31", ,"65051"
"Line(00500)","BILLABLE SURGICAL SUPPLIES","M", , , , , ,"43", ,"911"
"Line(00600)","BILLABLE SURGICAL SUPPLIES","M", , , , , ,"50", ,"19333136"
"Line(00700)","BILLABLE SURGICAL SUPPLIES","M", , , , , ,"54", ,"494574"
"Line(00800)","BILLABLE SURGICAL SUPPLIES","M", , , , , ,"57", ,"270"
"Line(00900)","BILLABLE SURGICAL SUPPLIES","M", , , , , ,"58", ,"304"
"Line(01000)","BILLABLE SURGICAL SUPPLIES","M", , , , , ,"59", ,"1429348"
"Line(01100)","BILLABLE SURGICAL SUPPLIES","M", , , , , ,"60", ,"33"
"Line(01200)","BILLABLE SURGICAL SUPPLIES","M", , , , , ,"65", ,"269787"
"Line(01300)","BILLABLE SURGICAL SUPPLIES","M", , , , , ,"66", ,"224691"
"Line(01400)","BILLABLE SURGICAL SUPPLIES","M", , , , , ,"68", ,"1304"
"Line(01500)","BILLABLE SURGICAL SUPPLIES","M", , , , , ,"69", ,"327202"
"Line(01600)","BILLABLE SURGICAL SUPPLIES","M", , , , , ,"74", ,"32617"
"Line(01700)","BILLABLE SURGICAL SUPPLIES","M", , , , , ,"76", ,"1233"
"Line(01800)","BILLABLE SURGICAL SUPPLIES","M", , , , , ,"76", ,"420"
"Line(01900)","BILLABLE SURGICAL SUPPLIES","M", , , , , ,"90", ,"169414"
"Line(02000)","BILLABLE SURGICAL SUPPLIES","M", , , , , ,"90", ,"122435"
"Line(02100)","BILLABLE SURGICAL SUPPLIES","M", , , , , ,"92", ,"1999"
"Line(02200)","BILLABLE SURGICAL SUPPLIES","M", , , , , ,"94", ,"90"
