"Schema: HCRIS TABLE: STRONG_DATA_2013","----------"," Entity 572966"," Report D30A180 ","-------------","-------------","-----------",""
"","applicable","\"   [ ]  Title XVIII"," Part A\"","   [ ]  IPF"," [ ]  SNF","  [ ]  Swing-Bed NF","   [ ]  TEFRA",""
"","boxes:","   [ ]  Title XIX","   [ ]  IRF"," [ ]  NF","  [ ]  ICF/MR","   [ ]  Other",""
"","","","","Ratio of Cost","Inpatient","Inpatient Program Costs",""
"","COST  CENTER  DESCRIPTION","","","to Charges","Program Charges","(col. 1 x col. 2)",""
"","","","","1","2","3",""
"","INPATIENT ROUTINE SERVICE COST CENTERS","","","","","",""
"30"," Adults and Pediatrics (General Routine Care)","","","","","","30"
"31"," Intensive Care Unit","","","","","","31"
"32"," Coronary Care Unit","","","","","","32"
"33"," Burn Intensive Care Unit","","","","","","33"
"34"," Surgical Intensive Care Unit","","","","","","34"
"35"," Other Special Care (specify)","","","","","","35"
"40"," Subprovider IPF","","","","","","40"
"41"," Subprovider IRF","","","","","","41"
"42"," Subprovider (Specify)","","","","","","42"
"43"," Nursery","","","","","","43"
"","ANCILLARY SERVICE COST CENTERS","","","","","",""
"50"," Operating Room","","","","","","50"
"51"," Recovery Room","","","","","","51"
"52"," Labor Room and Delivery Room","","","","","","52"
"53"," Anesthesiology","","","","","","53"
"54"," Radiology-Diagnostic","","","","","","54"
"55"," Radiology-Therapeutic","","","","","","55"
"56"," Radioisotope","","","","","","56"
"57"," Computed Tomography (CT) Scan","","","","","","57"
"58"," Magnetic Resonance Imaging (MRI)","","","","","","58"
"59"," Cardiac Catheterization","","","","","","59"
"60"," Laboratory","","","","","","60"
"61"," PBP Clinical Laboratory Services-Prgm. Only","","","","","","61"
"62"," Whole Blood & Packed Red Blood Cells","","","","","","62"
"63","\" Blood Storing"," Processing"," & Trans.\"","","","","","","63"
"64"," Intravenous Therapy","","","","","","64"
"65"," Respiratory Therapy","","","","","","65"
"66"," Physical Therapy","","","","","","66"
"67"," Occupational Therapy","","","","","","67"
"68"," Speech Pathology","","","","","","68"
"69"," Electrocardiology","","","","","","69"
"70"," Electroencephalography","","","","","","70"
"71"," Medical Supplies Charged to Patients","","","","","","71"
"72"," Implantable Devices Charged to Patients","","","","","","72"
"73"," Drugs Charged to Patients","","","","","","73"
"74"," Renal Dialysis","","","","","","74"
"75"," ASC (Non-Distinct Part)","","","","","","75"
"76"," Other Ancillary (specify)","","","","","","76"
"","OUTPATIENT SERVICE COST CENTERS","","","","","",""
"88"," Rural Health Clinic (RHC)","","","","","","88"
"89"," Federally Qualified Health Center (FQHC)","","","","","","89"
"90"," Clinic","","","","","","90"
"91"," Emergency","","","","","","91"
"92"," Observation Beds (see instructions)","","","","","","92"
"93"," Other Outpatient Service (specify)","","","","","","93"
"","OTHER REIMBURSABLE COST CENTERS","","","","","",""
"94"," Home Program Dialysis","","","","","","94"
"95"," Ambulance Services","","","","","","95"
"96"," Durable Medical Equipment-Rented","","","","","","96"
"97"," Durable Medical Equipment-Sold","","","","","","97"
"98"," Other Reimbursable (specify)","","","","","","98"
"200"," Total (sum of lines 50-94 and 96-98)","","","","","","200"
"201"," Less PBP Clinic Laboratory Services-Program only charges (line 61)","","","","","","201"
"202"," Net Charges (line 200 minus line 201)","","","","","","202"
"Entity[572966] Report(D30A180)", ,"Entity[572966] Report(D30A180[00100])","Entity[572966] Report(D30A180[00200])","Entity[572966] Report(D30A180[00300])"
"Line(03000)", , ,"2399066"
"Line(03101)", , ,"338234"
"Line(03103)", , ,"838800"
"Line(05000)", ,"0","548887","189719"
"Line(05100)", ,"0","96072","29994"
"Line(05200)", ,"1","58639","55188"
"Line(05300)", ,"0","188684","28594"
"Line(05400)", ,"0","280649","101603"
"Line(05700)", ,"0","38025","5122"
"Line(05800)", ,"0","8840","1224"
"Line(05900)", ,"0","67110","21589"
"Line(06000)", ,"0","1615378","366634"
"Line(06200)", ,"0","134116","58311"
"Line(06500)", ,"0","330022","94822"
"Line(06600)", ,"0","51313","24349"
"Line(06800)", ,"1","3698","2158"
"Line(06900)", ,"0","98007","11755"
"Line(07000)", ,"0","22764","9030"
"Line(07100)", ,"0","171224","59033"
"Line(07200)", ,"0","62458","23162"
"Line(07300)", ,"0","2784251","636212"
"Line(07301)", ,"2"
"Line(07400)", ,"1","459079","306934"
"Line(07600)", ,"1"
"Line(07601)", ,"1"
"Line(07602)", ,"0","50110","12942"
"Line(07603)", ,"1","1611","862"
"Line(07604)", ,"1"
"Line(07605)", ,"0","9250","3107"
"Line(09000)", ,"1","3733","4303"
"Line(09001)", ,"0","822","337"
"Line(09100)", ,"0","138757","32319"
"Line(09200)", ,"1","2098","1096"
"Line(09201)", ,"0"
"Line(09400)", ,"1"
"Line(20000)", , ,"7225597","2080399"
