"Schema: HCRIS TABLE: STRONG_DATA_2013","----------"," Entity 572966"," Report I1D000* ","-------------","-------------","-----------",""
"","----","NO HEADER "," -------- ","NO HEADER"," ------- ","","","","","",""
"Entity[572966] Report(I1D000*)", , ,"Entity[572966] Report(I1D000*[00200])"
"Entity[572966] Report(I3D0000)","Entity[572966] Report(I3D0000[00000])","Entity[572966] Report(I3D0000[00100])","Entity[572966] Report(I3D0000[00200])","Entity[572966] Report(I3D0000[00300])","Entity[572966] Report(I3D0000[00400])","Entity[572966] Report(I3D0000[00500])","Entity[572966] Report(I3D0000[00600])","Entity[572966] Report(I3D0000[00700])","Entity[572966] Report(I3D0000[00800])","Entity[572966] Report(I3D0000[00900])","Entity[572966] Report(I3D0000[01000])"
"Line(00100)", ,"635054","42382","1367591","239380","632664","112526","445020", ,"3474617","2556448"
"Line(00200)", ,"6120","76","24222","9392","1252730","110946","243852","665954"
"Line(01200)","1517","289","24","7467","38","350733","34104","226477"
"Line(01700)", ,"6409","100","31688","9430","1603463","145050","470329","665954", ,"3474617"
"----------------","----------------","----------------","----------------","----------------","----------------"
"----------------","----------------","----------------","----------------","----------------","----------------"
 , , , , , 
 , , , , , 
"Schema: HCRIS TABLE: STRONG_DATA_2013","----------"," Entity 572966"," Report I3H0000 ","-------------","-------------","-----------",""
"","----","NO HEADER "," -------- ","NO HEADER"," ------- ","","","","","",""
"Entity[572966] Report(I3H0000)", ,"Entity[572966] Report(I3H0000[00100])","Entity[572966] Report(I3H0000[00200])","Entity[572966] Report(I3H0000[00300])","Entity[572966] Report(I3H0000[00400])","Entity[572966] Report(I3H0000[00500])","Entity[572966] Report(I3H0000[00600])","Entity[572966] Report(I3H0000[00700])","Entity[572966] Report(I3H0000[00800])","Entity[572966] Report(I3H0000[00900])","Entity[572966] Report(I3H0000[01000])"
"Line(00100)", ,"63406", ,"376389","68078","174390","130391","516043", ,"1328697","585993"
"Line(00200)", ,"33", ,"33","35","2727","711","753","3127"
"Line(00700)", ,"39", ,"165","176","13634","3557","11919","46440"
"Line(00800)", ,"266", ,"1663","1781","137700","35922","38004","1187"
"Line(01100)", ,"764","100","5920","6342","490226","127887","428569","265501"
"Line(01700)", ,"1102","100","7781","8335","644287","168077","479245","316255", ,"1328697"
"----------------","----------------","----------------","----------------","----------------","----------------"
"----------------","----------------","----------------","----------------","----------------","----------------"
 , , , , , 
 , , , , , 
"Schema: HCRIS TABLE: STRONG_DATA_2013","----------"," Entity 572966"," Report I4D0010 ","-------------","-------------","-----------",""
"","----","NO HEADER "," -------- ","NO HEADER"," ------- ","","","","","",""
"Entity[572966] Report(I4D0010)", ,"Entity[572966] Report(I4D0010[00100])","Entity[572966] Report(I4D0010[00200])","Entity[572966] Report(I4D0010[00300])", ,"Entity[572966] Report(I4D0010[00500])"
"Line(00100)", ,"4935","4744991","962", ,"2074917"
"Line(01100)", ,"4935","4744991", , ,"2074917"
"----------------","----------------","----------------","----------------","----------------","----------------"
"----------------","----------------","----------------","----------------","----------------","----------------"
 , , , , , 
 , , , , , 
"Schema: HCRIS TABLE: STRONG_DATA_2013","----------"," Entity 572966"," Report I4H0010 ","-------------","-------------","-----------",""
"","----","NO HEADER "," -------- ","NO HEADER"," ------- ","","","","","",""
"Entity[572966] Report(I4H0010)", ,"Entity[572966] Report(I4H0010[00100])","Entity[572966] Report(I4H0010[00200])","Entity[572966] Report(I4H0010[00300])", ,"Entity[572966] Report(I4H0010[00500])"
"Line(00100)", ,"66","8475","128", ,"2055"
"Line(00600)", ,"30","44575","1486"
"Line(00700)", ,"303","311781","1029", ,"157434"
"Line(00800)", ,"29"
"Line(01000)", ,"1010","1549859","1535", ,"604597"
"Line(01100)", ,"428","1914690", , ,"764086"
"----------------","----------------","----------------","----------------","----------------","----------------"
"----------------","----------------","----------------","----------------","----------------","----------------"
 , , , , , 
 , , , , , 
"Schema: HCRIS TABLE: STRONG_DATA_2013","----------"," Entity 572966"," Report I500000 ","-------------","-------------","-----------",""
"","----","NO HEADER "," -------- ","NO HEADER"," ------- ","","","","","",""
"Entity[572966] Report(I500000)", ,"Entity[572966] Report(I500000[00100])","Entity[572966] Report(I500000[00200])"
"Line(00100)", ,"2839003"
"Line(00202)", ,"1003670","969867"
"Line(00203)", ,"1003670","969867"
"Line(00204)", ,"3898"
"Line(00302)", ,"944","912"
"Line(00303)", ,"944","912"
"Line(00402)", ,"200545","193790"
"Line(00403)", ,"200545","193790"
"Line(00800)", , ,"194702"
"Line(00900)", , ,"775164"
"Line(01000)", ,"2839003","1869137"
"Line(01200)", ,"6972807"
"Line(01300)", ,"6659681"
"----------------","----------------","----------------","----------------","----------------","----------------"
"----------------","----------------","----------------","----------------","----------------","----------------"
 , , , , , 
 , , , , , 
