"Schema: HCRIS TABLE: STRONG_DATA_2013","----------"," Entity 572966"," Report A700001 ","-------------","-------------","-----------",""
"","","","","","Acquisitions","","","Disposals","","Fully"
"","","","","Beginning","","","","and","Ending","Depreciated"
"","","Description","","Balances","Purchases","Donation","Total","Retirements","Balance","Assets"
"","","","","1","2","3","4","5","6","7"
"Entity[572966] Report(A700001)", ,"Entity[572966] Report(A700001[00100])","Entity[572966] Report(A700001[00200])", ,"Entity[572966] Report(A700001[00400])","Entity[572966] Report(A700001[00500])","Entity[572966] Report(A700001[00600])"
"Line(00100)", ,"84566514","7302227", ,"7302227", ,"91868741"
"Line(00200)", ,"6293040","909979", ,"909979", ,"7203019"
"Line(00300)", ,"951023663","31004915", ,"31004915", ,"982028578"
"Line(00500)", ,"651593647","28177454", ,"28177454", ,"679771101"
"Line(00600)", ,"418436640","53149197", ,"53149197","4018266","467567571"
"Line(00700)", ,"89081392","2349928", ,"2349928","318851","91112469"
"Line(00800)", ,"2147483647","122893700", ,"122893700","4337117","2147483647"
"Line(00900)", ,"38470986", , , , ,"38470986"
