"Schema: HCRIS TABLE: STRONG_DATA_2013","----------"," Entity 572966"," Report I500000 ","-------------","-------------","-----------",""
"","----","NO HEADER "," -------- ","NO HEADER"," ------- ","","","","","",""
"Entity[572966] Report(I500000)", ,"Entity[572966] Report(I500000[00100])","Entity[572966] Report(I500000[00200])"
"Line(00100)", ,"2839003"
"Line(00202)", ,"1003670","969867"
"Line(00203)", ,"1003670","969867"
"Line(00204)", ,"3898"
"Line(00302)", ,"944","912"
"Line(00303)", ,"944","912"
"Line(00402)", ,"200545","193790"
"Line(00403)", ,"200545","193790"
"Line(00800)", , ,"194702"
"Line(00900)", , ,"775164"
"Line(01000)", ,"2839003","1869137"
"Line(01200)", ,"6972807"
"Line(01300)", ,"6659681"
