"Schema: HCRIS TABLE: STRONG_DATA_2013","----------"," Entity 572966"," Report C000001 ","-------------","-------------","-----------",""
"","","","(from Wkst.","Therapy","","RCE","","","","Total","","TEFRA","PPS"
"","","COST CENTER DESCRIPTIONS","\"B"," Part I","\"","Limit","Total","Dis-","Total","","","(column 6","Cost or ","Inpatient","Inpatient"
"","","","col. 26)","Adj.","Costs","allowance","Costs","Inpatient","Outpatient","+ column 7)","Other Ratio","Ratio","Ratio"
"","","","1","2","3","4","5","6","7","8","9","10","11"
"Entity[572966] Report(C000001)", ,"Entity[572966] Report(C000001[00100])", ,"Entity[572966] Report(C000001[00300])", , ,"Entity[572966] Report(C000001[00600])","Entity[572966] Report(C000001[00700])","Entity[572966] Report(C000001[00800])","Entity[572966] Report(C000001[00900])","Entity[572966] Report(C000001[01000])"
"Line(03000)", ,"171607119", ,"171607119", , ,"337133692", ,"337133692"
"Line(03101)", ,"46369041", ,"46369041", , ,"110183800", ,"110183800"
"Line(03102)", ,"73419921", ,"73419921", , ,"197801291", ,"197801291"
"Line(03103)", ,"17276991", ,"17276991", , ,"48458978", ,"48458978"
"Line(04300)", ,"7010692", ,"7010692", , ,"8015650", ,"8015650"
"Line(05000)", ,"57077327", ,"57077327", , ,"82975884","82157670","165133554","0","0"
"Line(05100)", ,"17973690", ,"17973690", , ,"16302917","41267059","57569976","0","0"
"Line(05200)", ,"20987331", ,"20987331", , ,"19277072","3022683","22299755","1","1"
"Line(05300)", ,"12827233", ,"12827233", , ,"29938538","54703506","84642044","0","0"
"Line(05400)", ,"33318019", ,"33318019", , ,"35678092","56353615","92031707","0","0"
"Line(05700)", ,"4484339", ,"4484339", , ,"12002227","21286110","33288337","0","0"
"Line(05800)", ,"10366913", ,"10366913", , ,"15495684","59388405","74884089","0","0"
"Line(05900)", ,"8910610", ,"8910610", , ,"5740081","21959029","27699110","0","0"
"Line(06000)", ,"69977935", ,"69977935", , ,"178615592","129704390","308319982","0","0"
"Line(06200)", ,"11772963", ,"11772963", , ,"20387813","6690297","27078110","0","0"
"Line(06500)", ,"26188311", ,"26188311", , ,"84587384","6559665","91147049","0","0"
"Line(06600)", ,"18504633", ,"18504633", , ,"14135427","24860938","38996365","0","0"
"Line(06800)", ,"3268142", ,"3268142", , ,"551403","5049691","5601094","1","1"
"Line(06900)", ,"8678770", ,"8678770", , ,"22672362","49688510","72360872","0","0"
"Line(07000)", ,"7921632", ,"7921632", , ,"8647129","11323106","19970235","0","0"
"Line(07100)", ,"15952824", ,"15952824", , ,"27638583","18631939","46270522","0","0"
"Line(07200)", ,"15935586", ,"15935586", , ,"29311353","13659601","42970954","0","0"
"Line(07300)", ,"99682736", ,"99682736", , ,"292641381","143599747","436241128","0","0"
"Line(07301)", ,"5308786", ,"5308786", , , ,"3150436","3150436","2","2"
"Line(07400)", ,"6031065", ,"6031065", , ,"3404019","5616597","9020616","1","1"
"Line(07600)", ,"9023013", ,"9023013", , ,"8638695","356340","8995035","1","1"
"Line(07601)", ,"4373485", ,"4373485", , ,"709845","3275230","3985075","1","1"
"Line(07602)", ,"626001", ,"626001", , ,"1221227","1202644","2423871","0","0"
"Line(07603)", ,"2936392", ,"2936392", , ,"77783","5412563","5490346","1","1"
"Line(07604)", ,"5968043", ,"5968043", , ,"4858992","5800719","10659711","1","1"
"Line(07605)", ,"5157314", ,"5157314", , ,"1057478","14297066","15354544","0","0"
"Line(09000)", ,"75231104", ,"75231104", , ,"1163407","64107896","65271303","1","1"
"Line(09001)", ,"28128799", ,"28128799", , ,"36596","68480401","68516997","0","0"
"Line(09100)", ,"38007140", ,"38007140", , ,"31519527","131656317","163175844","0","0"
"Line(09200)", ,"8832596", ,"8832596", , ,"1491916","15421886","16913802","1","1"
"Line(09201)", ,"3966906", ,"3966906", , ,"498617","7936580","8435197","0","0"
"Line(09400)", ,"1914690", ,"1914690", , , ,"3416839","3416839","1","1"
"Line(09500)", ,"9334856", ,"9334856", , ,"358911","13166964","13525875","1","1"
"Line(10000)", ,"1146125", ,"1146125"
"Line(10500)", ,"940664", ,"940664", , ,"1614750", ,"1614750"
"Line(10600)", ,"1205220", ,"1205220", , ,"1896540", ,"1896540"
"Line(10700)", ,"2306194", ,"2306194", , ,"4517370", ,"4517370"
"Line(10800)", ,"1651258", ,"1651258", , ,"2489290", ,"2489290"
"Line(20000)", ,"971602409", ,"971602409", , ,"1663747296","1093204439","2147483647"
"Line(20100)", ,"8832596", ,"8832596"
