"Schema: HCRIS TABLE: STRONG_DATA_2013","----------"," Entity 572966"," Report A000000 ","-------------","-------------","-----------",""
"","COST CENTER DESCRIPTIONS","","","TOTAL","RECLASSIFI-","TRIAL BALANCE","","FOR ALLOCATION"
"","(omit cents)","SALARIES","OTHER","(col. 1 + col. 2)","CATIONS","(col. 3 ± col. 4)","ADJUSTMENTS","(col. 5 ± col. 6)"
"","","1","2","3","4","5","6","7"
"Entity[572966] Report(A000000)","Entity[572966] Report(A000000[00000])","Entity[572966] Report(A000000[00100])","Entity[572966] Report(A000000[00200])","Entity[572966] Report(A000000[00300])","Entity[572966] Report(A000000[00400])","Entity[572966] Report(A000000[00500])","Entity[572966] Report(A000000[00600])","Entity[572966] Report(A000000[00700])"
"Line(00100)","00100CAP REL COSTS-BLDG & FIXT", , , ,"20001167","20001167","2207063","22208230"
"Line(00101)","00101CAPITAL REL COSTS - 8080/RISE", , , ,"480747","480747","83838","564585"
"Line(00102)","00102CAPITAL REL COST - FEIGIN/NRI", , , ,"4549589","4549589","1700375","6249964"
"Line(00103)","00103CAP REL COST - NABISCO", , , ,"2156374","2156374", ,"2156374"
"Line(00104)","00104CAP REL COSTS - MEYER", , , ,"291586","291586","127754","419340"
"Line(00200)","00200CAP REL COSTS-MVBLE EQUIP", , , ,"96955155","96955155","-6097148","90858007"
"Line(00300)","00300OTHER CAP REL COSTS"
"Line(00400)","00400EMPLOYEE BENEFITS DEPARTMENT","7443876","15492996","22936872","7627760","30564632","-1066277","29498355"
"Line(00501)","00540NONPATIENT TELEPHONES","1504313","5764740","7269053","-238205","7030848","-673229","6357619"
"Line(00502)","00550DATA PROCESSING","23468384","67885421","91353805","-31304763","60049042","2020896","62069938"
"Line(00503)","00560MATERIALS MANAGEMENT","1933227","796320","2729547","193440","2922987","-6539","2916448"
"Line(00504)","00570ADMITTING","16991745","7639998","24631743","2865015","27496758","-408120","27088638"
"Line(00505)","00580CASHIERING  ACCOUNTS","5674492","4272798","9947290","257243","10204533","-671418","9533115"
"Line(00506)","00590A&G - NON RESEARCH","4504611","16652087","21156698","1072134","22228832","1519215","23748047"
"Line(00507)","00591A&G - RESEARCH","834660","648780","1483440","666781","2150221","-154135","1996086"
"Line(00509)","00592A&G - ALL OTHER","38950367","100289352","139239719","-35623908","103615811","-68999881","34615930"
"Line(00510)","00593A&G - WEST CAMPUS","991242","885940","1877182","166595","2043777","261108","2304885"
"Line(00511)","00594A&G - PAVILION FOR WOMEN","543595","1467532","2011127","751587","2762714","-1251519","1511195"
"Line(00600)","00600MAINTENANCE & REPAIRS","5161461","9689748","14851209","-839408","14011801","8989","14020790"
"Line(00700)","00700OPERATION OF PLANT","13797963","63289216","77087179","-30643609","46443570","-5018179","41425391"
"Line(00701)","00701OPER OF PLANT - 8080/RISE", ,"956776","956776","-271082","685694","1788","687482"
"Line(00702)","00702OPER OF PLANT - FEIGIN/NRI","594731","17206521","17801252","-5822057","11979195","-168281","11810914"
"Line(00703)","00703OPER OF PLANT - NABISCO", , , ,"146018","146018", ,"146018"
"Line(00704)","00704OPER OF PLANT - MEYER", ,"704634","704634","-216529","488105", ,"488105"
"Line(00800)","00800LAUNDRY & LINEN SERVICE", ,"365632","365632","3722","369354", ,"369354"
"Line(00900)","00900HOUSEKEEPING","12037806","17457147","29494953","-18899973","10594980","9231","10604211"
"Line(00901)","00901HOUSEKEEPING - 8080/RISE", , , ,"184693","184693", ,"184693"
"Line(00902)","00902HOUSEKEEPING - FEIGIN/NRI","1261544","6663713","7925257","-5556188","2369069","3283","2372352"
"Line(00903)","00905HOUSEKEEPING", , , ,"22881","22881", ,"22881"
"Line(00904)","00904HOUSEKEEPING - MEYER", ,"644666","644666","-557371","87295","1207","88502"
"Line(01000)","01000DIETARY","3633375","5224356","8857731","-467733","8389998","125207","8515205"
"Line(01100)","01100CAFETERIA","838815","1912314","2751129","-162027","2589102","-2451618","137484"
"Line(01300)","01300NURSING ADMINISTRATION","12801379","4748793","17550172","-7950039","9600133","-1185561","8414572"
"Line(01400)","01400CENTRAL SERVICES & SUPPLY","3134184","2063834","5198018","-1279611","3918407","-37312","3881095"
"Line(01500)","01500PHARMACY","22974287","61375740","84350027","-52664478","31685549","-313366","31372183"
"Line(01600)","01600MEDICAL RECORDS & LIBRARY","8167892","4681690","12849582","604750","13454332","-372277","13082055"
"Line(01700)","01700SOCIAL SERVICE","2678773","725460","3404233","6070","3410303","-5768","3404535"
"Line(01800)","01850AMBULATORY ADMIN","1247096","381357","1628453","-6577","1621876","-78616","1543260"
"Line(01801)","01851DIAGNOSTIC IMAGING ADMIN","1376576","8728515","10105091","-740393","9364698","-4989657","4375041"
"Line(01802)","01852LABORATORY ADMIN","1235231","6172606","7407837","-217254","7190583","-4482248","2708335"
"Line(01803)","01853PULMONARY ADMIN","19160","1542916","1562076","-35732","1526344","-1238623","287721"
"Line(01804)","01854RESPIRATORY THERAPY ADMIN"
"Line(01805)","01855PM&R ADMIN","205510","932288","1137798","156869","1294667","-722834","571833"
"Line(01806)","01856CARDIOLOGY ADMIN","859960","6470902","7330862","-366057","6964805","-4938469","2026336"
"Line(01807)","01857NUTRITION AND GI ADMIN","33325","2926134","2959459","-39508","2919951","-2543240","376711"
"Line(01808)","01858RHEUMATOLOGY ADMIN","47121","804742","851863","-18010","833853","-610564","223289"
"Line(01809)","01859ORTHOPEDIC SURG ADMIN","720","1460973","1461693","-2338","1459355","-1278037","181318"
"Line(01810)","01860SURGERY ADMIN","736531","9911133","10647664","-265911","10381753","-8806980","1574773"
