"Schema: HCRIS TABLE: STRONG_DATA_2013","----------"," Entity 563706"," Report A810000 ","-------------","-------------","-----------",""
"","","","","","Amount of","included in","Adjustments","Wkst.",""
"","","","","","Allowable","Wkst. A","(col. 4 minus","A-7",""
"","","Line No.","Cost Center","Expense Items","Cost","column 5","col. 5) *","Ref.",""
"","","1","2","3","4","5","6","7",""
"Entity[563706] Report(A810000)", ,"Entity[563706] Report(A810000[00100])","Entity[563706] Report(A810000[00200])","Entity[563706] Report(A810000[00300])","Entity[563706] Report(A810000[00400])","Entity[563706] Report(A810000[00500])","Entity[563706] Report(A810000[00600])"
"Line(00100)", ,"4","EMPLOYEE BENEFITS DEPARTMENT","HOME OFFICE-PUH/SHY","8703443", ,"8703443"
"Line(00200)", ,"4","EMPLOYEE BENEFITS DEPARTMENT","HOME OFFICE-WPIC","1544876", ,"1544876"
"Line(00300)", ,"5","INFORMATION SYSTEMS","HOME OFFICE-PUH/SHY","44400787", ,"44400787"
"Line(00301)", ,"5","INFORMATION SYSTEMS","HOME OFFICE-WPIC","11769738", ,"11769738"
"Line(00302)", ,"5","PURCHASING","HOME OFFICE-PUH/SHY","3990724", ,"3990724"
"Line(00303)", ,"5","PURCHASING","HOME OFFICE-WPIC","132778", ,"132778"
"Line(00304)", ,"5","ADMITTING & COLLECTIONS","HOME OFFICE-PUH/SHY","4973343", ,"4973343"
"Line(00305)", ,"5","ADMITTING & COLLECTIONS","HOME OFFICE-WPIC","562426", ,"562426"
"Line(00306)", ,"5","OTHER ADMIN AND GENERAL","HOME OFFICE-PUH/SHY","33372874", ,"33372874"
"Line(00307)", ,"5","OTHER ADMIN AND GENERAL","HOME OFFICE-WPIC","5003787", ,"5003787"
"Line(00308)", ,"5","OTHER ADMIN AND GENERAL","CORP ALLOC-PUH", ,"247548202","-247548202"
"Line(00309)", ,"5","OTHER ADMIN AND GENERAL","CORP ALLOC-WPIC", ,"9949344","-9949344"
"Line(00310)", ,"67","OCCUPATIONAL THERAPY","CORE-PUH","2430413","2279996","150417"
"Line(00311)", ,"66","PHYSICAL THERAPY","CORE-PUH","6152009","5774041","377968"
"Line(00312)", ,"5","PURCHASING","24275","9407","27135","-17728"
"Line(00313)", ,"5","OTHER ADMIN AND GENERAL","126799","24275","30037","-5762"
"Line(00314)", ,"5","OTHER ADMIN AND GENERAL","POB-BOARD ROOM","126799","156898","-30099"
"Line(00315)", ,"5","OTHER ADMIN AND GENERAL","POB HEALTH SCIENCE LIBRAR","104801","129678","-24877"
"Line(00316)", ,"50","OPERATING ROOM","PERFUSION SERVICES","6856","19778","-12922"
"Line(00317)", ,"194","OTHER NON REIMBURSABLE","SHY-DEPT OF ENDOCRINOLOGY","41184","54774","-13590"
"Line(00318)", ,"69","HEART CATHERIZATION","POB-CARDIOPULMONARY REHAB","93139","119952","-26813"
"Line(00319)", ,"69","HEART CATHERIZATION","CARDIO ADMINISTRATION SHY","45025","55713","-10688"
"Line(00320)", ,"90","CLINIC","POB-SENIOR CARE INSTITUTE","99376","122966","-23590"
"Line(00321)", ,"90","CLINIC","POB-SHEA MEDICAL CENTER","160657","206907","-46250"
"Line(00322)", ,"90","CLINIC","SHY-VASCULAR CLINIC HBC","86882","141602","-54720"
"Line(00323)", ,"90","CONSOLIDATED O/P TEST","POB-CONSOLIDATED OP TESTI","75953","92064","-16111"
"Line(00324)", ,"194","CTR FOR COMPLIMENTARY MED","CTR FOR COMPLIMENTARY MED","58106","142393","-84287"
"Line(00500)", , , , ,"123969658","266851480","-142881822"
"Line(00600)", ,"G","UPMC", ,"UPMC", ,"HEALTHCARE"
