"Schema: HCRIS TABLE: STRONG_DATA_2013","----------"," Entity 563706"," Report A700003 ","-------------","-------------","-----------",""
"","","","","","Acquisitions","","","Disposals","","Fully"
"","","","","Beginning","","","","and","Ending","Depreciated"
"","","Description","","Balances","Purchases","Donation","Total","Retirements","Balance","Assets"
"","","","","1","2","3","4","5","6","7"
"Entity[563706] Report(A700003)", ,"Entity[563706] Report(A700003[00100])","Entity[563706] Report(A700003[00200])","Entity[563706] Report(A700003[00300])","Entity[563706] Report(A700003[00400])","Entity[563706] Report(A700003[00500])","Entity[563706] Report(A700003[00600])", ,"Entity[563706] Report(A700003[00800])","Entity[563706] Report(A700003[00900])", , ,"Entity[563706] Report(A700003[01200])","Entity[563706] Report(A700003[01300])", ,"Entity[563706] Report(A700003[01500])"
"Line(00100)", ,"846151588", ,"846151588","0","199612","509334", ,"708946","32863245", , ,"199612","509334", ,"33572191"
"Line(00101)", ,"18033890", ,"18033890","0","4254","10855", ,"15109","496637", , ,"4254","10855", ,"511746"
"Line(00102)", ,"107461509", ,"107461509","0","25351","64685", ,"90036","424433", , ,"25351","64685", ,"514469"
"Line(00103)", ,"159408922", ,"159408922","0","37605","95955", ,"133560","1709461", , ,"37605","95955", ,"1843021"
"Line(00104)", ,"315272527", ,"315272527","0","74375","189776", ,"264151","7403286", , ,"74375","189776", ,"7667437"
"Line(00105)", ,"135514408", ,"135514408","0","31969","81572", ,"113541","5394215", , ,"31969","81572", ,"5507756"
"Line(00106)", ,"27264780", ,"27264780","0","6432","16412", ,"22844","1057943", , ,"6432","16412", ,"1080787"
"Line(00107)", ,"88562439", ,"88562439","0","20892","53310", ,"74202","1750858", , ,"20892","53310", ,"1825060"
"Line(00200)", ,"476930149","7326547","469603602","0","110782","282675", ,"393457","30611473", , ,"110782","282675", ,"31004930"
"Line(00201)", ,"60440374", ,"60440374","0","14258","36381", ,"50639","749356", , ,"14258","36381", ,"799995"
