"Schema: HCRIS TABLE: STRONG_DATA_2013","----------"," Entity 563706"," Report A600LL0 ","-------------","-------------","-----------",""
"","","CODE","","","","","","","","","A-7"
"","EXPLANATION OF RECLASSIFICATION(S)","-1","COST CENTER","LINE #","SALARY","OTHER","COST CENTER","LINE #","SALARY","OTHER","Ref."
"","","1","2","3","4","5","6","7","8","9","10"
"Entity[563706] Report(A600LL0)","Entity[563706] Report(A600LL0[00000])","Entity[563706] Report(A600LL0[00100])", ,"Entity[563706] Report(A600LL0[00300])", ,"Entity[563706] Report(A600LL0[00500])", ,"Entity[563706] Report(A600LL0[00700])", ,"Entity[563706] Report(A600LL0[00900])","Entity[563706] Report(A600LL0[01000])"
"Line(00100)","SPORTS MED DEPREC","LL", ,"55", ,"3253", ,"1", ,"3253","9"
"Line(00200)","SPORTS MED DEPREC","LL", ,"55", ,"14", ,"2", ,"14","9"
"Line(00300)","SPORTS MED DEPREC","LL", ,"58", ,"17077", ,"1", ,"17077","9"
"Line(00400)","SPORTS MED DEPREC","LL", ,"58", ,"74", ,"2", ,"74","9"
"Line(00500)","SPORTS MED DEPREC","LL", ,"194", ,"1514149", ,"1", ,"1514149","9"
"Line(00600)","SPORTS MED DEPREC","LL", ,"55", ,"5962", ,"194", ,"5962"
"Line(00700)","SPORTS MED DEPREC","LL", ,"58", ,"31302", ,"194", ,"31302"
