"Schema: HCRIS TABLE: STRONG_DATA_2013","----------"," Entity 563706"," Report A6000F0 ","-------------","-------------","-----------",""
"","","CODE","","","","","","","","","A-7"
"","EXPLANATION OF RECLASSIFICATION(S)","-1","COST CENTER","LINE #","SALARY","OTHER","COST CENTER","LINE #","SALARY","OTHER","Ref."
"","","1","2","3","4","5","6","7","8","9","10"
"Entity[563706] Report(A6000F0)","Entity[563706] Report(A6000F0[00000])","Entity[563706] Report(A6000F0[00100])", ,"Entity[563706] Report(A6000F0[00300])", ,"Entity[563706] Report(A6000F0[00500])", ,"Entity[563706] Report(A6000F0[00700])", ,"Entity[563706] Report(A6000F0[00900])"
"Line(00100)","PHYSICIAN FEES","F", , , , , ,"5", ,"403222"
"Line(00200)","PHYSICIAN FEES","F", , , , , ,"16", ,"1628003"
"Line(00300)","PHYSICIAN FEES","F", , , , , ,"18", ,"335292"
"Line(00400)","PHYSICIAN FEES","F", , , , , ,"22", ,"6247284"
"Line(00500)","PHYSICIAN FEES","F", , , , , ,"31", ,"8500"
"Line(00600)","PHYSICIAN FEES","F", , , , , ,"32", ,"665857"
"Line(00700)","PHYSICIAN FEES","F", , , , , ,"41", ,"71114"
"Line(00800)","PHYSICIAN FEES","F", , , , , ,"53", ,"2736874"
"Line(00900)","PHYSICIAN FEES","F", , , , , ,"69", ,"4583"
"Line(01000)","PHYSICIAN FEES","F", , , , , ,"55", ,"235017"
"Line(01100)","PHYSICIAN FEES","F", , , , , ,"90", ,"1947"
"Line(01200)","PHYSICIAN FEES","F", , , , , ,"69", ,"568321"
"Line(01300)","PHYSICIAN FEES","F", , , , , ,"76", ,"211258"
"Line(01400)","PHYSICIAN FEES","F", , , , , ,"76", ,"868892"
"Line(01500)","PHYSICIAN FEES","F", , , , , ,"90", ,"1559172"
"Line(01600)","PHYSICIAN FEES","F", , , , , ,"90", ,"24061"
"Line(01700)","PHYSICIAN FEES","F", , , , , ,"90", ,"504898"
"Line(01800)","PHYSICIAN FEES","F", , , , , ,"91", ,"689203"
"Line(01900)","PHYSICIAN FEES","F", , , , , ,"93", ,"245895"
"Line(02000)","PHYSICIAN FEES","F", , , , , ,"194", ,"611646"
"Line(02100)","PHYSICIAN FEES","F", ,"5", ,"6143821"
"Line(02200)","PHYSICIAN FEES","F", ,"22", ,"11362372"
"Line(02300)","PHYSICIAN FEES","F", ,"20", ,"65672"
"Line(02400)","PHYSICIAN FEES","F", ,"23", ,"49174"
