"Schema: HCRIS TABLE: STRONG_DATA_2013","----------"," Entity 563706"," Report A820010 ","-------------","-------------","-----------",""
"","","","","","","",""," FROM ____________","","",""
"","","","","",""," ________________",""," TO _______________","","",""
"","","","Cost Center/","","","","","Physician/","","5 Percent of",""
"","","Wkst. A","Physician","Total","Professional","Provider","RCE","Provider","Unadjusted","Unadjusted",""
"","","Line #","Identifier","Remuneration","Component","Component","Amount","Component Hours","RCE Limit","RCE Limit",""
"","","1","2","3","4","5","6","7","8","9",""
"Entity[563706] Report(A820010)", ,"Entity[563706] Report(A820010[00100])","Entity[563706] Report(A820010[00200])","Entity[563706] Report(A820010[00300])","Entity[563706] Report(A820010[00400])","Entity[563706] Report(A820010[00500])","Entity[563706] Report(A820010[00600])","Entity[563706] Report(A820010[00700])","Entity[563706] Report(A820010[00800])","Entity[563706] Report(A820010[00900])", , , , , , ,"Entity[563706] Report(A820010[01600])","Entity[563706] Report(A820010[01700])","Entity[563706] Report(A820010[01800])"
"Line(00100)", ,"4","EMPLOYEE BENEFITS DEPARTMENT","57892", ,"57892","177200","706","60146","3007", , , , , , ,"60146"
"Line(00200)", ,"5","OTHER ADMIN AND GENERAL","7500", ,"7500","177200","46","3919","196", , , , , , ,"3919","3581","3581"
"Line(00300)", ,"5","OTHER ADMIN AND GENERAL","48000", ,"48000","177200","439","37399","1870", , , , , , ,"37399","10601","10601"
"Line(00400)", ,"5","OTHER ADMIN AND GENERAL","50000", ,"50000","177200","540","46004","2300", , , , , , ,"46004","3996","3996"
"Line(00500)", ,"5","OTHER ADMIN AND GENERAL","94129", ,"94129","208000","221","22100","1105", , , , , , ,"22100","72029","72029"
"Line(00600)", ,"5","OTHER ADMIN AND GENERAL","559549", ,"559549","177200","8278","705222","35261", , , , , , ,"705222"
"Line(00700)", ,"16","LAB INFORMATION","1484717", ,"1484717","215700","9412","976043","48802", , , , , , ,"976043","508674","508674"
"Line(00800)", ,"18","CLINICAL SUPPORT","263534", ,"263534","225300","1952","211435","10572", , , , , , ,"211435","52099","52099"
"Line(00900)", ,"22","I&R SERVICES-OTHER PRGM COSTS APPRV","27079", ,"27079","208000","157","15700","785", , , , , , ,"15700","11379","11379"
"Line(01000)", ,"22","I&R SERVICES-OTHER PRGM COSTS APPRV","101396", ,"101396","177200","510","43448","2172", , , , , , ,"43448","57948","57948"
"Line(01100)", ,"22","I&R SERVICES-OTHER PRGM COSTS APPRV","105881", ,"105881","208000","203","20300","1015", , , , , , ,"20300","85581","85581"
"Line(01200)", ,"22","I&R SERVICES-OTHER PRGM COSTS APPRV","138576", ,"138576","177200","1134","96608","4830", , , , , , ,"96608","41968","41968"
"Line(01300)", ,"22","I&R SERVICES-OTHER PRGM COSTS APPRV","169000", ,"169000","138700","560","37342","1867", , , , , , ,"37342","131658","131658"
"Line(01400)", ,"22","I&R SERVICES-OTHER PRGM COSTS APPRV","215321", ,"215321","208000","729","72900","3645", , , , , , ,"72900","142421","142421"
"Line(01500)", ,"22","I&R SERVICES-OTHER PRGM COSTS APPRV","617474", ,"617474","208000","1724","172400","8620", , , , , , ,"172400","445074","445074"
