"Schema: HCRIS TABLE: STRONG_DATA_2013","----------"," Entity 563706"," Report A600WC0 ","-------------","-------------","-----------",""
"","","CODE","","","","","","","","","A-7"
"","EXPLANATION OF RECLASSIFICATION(S)","-1","COST CENTER","LINE #","SALARY","OTHER","COST CENTER","LINE #","SALARY","OTHER","Ref."
"","","1","2","3","4","5","6","7","8","9","10"
"Entity[563706] Report(A600WC0)","Entity[563706] Report(A600WC0[00000])","Entity[563706] Report(A600WC0[00100])", ,"Entity[563706] Report(A600WC0[00300])", ,"Entity[563706] Report(A600WC0[00500])", ,"Entity[563706] Report(A600WC0[00700])", ,"Entity[563706] Report(A600WC0[00900])"
"Line(00100)","WPIC INTERNS & RESIDENTS","WC", ,"21", ,"1464", ,"5", ,"1464"
"Line(00200)","WPIC INTERNS & RESIDENTS","WC", ,"21", ,"967", ,"15", ,"967"
"Line(00300)","WPIC INTERNS & RESIDENTS","WC", ,"21", ,"5134669", ,"22", ,"5134669"
"Line(00400)","WPIC INTERNS & RESIDENTS","WC", ,"21", ,"227841", ,"69", ,"227841"
"Line(00500)","WPIC INTERNS & RESIDENTS","WC", ,"21", ,"478064", ,"76", ,"478064"
"Line(00600)","WPIC INTERNS & RESIDENTS","WC", ,"21", ,"76410", ,"76", ,"76410"
"Line(00700)","WPIC INTERNS & RESIDENTS","WC", ,"21", ,"15837", ,"76", ,"15837"
"Line(00800)","WPIC INTERNS & RESIDENTS","WC", ,"21", ,"20829", ,"76", ,"20829"
"Line(00900)","WPIC INTERNS & RESIDENTS","WC", ,"21", ,"22259", ,"90", ,"22259"
"Line(01000)","WPIC INTERNS & RESIDENTS","WC", ,"21", ,"853", ,"90", ,"853"
"Line(01100)","WPIC INTERNS & RESIDENTS","WC", ,"21", ,"1811", ,"194", ,"1811"
