"Schema: HCRIS TABLE: STRONG_DATA_2013","----------"," Entity 563706"," Report D00A183 ","-------------","-------------","-----------",""
"applicable ","","\"   [ ]  Title XVIII"," Part A\"","","   [ ] TEFRA","","","","","","","",""
"boxes:","","   [ ]  Title XIX","","","","","","","","","",""
"","","","","","All","Swing-Bed","","","","","Inpatient",""
"","","",""," ","Other ","Adjustment","Total Costs","","Per","","Program",""
"","","","","","Medical","Amount","(sum of cols.","Total","Diem","Inpatient","Pass-Through",""
"","","","Nursing ","Allied  Health","Education","(see","\"1 through 3","\"","Patient","(col. 5 �","Program","Cost",""
"","","","School","Cost","Cost","instructions)"," minus col. 4)","Days","col. 6)","Days","(col. 7 x col. 8)",""
"(A)","Cost Center Description","","1","2","3","4","5","6","7","8","9",""
""," INPATIENT ROUTINE SERVICE COST CENTERS","","","","","","","","","","",""
""," Adults & Pediatrics","","","","","","","","","","",""
"30"," (General Routine Care)","","","","","","","","","","","30"
"","","","","","","","","","","","",""
"31"," Intensive Care Unit","","","","","","","","","","","31"
"","","","","","","","","","","","",""
"32"," Coronary Care Unit","","","","","","","","","","","32"
"","","","","","","","","","","","",""
"33"," Burn Intensive Care Unit","","","","","","","","","","","33"
"","","","","","","","","","","","",""
"34"," Surgical Intensive Care Unit","","","","","","","","","","","34"
"","","","","","","","","","","","",""
"35"," Other Special Care Unit (specify)","","","","","","","","","","","35"
"","","","","","","","","","","","",""
"40"," Subprovider IPF","","","","","","","","","","","40"
"","","","","","","","","","","","",""
"41"," Subprovider IRF","","","","","","","","","","","41"
"","","","","","","","","","","","",""
"42"," Subprovider  (Other)","","","","","","","","","","","42"
"","","","","","","","","","","","",""
"43"," Nursery","","","","","","","","","","","43"
"","","","","","","","","","","","",""
"44"," Skilled Nursing Facility","","","","","","","","","","","44"
"","","","","","","","","","","","",""
"45"," Nursing Facility","","","","","","","","","","","45"
"","","","","","","","","","","","",""
"200"," Total (sum of lines 30-199)","","","","","","","","","","","200"
"","","","","","","","","","","","",""
"","(A) Worksheet A line numbers","","","","","","","","","","",""
"Entity[563706] Report(D00A183)", ,"Entity[563706] Report(D00A183[00100])","Entity[563706] Report(D00A183[00200])", , ,"Entity[563706] Report(D00A183[00500])","Entity[563706] Report(D00A183[00600])","Entity[563706] Report(D00A183[00700])","Entity[563706] Report(D00A183[00800])","Entity[563706] Report(D00A183[00900])"
"Line(03000)", ,"4550714","13104", , ,"4563818","292304","16","64037","999618"
"Line(03100)", ,"140906","1716", , ,"142622","35923","4","8884","35269"
"Line(03200)", ,"644144","780", , ,"644924","9735","66","2709","179471"
"Line(03400)", , , , , , ,"5886", ,"1397"
"Line(03500)", , , , , , ,"10282", ,"2978"
"Line(03501)", , , , , , ,"8172", ,"1923"
"Line(04000)", , , , , , ,"102697", ,"11560"
"Line(04100)", , , , , , ,"6670", ,"1723"
"Line(04400)", , , , , , ,"7982", ,"2192"
