"Schema: HCRIS TABLE: STRONG_DATA_2013","----------"," Entity 563706"," Report A600WP0 ","-------------","-------------","-----------",""
"","","CODE","","","","","","","","","A-7"
"","EXPLANATION OF RECLASSIFICATION(S)","-1","COST CENTER","LINE #","SALARY","OTHER","COST CENTER","LINE #","SALARY","OTHER","Ref."
"","","1","2","3","4","5","6","7","8","9","10"
"Entity[563706] Report(A600WP0)","Entity[563706] Report(A600WP0[00000])","Entity[563706] Report(A600WP0[00100])", ,"Entity[563706] Report(A600WP0[00300])", ,"Entity[563706] Report(A600WP0[00500])", ,"Entity[563706] Report(A600WP0[00700])", ,"Entity[563706] Report(A600WP0[00900])","Entity[563706] Report(A600WP0[01000])"
"Line(00100)","DEPRECIATION","WP", ,"5", ,"205813", ,"1", ,"205813","9"
"Line(00200)","DEPRECIATION","WP", ,"7", ,"446394", ,"1", ,"446394","9"
"Line(00300)","DEPRECIATION","WP", ,"10", ,"556", ,"1", ,"556","9"
"Line(00400)","DEPRECIATION","WP", ,"13", ,"3004", ,"1", ,"3004","9"
"Line(00500)","DEPRECIATION","WP", ,"40", ,"486", ,"1", ,"486","9"
"Line(00600)","DEPRECIATION","WP", ,"69", ,"6730", ,"1", ,"6730","9"
"Line(00700)","DEPRECIATION","WP", ,"70", ,"1633", ,"1", ,"1633","9"
"Line(00800)","DEPRECIATION","WP", ,"76", ,"289", ,"1", ,"289","9"
"Line(00900)","DEPRECIATION","WP", ,"76", ,"16370", ,"1", ,"16370","9"
"Line(01000)","DEPRECIATION","WP", ,"90", ,"327", ,"1", ,"327","9"
"Line(01100)","DEPRECIATION","WP", ,"90", ,"68", ,"1", ,"68","9"
"Line(01200)","DEPRECIATION","WP", ,"90", ,"179", ,"1", ,"179","9"
"Line(01300)","DEPRECIATION","WP", ,"90", ,"17144", ,"1", ,"17144","9"
"Line(01400)","DEPRECIATION","WP", ,"90", ,"5099", ,"1", ,"5099","9"
"Line(01500)","DEPRECIATION","WP", ,"90", ,"122426", ,"1", ,"122426","9"
"Line(01600)","DEPRECIATION","WP", ,"194", ,"55198", ,"1", ,"55198","9"
