"Schema: HCRIS TABLE: STRONG_DATA_2013","----------"," Entity 563706"," Report A6000D0 ","-------------","-------------","-----------",""
"","","CODE","","","","","","","","","A-7"
"","EXPLANATION OF RECLASSIFICATION(S)","-1","COST CENTER","LINE #","SALARY","OTHER","COST CENTER","LINE #","SALARY","OTHER","Ref."
"","","1","2","3","4","5","6","7","8","9","10"
"Entity[563706] Report(A6000D0)","Entity[563706] Report(A6000D0[00000])","Entity[563706] Report(A6000D0[00100])", ,"Entity[563706] Report(A6000D0[00300])", ,"Entity[563706] Report(A6000D0[00500])", ,"Entity[563706] Report(A6000D0[00700])", ,"Entity[563706] Report(A6000D0[00900])","Entity[563706] Report(A6000D0[01000])"
"Line(00100)","DEPRECIATION","D", ,"1", ,"496637", ,"1", ,"496637","9"
"Line(00200)","DEPRECIATION","D", ,"1", ,"15220", ,"1", ,"15220","9"
"Line(00300)","DEPRECIATION","D", ,"1", ,"7379056", ,"1", ,"7379056","9"
"Line(00400)","DEPRECIATION","D", ,"1", ,"5394215", ,"1", ,"5394215","9"
"Line(00500)","DEPRECIATION","D", ,"1", ,"1057943", ,"1", ,"1057943","9"
"Line(00600)","DEPRECIATION","D", ,"1", ,"1750858", ,"1", ,"1750858","9"
"Line(00700)","DEPRECIATION","D", ,"2", ,"30576852", ,"1", ,"30576852","9"
