"Schema: HCRIS TABLE: STRONG_DATA_2013","----------"," Entity 563706"," Report A6000N0 ","-------------","-------------","-----------",""
"","","CODE","","","","","","","","","A-7"
"","EXPLANATION OF RECLASSIFICATION(S)","-1","COST CENTER","LINE #","SALARY","OTHER","COST CENTER","LINE #","SALARY","OTHER","Ref."
"","","1","2","3","4","5","6","7","8","9","10"
"Entity[563706] Report(A6000N0)","Entity[563706] Report(A6000N0[00000])","Entity[563706] Report(A6000N0[00100])", ,"Entity[563706] Report(A6000N0[00300])", ,"Entity[563706] Report(A6000N0[00500])", ,"Entity[563706] Report(A6000N0[00700])", ,"Entity[563706] Report(A6000N0[00900])"
"Line(00100)","RECLASS I & R COSTS","N", ,"21", ,"426224", ,"5", ,"426224"
"Line(00200)","RECLASS I & R COSTS","N", ,"21", ,"55922728", ,"22", ,"55922728"
"Line(00300)","RECLASS I & R COSTS","N", ,"21", ,"2069", ,"31", ,"2069"
"Line(00400)","RECLASS I & R COSTS","N", ,"21", ,"137039", ,"55", ,"137039"
"Line(00500)","RECLASS I & R COSTS","N", ,"21", ,"15225", ,"70", ,"15225"
"Line(00600)","RECLASS I & R COSTS","N", ,"21", ,"23095", ,"73", ,"23095"
"Line(00700)","RECLASS I & R COSTS","N", ,"21", ,"899262", ,"90", ,"899262"
"Line(00800)","RECLASS I & R COSTS","N", ,"21", ,"3695", ,"90", ,"3695"
"Line(00900)","RECLASS I & R COSTS","N", ,"21", ,"6913", ,"194", ,"6913"
"Line(01000)","RECLASS I & R COSTS","N", ,"21", ,"10716", ,"194", ,"10716"
