"Schema: HCRIS TABLE: STRONG_DATA_2013","----------"," Entity 563706"," Report A700001 ","-------------","-------------","-----------",""
"","","","","","Acquisitions","","","Disposals","","Fully"
"","","","","Beginning","","","","and","Ending","Depreciated"
"","","Description","","Balances","Purchases","Donation","Total","Retirements","Balance","Assets"
"","","","","1","2","3","4","5","6","7"
"Entity[563706] Report(A700001)", ,"Entity[563706] Report(A700001[00100])","Entity[563706] Report(A700001[00200])", ,"Entity[563706] Report(A700001[00400])","Entity[563706] Report(A700001[00500])","Entity[563706] Report(A700001[00600])"
"Line(00100)", ,"37838715", , , ,"123109","37715606"
"Line(00200)", ,"17113031","177127", ,"177127", ,"17290158"
"Line(00300)", ,"1147146491","18450074", ,"18450074", ,"1165596565"
"Line(00400)", ,"29217579","5415585", ,"5415585", ,"34633164"
"Line(00500)", ,"425227639","17220730", ,"17220730","13800","442434569"
"Line(00600)", ,"473083220","175609", ,"175609","33479090","439779739"
"Line(00700)", ,"94593075","3034240", ,"3034240","36532","97590783"
"Line(00800)", ,"2147483647","44473365", ,"44473365","33652531","2147483647"
"Line(00900)", ,"19338267","25971333", ,"25971333", ,"45309600"
