"Schema: HCRIS TABLE: STRONG_DATA_2013","----------"," Entity 563706"," Report L00A181 ","-------------","-------------","-----------",""
"","----","NO HEADER "," -------- ","NO HEADER"," ------- ","","","","","",""
"Entity[563706] Report(L00A181)", ,"Entity[563706] Report(L00A181[00100])"
"Line(00100)", ,"10838657"
"Line(00200)", ,"787053"
"Line(00300)", ,"936"
"Line(00400)", ,"608"
"Line(00500)", ,"20"
"Line(00600)", ,"2182906"
"Line(00700)", ,"0"
"Line(00800)", ,"0"
"Line(00900)", ,"0"
"Line(01000)", ,"0"
"Line(01100)", ,"468230"
"----------------","----------------","----------------","----------------","----------------","----------------"
"----------------","----------------","----------------","----------------","----------------","----------------"
 , , , , , 
 , , , , , 
