"Schema: HCRIS TABLE: STRONG_DATA_2013","----------"," Entity 563706"," Report A000000 ","-------------","-------------","-----------",""
"","COST CENTER DESCRIPTIONS","","","TOTAL","RECLASSIFI-","TRIAL BALANCE","","FOR ALLOCATION"
"","(omit cents)","SALARIES","OTHER","(col. 1 + col. 2)","CATIONS","(col. 3 ± col. 4)","ADJUSTMENTS","(col. 5 ± col. 6)"
"","","1","2","3","4","5","6","7"
"Entity[563706] Report(A000000)","Entity[563706] Report(A000000[00000])","Entity[563706] Report(A000000[00100])","Entity[563706] Report(A000000[00200])","Entity[563706] Report(A000000[00300])","Entity[563706] Report(A000000[00400])","Entity[563706] Report(A000000[00500])","Entity[563706] Report(A000000[00600])","Entity[563706] Report(A000000[00700])"
"Line(00100)","00100CAP REL COSTS-BLDG & FIXT", , , ,"33561067","33561067","11124","33572191"
"Line(00101)","00101CAP REL COSTS - UNIV CENTER", , , ,"511746","511746", ,"511746"
"Line(00102)","00102CAP REL COSTS - MUH", , , ,"105256","105256","409213","514469"
"Line(00103)","00103CAP REL COSTS - WPIC", , , ,"-748156","-748156","2591177","1843021"
"Line(00104)","00104CAP REL COSTS - SHY", , , ,"7643207","7643207","24230","7667437"
"Line(00105)","00105CAP REL COSTS - HCC", , , ,"5507756","5507756", ,"5507756"
"Line(00106)","00106CAP REL COSTS - HCC POB2", , , ,"1080787","1080787", ,"1080787"
"Line(00107)","00107CAP REL COSTS - SOUTH TOWER", , , ,"1825060","1825060", ,"1825060"
"Line(00200)","00200CAP REL COSTS-MVBLE EQUIP", , , ,"30970221","30970221","34709","31004930"
"Line(00201)","00201CAP REL COSTS - MVBLE EQUIP WPI", , , ,"50639","50639","749356","799995"
"Line(00300)","00300OTHER CAP REL COSTS", ,"1866485","1866485","-1866485"
"Line(00400)","00400EMPLOYEE BENEFITS DEPARTMENT","2192452","25432783","27625235","88875260","116500495","20495115","136995610"
"Line(00501)","00540NON PATIENT TELEPHONE"
"Line(00502)","00550INFORMATION SYSTEMS", , , ,"32798","32798","56115064","56147862"
"Line(00503)","00551WPIC - INFORMATION SYSTEMS"
"Line(00504)","00560PURCHASING","252711","626289","879000", ,"879000","4105774","4984774"
"Line(00505)","00581ADMITTING & COLLECTIONS","4042652","36550750","40593402","35799","40629201","-33673781","6955420"
"Line(00506)","00580WPIC-ADMIT  A/R  COLLECTIONS"
"Line(00507)","00590OTHER ADMIN AND GENERAL","23074926","523338812","546413738","-161688783","384724955","-313122147","71602808"
"Line(00600)","00600MAINTENANCE & REPAIRS","10299696","38433011","48732707","44694","48777401","-1657397","47120004"
"Line(00601)","00601BIOTRONICS"
"Line(00700)","00700OPERATION OF PLANT","2815838","7006157","9821995","-3991812","5830183","-484485","5345698"
"Line(00701)","00701OPERATION OF PLANT - WPIC","2095631","8544425","10640056","-6815868","3824188","378927","4203115"
"Line(00702)","00702OPERATION OF PLANT - MUH","826744","283647","1110391", ,"1110391", ,"1110391"
"Line(00703)","00703OPERATION OF PLANT - SHY","4835463","12726033","17561496", ,"17561496","-1899476","15662020"
"Line(00704)","00704OPERATION OF PLANT - HCC","486737","794660","1281397", ,"1281397","-304532","976865"
"Line(00705)","00705OPERATION OF PLANT - HCC POB2","61488","251673","313161", ,"313161", ,"313161"
"Line(00800)","00800LAUNDRY & LINEN SERVICE","216043","5059668","5275711", ,"5275711","-5732","5269979"
"Line(00900)","00900HOUSEKEEPING","7052873","3195724","10248597", ,"10248597", ,"10248597"
"Line(00901)","00901WPIC - HOUSEKEEPING", ,"2809216","2809216","-231251","2577965", ,"2577965"
"Line(00902)","00902SHY - HOUSEKEEPING","4822549","3613961","8436510","-789617","7646893","-187931","7458962"
"Line(00903)","00903SHY - HCC HOUSEKEEPING", , , ,"789617","789617", ,"789617"
"Line(01000)","01000DIETARY","8769484","4128996","12898480","6491","12904971","-1864375","11040596"
"Line(01001)","01001DIETARY - WPIC","1496242","1574771","3071013","-126823","2944190", ,"2944190"
"Line(01002)","01002DIETARY - MUH","2104542","2237688","4342230", ,"4342230","-1736067","2606163"
"Line(01100)","01100CAFETERIA","2560912","5146222","7707134", ,"7707134","-7632817","74317"
"Line(01101)","01101CAFETERIA - WPIC","80367","102484","182851","151139","333990","-127379","206611"
"Line(01102)","01102HCC - DIETARY CAFE"
"Line(01200)","01200MAINTENANCE OF PERSONNEL"
"Line(01300)","01300NURSING ADMINISTRATION","7421015","3571762","10992777","3004","10995781","-571760","10424021"
"Line(01301)","01301TRAUMA SERVICES","544524","125864","670388", ,"670388","-28674","641714"
"Line(01400)","01400CENTRAL SERVICES & SUPPLY","902309","1531745","2434054","-357004","2077050", ,"2077050"
"Line(01500)","01500PHARMACY","8886829","46075841","54962670","-43679030","11283640","-97428","11186212"
"Line(01501)","01501PHARMACY - WPIC","1705052","2193373","3898425","-1797182","2101243", ,"2101243"
"Line(01600)","01600MEDICAL RECORDS & LIBRARY","7872932","3662218","11535150","107523","11642673","193970","11836643"
"Line(01601)","01601LAB INFORMATION","163921","4456147","4620068","-1628003","2992065","-1774955","1217110"
"Line(01700)","01700SOCIAL SERVICE","12442842","2537471","14980313","-5815349","9164964","-164580","9000384"
"Line(01800)","01850ESCORT SERVICES","3939888","807775","4747663", ,"4747663","-4007","4743656"
"Line(01801)","01851CLINICAL SUPPORT", , , ,"586541","586541","-255479","331062"
"Line(01802)","01852HCC - CLINICAL","367117","158955","526072", ,"526072","-46770","479302"
"Line(01900)","01900NONPHYSICIAN ANESTHETISTS"
"Line(02000)","02000NURSING SCHOOL","4094924","4418996","8513920","65672","8579592","-4693082","3886510"
