"Schema: HCRIS TABLE: STRONG_DATA_2013","----------"," Entity 563706"," Report A600YY0 ","-------------","-------------","-----------",""
"","","CODE","","","","","","","","","A-7"
"","EXPLANATION OF RECLASSIFICATION(S)","-1","COST CENTER","LINE #","SALARY","OTHER","COST CENTER","LINE #","SALARY","OTHER","Ref."
"","","1","2","3","4","5","6","7","8","9","10"
"Entity[563706] Report(A600YY0)","Entity[563706] Report(A600YY0[00000])","Entity[563706] Report(A600YY0[00100])", ,"Entity[563706] Report(A600YY0[00300])","Entity[563706] Report(A600YY0[00400])","Entity[563706] Report(A600YY0[00500])", ,"Entity[563706] Report(A600YY0[00700])","Entity[563706] Report(A600YY0[00800])","Entity[563706] Report(A600YY0[00900])"
"Line(00100)","POST TRANSPLANT SALARY","YY", ,"194","103653", , ,"112","103653"
"Line(00200)","POST TRANSPLANT SALARY","YY", ,"194","355284", , ,"106","355284"
"Line(00300)","POST TRANSPLANT SALARY","YY", ,"194","512179", , ,"108","512179"
"Line(00400)","POST TRANSPLANT SALARY","YY", ,"194","371105", , ,"60","371105"
"Line(00500)","POST TRANSPLANT SALARY","YY", ,"194","368884", , ,"106","368884"
"Line(00600)","POST TRANSPLANT SALARY","YY", ,"194", ,"8189", ,"112", ,"8189"
"Line(00700)","POST TRANSPLANT SALARY","YY", ,"194", ,"26689", ,"106", ,"26689"
"Line(00800)","POST TRANSPLANT SALARY","YY", ,"194", ,"38395", ,"108", ,"38395"
"Line(00900)","POST TRANSPLANT SALARY","YY", ,"194", ,"26815", ,"60", ,"26815"
"Line(01000)","POST TRANSPLANT SALARY","YY", ,"194", ,"26998", ,"106", ,"26998"
"Line(01100)","POST TRANSPLANT SALARY","YY", ,"194", ,"7682", ,"112", ,"7682"
"Line(01200)","POST TRANSPLANT SALARY","YY", ,"194", ,"30408", ,"106", ,"30408"
"Line(01300)","POST TRANSPLANT SALARY","YY", ,"194", ,"78949", ,"108", ,"78949"
"Line(01400)","POST TRANSPLANT SALARY","YY", ,"194", ,"50488", ,"60", ,"50488"
"Line(01500)","POST TRANSPLANT SALARY","YY", ,"106", ,"67136", ,"194", ,"67136"
