"Schema: HCRIS TABLE: STRONG_DATA_2013","----------"," Entity 563706"," Report G100000 ","-------------","-------------","-----------",""
"","","1","2","3","4","5","6","7","8",""
"1"," Fund balances at beginning of period","","","","","","","","","1"
"2","\" Net income (loss) (from Worksheet G-3"," line 29)\"","","","","","","","","","2"
"3"," Total (sum of line 1 and line 2)","","","","","","","","","3"
"4"," Additions (credit adjustments) (specify)","","","","","","","","","4"
"5","","","","","","","","","","5"
"6","","","","","","","","","","6"
"7","","","","","","","","","","7"
"8","","","","","","","","","","8"
"9","","","","","","","","","","9"
"10"," Total additions (sum of lines 4-9)","","","","","","","","","10"
"11"," Subtotal (line 3 plus line 10)","","","","","","","","","11"
"12"," Deductions (debit adjustments) (specify)","","","","","","","","","12"
"13","","","","","","","","","","13"
"14","","","","","","","","","","14"
"15","","","","","","","","","","15"
"16","","","","","","","","","","16"
"17","","","","","","","","","","17"
"18"," Total deductions (sum of lines 12-17)","","","","","","","","","18"
"19"," Fund balance at end of period per balance","","","","","","","","","19"
""," sheet (line 11 minus line 18)","","","","","","","","",""
"Entity[563706] Report(G100000)","Entity[563706] Report(G100000[00000])","Entity[563706] Report(G100000[00100])","Entity[563706] Report(G100000[00200])","Entity[563706] Report(G100000[00300])","Entity[563706] Report(G100000[00400])","Entity[563706] Report(G100000[00500])","Entity[563706] Report(G100000[00600])"
"Line(00100)", , ,"423834335", ,"413473944", ,"240510511"
"Line(00200)", , ,"73263067"
"Line(00300)", , ,"497097402", ,"413473944", ,"240510511"
"Line(00500)","SPECIAL PURPOSE FUND", , ,"20996191"
"Line(00600)","ENDOWMENT FUND", , , , ,"17587174"
"Line(01000)", , , , ,"20996191", ,"17587174"
"Line(01100)", , ,"497097402", ,"434470135", ,"258097685"
"Line(01200)", ,"113727812"
"Line(01300)","SPECIAL PURPOSE FUND","20996191"
"Line(01400)","ENDOWMENT FUND","17587174"
"Line(01800)", , ,"152311177"
