"Schema: HCRIS TABLE: STRONG_DATA_2013","----------"," Entity 563706"," Report S700000 ","-------------","-------------","-----------",""
"","----","NO HEADER "," -------- ","NO HEADER"," ------- ","","","","","",""
"Entity[563706] Report(S700000)","Entity[563706] Report(S700000[00000])","Entity[563706] Report(S700000[00100])","Entity[563706] Report(S700000[00200])","Entity[563706] Report(S700000[00300])","Entity[563706] Report(S700000[00400])"
"Line(00100)", ,"N"
"Line(00200)", ,"N"
"Line(01500)", , ,"14", ,"14"
"Line(01800)", , ,"4", ,"4"
"Line(01900)", , ,"28", ,"28"
"Line(02000)", , ,"220", ,"220"
"Line(02100)", , ,"28", ,"28"
"Line(02200)", , ,"89", ,"89"
"Line(02300)", , ,"1451", ,"1451"
"Line(02700)", , ,"3", ,"3"
"Line(03600)", , ,"37", ,"37"
"Line(04200)", , ,"16", ,"16"
"Line(04300)", , ,"8", ,"8"
"Line(04400)", , ,"28", ,"28"
"Line(04800)", , ,"10", ,"10"
"Line(05200)", , ,"63", ,"63"
"Line(05300)", , ,"6", ,"6"
"Line(05400)", , ,"161", ,"161"
"Line(07700)", , ,"5", ,"5"
"Line(07800)", , ,"21", ,"21"
"Line(20000)", , ,"2192", ,"2192"
"Line(20100)", ,"38300","38300"
"Line(20200)", ,"2516262","27","N"
"Line(20600)","PBDS TRAINING/RETENT  PT SUPP & DEP","119347","1","N"
